GO category	GO	Term	Annotated	Significant	Expected	topGO (Fisher)	classic (Fisher)
BP	GO:0006953	acute-phase response	31	7	1	4.6e-05	4.6e-05
BP	GO:0071392	cellular response to estradiol stimulus	25	6	0.81	0.00011	0.00011
BP	GO:0047484	regulation of response to osmotic stress	9	4	0.29	0.00012	0.00012
BP	GO:0043390	aflatoxin B1 metabolic process	9	4	0.29	0.00012	0.00012
BP	GO:0002474	antigen processing and presentation of p...	32	6	1.03	0.00027	0.00048
BP	GO:0002933	lipid hydroxylation	11	4	0.35	0.00029	0.00029
BP	GO:1903961	positive regulation of anion transmembra...	5	3	0.16	0.00032	0.00032
BP	GO:0006789	bilirubin conjugation	5	3	0.16	0.00032	0.00032
BP	GO:0051607	defense response to virus	106	11	3.41	0.00042	0.00060
BP	GO:0035458	cellular response to interferon-beta	12	4	0.39	0.00043	0.00043
BP	GO:0051552	flavone metabolic process	6	3	0.19	0.00062	0.00062
BP	GO:0010694	positive regulation of alkaline phosphat...	6	3	0.19	0.00062	0.00062
BP	GO:0070980	biphenyl catabolic process	6	3	0.19	0.00062	0.00062
BP	GO:0033033	negative regulation of myeloid cell apop...	6	3	0.19	0.00062	0.00062
BP	GO:0032429	regulation of phospholipase A2 activity	6	3	0.19	0.00062	0.00062
BP	GO:0052696	flavonoid glucuronidation	7	3	0.23	0.00105	0.00105
BP	GO:0052697	xenobiotic glucuronidation	7	3	0.23	0.00105	0.00105
BP	GO:0002583	regulation of antigen processing and pre...	7	3	0.23	0.00105	0.00105
BP	GO:0070365	hepatocyte differentiation	7	3	0.23	0.00105	0.00105
BP	GO:0090023	positive regulation of neutrophil chemot...	15	4	0.48	0.00109	0.00109
BP	GO:0007608	sensory perception of smell	40	6	1.29	0.00163	0.00163
BP	GO:0031639	plasminogen activation	16	4	0.52	0.00164	0.00142
BP	GO:0002579	positive regulation of antigen processin...	8	3	0.26	0.00164	0.00164
BP	GO:0010359	regulation of anion channel activity	8	3	0.26	0.00164	0.00164
BP	GO:0035627	ceramide transport	8	3	0.26	0.00164	0.00164
BP	GO:0048252	lauric acid metabolic process	8	3	0.26	0.00164	0.00164
BP	GO:0071361	cellular response to ethanol	17	4	0.55	0.00181	0.00181
BP	GO:0032743	positive regulation of interleukin-2 pro...	18	4	0.58	0.00226	0.00226
BP	GO:0030890	positive regulation of B cell proliferat...	18	4	0.58	0.00226	0.00226
BP	GO:0032693	negative regulation of interleukin-10 pr...	9	3	0.29	0.00241	0.00241
BP	GO:0090073	positive regulation of protein homodimer...	9	3	0.29	0.00241	0.00241
BP	GO:2001225	regulation of chloride transport	9	3	0.29	0.00241	0.00241
BP	GO:0035914	skeletal muscle cell differentiation	35	6	1.13	0.00276	0.00079
BP	GO:0006805	xenobiotic metabolic process	47	9	1.51	0.00276	1.6e-05
BP	GO:0002504	antigen processing and presentation of p...	40	4	1.29	0.00302	0.03890
BP	GO:0032496	response to lipopolysaccharide	155	14	4.99	0.00307	0.00048
BP	GO:0031581	hemidesmosome assembly	10	3	0.32	0.00336	0.00336
BP	GO:0055003	cardiac myofibril assembly	10	3	0.32	0.00336	0.00336
BP	GO:0090277	positive regulation of peptide hormone s...	47	4	1.51	0.00336	0.06388
BP	GO:0042572	retinol metabolic process	21	4	0.68	0.00410	0.00410
BP	GO:0045214	sarcomere organization	34	5	1.09	0.00435	0.00435
BP	GO:0033234	negative regulation of protein sumoylati...	11	3	0.35	0.00451	0.00451
BP	GO:0007155	cell adhesion	877	43	28.24	0.00505	0.00365
BP	GO:0070212	protein poly-ADP-ribosylation	23	4	0.74	0.00577	0.00577
BP	GO:0050710	negative regulation of cytokine secretio...	24	5	0.77	0.00580	0.00086
BP	GO:0055008	cardiac muscle tissue morphogenesis	40	4	1.29	0.00587	0.03890
BP	GO:0071493	cellular response to UV-B	12	3	0.39	0.00587	0.00587
BP	GO:0034340	response to type I interferon	30	5	0.97	0.00588	0.00247
BP	GO:0045071	negative regulation of viral genome repl...	24	4	0.77	0.00675	0.00675
BP	GO:0042493	response to drug	231	18	7.44	0.00718	0.00049
BP	GO:0006641	triglyceride metabolic process	59	5	1.9	0.00742	0.04089
BP	GO:0042594	response to starvation	115	10	3.7	0.00761	0.00394
BP	GO:0050852	T cell receptor signaling pathway	59	8	1.9	0.00769	0.00057
BP	GO:0071385	cellular response to glucocorticoid stim...	39	6	1.26	0.00772	0.00142
BP	GO:0051443	positive regulation of ubiquitin-protein...	32	4	1.03	0.00923	0.01868
BP	GO:0097028	dendritic cell differentiation	14	3	0.45	0.00926	0.00926
BP	GO:0002710	negative regulation of T cell mediated i...	10	3	0.32	0.00966	0.00336
BP	GO:0010519	negative regulation of phospholipase act...	5	2	0.16	0.00970	0.00970
BP	GO:0034392	negative regulation of smooth muscle cel...	5	2	0.16	0.00970	0.00970
BP	GO:0006068	ethanol catabolic process	5	2	0.16	0.00970	0.00970
BP	GO:0033227	dsRNA transport	5	2	0.16	0.00970	0.00970
BP	GO:0072677	eosinophil migration	5	2	0.16	0.00970	0.00970
BP	GO:0072610	interleukin-12 secretion	5	2	0.16	0.00970	0.00970
