gid	tissue1	sexbias	gid2	tissue2	sexbias2	direction
TRINITY_DN105647_c0_g2_i1	Gonad	female	TRINITY_DN105647_c0_g2_i1	Liver	female	no
TRINITY_DN111338_c0_g1_i1	Gonad	female	TRINITY_DN111338_c0_g1_i1	Liver	female	no
TRINITY_DN113738_c0_g2_i6	Gonad	female	TRINITY_DN113738_c0_g2_i6	Liver	female	no
TRINITY_DN115794_c1_g1_i1	Gonad	female	TRINITY_DN115794_c1_g1_i1	Liver	female	no
TRINITY_DN117740_c0_g1_i2	Gonad	female	TRINITY_DN117740_c0_g1_i2	Liver	female	no
TRINITY_DN119834_c0_g1_i2	Gonad	female	TRINITY_DN119834_c0_g1_i2	Liver	female	no
TRINITY_DN120956_c1_g1_i8	Gonad	female	TRINITY_DN120956_c1_g1_i8	Liver	female	no
TRINITY_DN121738_c0_g2_i3	Gonad	female	TRINITY_DN121738_c0_g2_i3	Liver	female	no
TRINITY_DN124267_c8_g1_i2	Gonad	female	TRINITY_DN124267_c8_g1_i2	Liver	female	no
TRINITY_DN124366_c0_g1_i1	Gonad	female	TRINITY_DN124366_c0_g1_i1	Liver	female	no
TRINITY_DN125119_c3_g6_i1	Gonad	female	TRINITY_DN125119_c3_g6_i1	Liver	female	no
TRINITY_DN126754_c2_g1_i1	Gonad	female	TRINITY_DN126754_c2_g1_i1	Liver	female	no
TRINITY_DN127692_c0_g3_i1	Gonad	female	TRINITY_DN127692_c0_g3_i1	Liver	female	no
TRINITY_DN128286_c3_g2_i3	Gonad	female	TRINITY_DN128286_c3_g2_i3	Liver	female	no
TRINITY_DN128335_c3_g2_i1	Gonad	female	TRINITY_DN128335_c3_g2_i1	Liver	female	no
TRINITY_DN129562_c0_g3_i1	Gonad	female	TRINITY_DN129562_c0_g3_i1	Liver	female	no
TRINITY_DN129628_c2_g2_i2	Gonad	female	TRINITY_DN129628_c2_g2_i2	Liver	female	no
TRINITY_DN129651_c0_g4_i5	Gonad	female	TRINITY_DN129651_c0_g4_i5	Liver	female	no
TRINITY_DN131259_c12_g4_i1	Gonad	female	TRINITY_DN131259_c12_g4_i1	Liver	female	no
TRINITY_DN131688_c2_g1_i2	Gonad	female	TRINITY_DN131688_c2_g1_i2	Liver	female	no
TRINITY_DN132736_c0_g1_i2	Gonad	female	TRINITY_DN132736_c0_g1_i2	Liver	female	no
TRINITY_DN134360_c3_g1_i1	Gonad	female	TRINITY_DN134360_c3_g1_i1	Liver	female	no
TRINITY_DN134442_c2_g1_i1	Gonad	female	TRINITY_DN134442_c2_g1_i1	Liver	female	no
TRINITY_DN134779_c7_g2_i1	Gonad	female	TRINITY_DN134779_c7_g2_i1	Liver	female	no
TRINITY_DN134935_c0_g2_i1	Gonad	female	TRINITY_DN134935_c0_g2_i1	Liver	female	no
TRINITY_DN114003_c0_g1_i1	Gonad	female	TRINITY_DN114003_c0_g1_i1	Liver	male	yes
TRINITY_DN115622_c0_g2_i1	Gonad	female	TRINITY_DN115622_c0_g2_i1	Liver	male	yes
TRINITY_DN117920_c0_g1_i5	Gonad	female	TRINITY_DN117920_c0_g1_i5	Liver	male	yes
TRINITY_DN118885_c0_g1_i1	Gonad	female	TRINITY_DN118885_c0_g1_i1	Liver	male	yes
TRINITY_DN120237_c0_g2_i1	Gonad	female	TRINITY_DN120237_c0_g2_i1	Liver	male	yes
TRINITY_DN122892_c0_g1_i1	Gonad	female	TRINITY_DN122892_c0_g1_i1	Liver	male	yes
TRINITY_DN123723_c1_g1_i1	Gonad	female	TRINITY_DN123723_c1_g1_i1	Liver	male	yes
TRINITY_DN124922_c6_g7_i1	Gonad	female	TRINITY_DN124922_c6_g7_i1	Liver	male	yes
TRINITY_DN129489_c0_g1_i5	Gonad	female	TRINITY_DN129489_c0_g1_i5	Liver	male	yes
TRINITY_DN129860_c0_g3_i1	Gonad	female	TRINITY_DN129860_c0_g3_i1	Liver	male	yes
TRINITY_DN129964_c1_g5_i2	Gonad	female	TRINITY_DN129964_c1_g5_i2	Liver	male	yes
TRINITY_DN130008_c0_g2_i4	Gonad	female	TRINITY_DN130008_c0_g2_i4	Liver	male	yes
TRINITY_DN130699_c6_g2_i2	Gonad	female	TRINITY_DN130699_c6_g2_i2	Liver	male	yes
TRINITY_DN133763_c2_g2_i1	Gonad	female	TRINITY_DN133763_c2_g2_i1	Liver	male	yes
TRINITY_DN135638_c10_g1_i1	Gonad	female	TRINITY_DN135638_c10_g1_i1	Liver	male	yes
TRINITY_DN104464_c0_g1_i1	Gonad	male	TRINITY_DN104464_c0_g1_i1	Liver	female	yes
TRINITY_DN107343_c0_g1_i1	Gonad	male	TRINITY_DN107343_c0_g1_i1	Liver	female	yes
TRINITY_DN110867_c0_g1_i1	Gonad	male	TRINITY_DN110867_c0_g1_i1	Liver	female	yes
TRINITY_DN112847_c0_g1_i1	Gonad	male	TRINITY_DN112847_c0_g1_i1	Liver	female	yes
TRINITY_DN115366_c0_g1_i1	Gonad	male	TRINITY_DN115366_c0_g1_i1	Liver	female	yes
TRINITY_DN118888_c0_g1_i2	Gonad	male	TRINITY_DN118888_c0_g1_i2	Liver	female	yes
TRINITY_DN119925_c1_g1_i1	Gonad	male	TRINITY_DN119925_c1_g1_i1	Liver	female	yes
TRINITY_DN120303_c0_g4_i1	Gonad	male	TRINITY_DN120303_c0_g4_i1	Liver	female	yes
TRINITY_DN120435_c1_g1_i1	Gonad	male	TRINITY_DN120435_c1_g1_i1	Liver	female	yes
TRINITY_DN121035_c0_g2_i1	Gonad	male	TRINITY_DN121035_c0_g2_i1	Liver	female	yes
TRINITY_DN123800_c0_g1_i1	Gonad	male	TRINITY_DN123800_c0_g1_i1	Liver	female	yes
TRINITY_DN126472_c1_g2_i1	Gonad	male	TRINITY_DN126472_c1_g2_i1	Liver	female	yes
TRINITY_DN126527_c2_g2_i1	Gonad	male	TRINITY_DN126527_c2_g2_i1	Liver	female	yes
TRINITY_DN127041_c0_g1_i3	Gonad	male	TRINITY_DN127041_c0_g1_i3	Liver	female	yes
TRINITY_DN128775_c0_g1_i1	Gonad	male	TRINITY_DN128775_c0_g1_i1	Liver	female	yes
TRINITY_DN129827_c5_g2_i1	Gonad	male	TRINITY_DN129827_c5_g2_i1	Liver	female	yes
TRINITY_DN129937_c0_g3_i4	Gonad	male	TRINITY_DN129937_c0_g3_i4	Liver	female	yes
TRINITY_DN130203_c1_g4_i1	Gonad	male	TRINITY_DN130203_c1_g4_i1	Liver	female	yes
TRINITY_DN130236_c1_g1_i4	Gonad	male	TRINITY_DN130236_c1_g1_i4	Liver	female	yes
TRINITY_DN131692_c0_g2_i1	Gonad	male	TRINITY_DN131692_c0_g2_i1	Liver	female	yes
TRINITY_DN131767_c0_g2_i1	Gonad	male	TRINITY_DN131767_c0_g2_i1	Liver	female	yes
TRINITY_DN134368_c1_g3_i1	Gonad	male	TRINITY_DN134368_c1_g3_i1	Liver	female	yes
TRINITY_DN135762_c3_g1_i1	Gonad	male	TRINITY_DN135762_c3_g1_i1	Liver	female	yes
TRINITY_DN136145_c2_g6_i4	Gonad	male	TRINITY_DN136145_c2_g6_i4	Liver	female	yes
TRINITY_DN136165_c4_g1_i1	Gonad	male	TRINITY_DN136165_c4_g1_i1	Liver	female	yes
TRINITY_DN19764_c0_g1_i1	Gonad	male	TRINITY_DN19764_c0_g1_i1	Liver	female	yes
TRINITY_DN75938_c0_g1_i1	Gonad	male	TRINITY_DN75938_c0_g1_i1	Liver	female	yes
TRINITY_DN96380_c0_g3_i1	Gonad	male	TRINITY_DN96380_c0_g3_i1	Liver	female	yes
TRINITY_DN111143_c0_g1_i2	Gonad	male	TRINITY_DN111143_c0_g1_i2	Liver	male	no
TRINITY_DN113202_c0_g1_i1	Gonad	male	TRINITY_DN113202_c0_g1_i1	Liver	male	no
TRINITY_DN113348_c0_g3_i1	Gonad	male	TRINITY_DN113348_c0_g3_i1	Liver	male	no
TRINITY_DN117521_c0_g1_i1	Gonad	male	TRINITY_DN117521_c0_g1_i1	Liver	male	no
TRINITY_DN119647_c0_g2_i1	Gonad	male	TRINITY_DN119647_c0_g2_i1	Liver	male	no
TRINITY_DN121821_c2_g2_i4	Gonad	male	TRINITY_DN121821_c2_g2_i4	Liver	male	no
TRINITY_DN124874_c1_g1_i1	Gonad	male	TRINITY_DN124874_c1_g1_i1	Liver	male	no
TRINITY_DN126089_c1_g1_i2	Gonad	male	TRINITY_DN126089_c1_g1_i2	Liver	male	no
TRINITY_DN127460_c5_g2_i1	Gonad	male	TRINITY_DN127460_c5_g2_i1	Liver	male	no
TRINITY_DN129698_c3_g1_i2	Gonad	male	TRINITY_DN129698_c3_g1_i2	Liver	male	no
TRINITY_DN130050_c8_g5_i3	Gonad	male	TRINITY_DN130050_c8_g5_i3	Liver	male	no
TRINITY_DN131346_c3_g1_i2	Gonad	male	TRINITY_DN131346_c3_g1_i2	Liver	male	no
TRINITY_DN131738_c0_g7_i11	Gonad	male	TRINITY_DN131738_c0_g7_i11	Liver	male	no
TRINITY_DN131771_c1_g1_i2	Gonad	male	TRINITY_DN131771_c1_g1_i2	Liver	male	no
TRINITY_DN131896_c3_g1_i2	Gonad	male	TRINITY_DN131896_c3_g1_i2	Liver	male	no
TRINITY_DN132067_c0_g1_i6	Gonad	male	TRINITY_DN132067_c0_g1_i6	Liver	male	no
TRINITY_DN132129_c0_g1_i2	Gonad	male	TRINITY_DN132129_c0_g1_i2	Liver	male	no
TRINITY_DN133911_c4_g9_i1	Gonad	male	TRINITY_DN133911_c4_g9_i1	Liver	male	no
TRINITY_DN134012_c5_g2_i1	Gonad	male	TRINITY_DN134012_c5_g2_i1	Liver	male	no
TRINITY_DN135864_c0_g11_i1	Gonad	male	TRINITY_DN135864_c0_g11_i1	Liver	male	no
TRINITY_DN142384_c0_g1_i1	Gonad	male	TRINITY_DN142384_c0_g1_i1	Liver	male	no
TRINITY_DN159788_c0_g1_i1	Gonad	male	TRINITY_DN159788_c0_g1_i1	Liver	male	no
TRINITY_DN179330_c0_g1_i1	Gonad	male	TRINITY_DN179330_c0_g1_i1	Liver	male	no
TRINITY_DN44500_c0_g1_i1	Gonad	male	TRINITY_DN44500_c0_g1_i1	Liver	male	no
