ID	tau	tissue
TRINITY_DN100034_c0_g1_i1	0.156573961419932	G46_F_mean
TRINITY_DN100115_c0_g1_i1	0.459221931040166	Ovary_mean
TRINITY_DN100260_c0_g2_i1	0.250670295947791	Ovary_mean
TRINITY_DN100376_c0_g1_i1	0.345277234722298	G31_mean
TRINITY_DN100856_c0_g1_i1	0.257924433634246	G46_F_mean
TRINITY_DN100882_c0_g1_i1	0.290451992079921	Ovary_mean
TRINITY_DN100904_c0_g1_i1	0.761740109041632	Ovary_mean
TRINITY_DN101042_c0_g2_i1	0.568551038089569	Ovary_mean
TRINITY_DN101047_c0_g1_i2	0.674802957572689	Ovary_mean
TRINITY_DN101072_c0_g2_i2	0.831807709527025	Ovary_mean
TRINITY_DN101087_c0_g1_i1	0.272358663800009	Ovary_mean
TRINITY_DN101111_c0_g1_i2	0.430844051867075	Ovary_mean
TRINITY_DN101356_c0_g1_i1	0.608105373023531	Ovary_mean
TRINITY_DN101457_c0_g1_i1	0.456256144147692	Ovary_mean
TRINITY_DN101751_c0_g1_i1	0.488707151370368	Ovary_mean
TRINITY_DN102016_c0_g1_i1	0.313979327578557	Ovary_mean
TRINITY_DN10201_c0_g1_i1	0.724792981732583	G46_F_mean
TRINITY_DN102065_c0_g1_i1	0.403031814059715	Ovary_mean
TRINITY_DN102078_c0_g1_i1	0.253002841736777	Ovary_mean
TRINITY_DN102272_c0_g1_i1	0.421140065250922	Ovary_mean
TRINITY_DN102362_c0_g1_i1	0.22158192528708	Ovary_mean
TRINITY_DN102365_c0_g1_i1	0.485979641007744	Ovary_mean
TRINITY_DN102409_c0_g1_i1	0.807670714962983	G46_F_mean
TRINITY_DN102412_c0_g1_i1	0.660680262770739	G46_F_mean
TRINITY_DN102444_c0_g1_i1	0.342235666052996	Ovary_mean
TRINITY_DN102559_c0_g2_i1	0.445084774486419	Ovary_mean
TRINITY_DN102581_c0_g1_i2	0.737419528366986	Ovary_mean
TRINITY_DN102628_c0_g1_i1	0.870576840138494	Ovary_mean
TRINITY_DN102702_c0_g1_i1	0.361097661465348	Ovary_mean
TRINITY_DN102894_c0_g1_i2	0.867868074691997	Ovary_mean
TRINITY_DN102894_c0_g2_i1	0.846612067067892	Ovary_mean
TRINITY_DN103500_c0_g1_i1	0.283480735490773	Ovary_mean
TRINITY_DN103526_c0_g1_i1	0.601049356729616	Ovary_mean
TRINITY_DN103537_c0_g1_i1	0.473927076536884	Ovary_mean
TRINITY_DN103549_c0_g1_i1	0.287912191736214	Ovary_mean
TRINITY_DN103557_c0_g2_i2	0.303549566132396	Ovary_mean
TRINITY_DN103565_c0_g1_i1	0.516075376501107	Ovary_mean
TRINITY_DN103565_c0_g4_i1	0.904829465972751	Ovary_mean
TRINITY_DN103621_c0_g1_i2	0.656361492546055	Ovary_mean
TRINITY_DN103622_c0_g3_i3	0.490328286919476	Ovary_mean
TRINITY_DN103637_c0_g1_i1	0.557196878141368	Ovary_mean
TRINITY_DN103637_c0_g2_i1	0.856251526845784	Ovary_mean
TRINITY_DN103653_c0_g1_i1	0.765978192417874	Brain_mean
TRINITY_DN103741_c0_g1_i2	0.665037908744162	Ovary_mean
TRINITY_DN103744_c0_g1_i2	0.145671446984436	G23_mean
TRINITY_DN103783_c0_g1_i1	0.454331591697296	Ovary_mean
TRINITY_DN103798_c0_g1_i1	0.841909767891541	Ovary_mean
TRINITY_DN103812_c0_g1_i2	0.28178985948072	G46_F_mean
TRINITY_DN103834_c0_g12_i1	0.534394985571354	G46_F_mean
TRINITY_DN103834_c0_g3_i1	0.492756494292968	Ovary_mean
TRINITY_DN103834_c0_g4_i1	0.520487004623414	G46_F_mean
TRINITY_DN103834_c0_g9_i1	0.332019356883403	Brain_mean
TRINITY_DN103838_c0_g1_i1	0.745128048641171	Ovary_mean
TRINITY_DN103860_c0_g1_i1	0.575758460011373	Ovary_mean
TRINITY_DN103897_c0_g2_i1	0.853466082378608	Ovary_mean
TRINITY_DN103912_c0_g1_i1	0.414787075153102	Brain_mean
