ID	Am2_463	Am4_461	Am5_461	Am6_462
TRINITY_DN126421_c2_g1_i1	161.773	208.44	271.976	197.525
TRINITY_DN43988_c0_g1_i1	1	0	3	2
TRINITY_DN127387_c0_g1_i2	219	607	532	271
TRINITY_DN131026_c3_g5_i2	220.168	413.801	386.892	377.875
TRINITY_DN174159_c0_g1_i1	0.401786	0	2.56576	0
TRINITY_DN129065_c4_g6_i1	260	295	605	411
TRINITY_DN127022_c2_g2_i2	525	973	1118	1070
TRINITY_DN96901_c0_g1_i1	27	45	50	32
TRINITY_DN154039_c0_g1_i1	2.00415	4	9.00735	10.0367
TRINITY_DN130180_c1_g7_i9	187.591	388.438	288.04	211.967
TRINITY_DN94558_c0_g1_i1	0	0	1	0
TRINITY_DN120448_c1_g1_i3	294	994	359	1048
TRINITY_DN128780_c0_g1_i1	458	965	867	677
TRINITY_DN114358_c0_g2_i1	21	58	38	41
TRINITY_DN133551_c0_g1_i1	116	353	294	270
TRINITY_DN140561_c0_g1_i1	6	5	22	0
TRINITY_DN129746_c0_g2_i1	44	56	63	53
TRINITY_DN127265_c3_g3_i2	64	101	114.241	69
TRINITY_DN2318_c0_g1_i1	13	36	41	46
TRINITY_DN185232_c0_g1_i1	0	1	0	0
TRINITY_DN44093_c0_g1_i1	3	3	6	7
TRINITY_DN131463_c0_g1_i2	386	615	740	720
TRINITY_DN184110_c0_g1_i1	1	2	2	1
TRINITY_DN113938_c0_g1_i1	43.5505	79.682	26.8341	52.8667
TRINITY_DN133707_c3_g2_i2	19	44	43	42
TRINITY_DN104264_c0_g3_i1	0	2	10	1
TRINITY_DN121351_c0_g1_i1	343	529	640	521
TRINITY_DN2712_c0_g1_i1	0	0	0	0
TRINITY_DN84823_c0_g1_i1	3	10	17	8
TRINITY_DN123695_c0_g4_i2	50	55	63	60
TRINITY_DN122714_c15_g1_i1	373	533	661	562
TRINITY_DN102078_c0_g1_i1	709.58	809.519	888.715	599.361
TRINITY_DN48821_c0_g1_i1	1	2	0	1
TRINITY_DN75392_c0_g2_i1	1	6	1	1
TRINITY_DN130934_c0_g1_i1	23	33	21	21
TRINITY_DN123711_c0_g1_i1	257	474	567	488
TRINITY_DN136537_c1_g1_i1	29	46	61	70
TRINITY_DN71418_c0_g2_i1	9	34	55.2451	45
TRINITY_DN106507_c0_g1_i1	2	1	0	0
TRINITY_DN124189_c0_g5_i1	586	803	737	789
