ID	A10FB	A10MB	A12FB	A15FB	A15MB	A16FB	A16MB	A17FB	A17MB	A8MB
TRINITY_DN100_c0_g2_i1	0	0	0	5.3185	1.92621	6.07518	0	0	14.376	0
TRINITY_DN100010_c0_g3_i1	3	0	5	2	2	2	5	7	1	2
TRINITY_DN100012_c0_g1_i1	0	0	1	1	0	0	0	1	2	0
TRINITY_DN100020_c0_g1_i1	3	3	9	6	15	9	10	7	9	6
TRINITY_DN100022_c0_g1_i1	91	88	79	94	178	122	63	82	129	141
TRINITY_DN100034_c0_g1_i1	208.65	212.62	180.431	134.448	225.746	258.473	196.042	197.772	119.751	113.378
TRINITY_DN100036_c0_g2_i1	0	1	0	0	0	0	0	0	0	0
TRINITY_DN100036_c0_g3_i1	0	1	0	0	3	0	2	0	1	0
TRINITY_DN100044_c0_g2_i1	2	2	3	2	1	2	2	1	5	5
TRINITY_DN100055_c0_g1_i1	1	0	0	0	2	1	2	5	0	1
TRINITY_DN100055_c0_g2_i1	0	2	0	0	0	0	0	1	0	1
TRINITY_DN100066_c0_g1_i1	1	1	4	2	6	0	2	1	1	2
TRINITY_DN100083_c0_g3_i1	3	0	2	5	6	6	2	3	2	5
TRINITY_DN100083_c0_g4_i1	11	1	0	29	21	38	13	3	27	32
TRINITY_DN100090_c0_g1_i2	5	0	2	5	4	8	8	5	2	3
TRINITY_DN100099_c0_g1_i1	58	91	25	79	203	42	77	55	47	81
TRINITY_DN100099_c0_g2_i1	43	55	20	79	135	29	44	32	38	90
TRINITY_DN100105_c0_g1_i1	102	165	107	102	203	146	159	112	162	114
TRINITY_DN100107_c0_g1_i1	47.3847	54	35	50	83	67.4299	35	30	50	39
TRINITY_DN100108_c0_g1_i1	367	61	877	222	4	2	0	913	1	3
TRINITY_DN100115_c0_g1_i1	40.055	62	35	25.9761	36.7963	61	34.9851	56.2505	56.1834	24
TRINITY_DN100115_c0_g2_i1	13.945	0	0	8.02395	2.20368	0	0.014887	1.74949	5.81657	0
TRINITY_DN100119_c0_g1_i1	17	1	15	4	15	12	2	15	3	9
TRINITY_DN100121_c0_g1_i1	0	0	0	1	0	0	0	1	0	0
TRINITY_DN100127_c0_g1_i1	3	0	1	1	3	5	1	5	0	3
TRINITY_DN100132_c0_g1_i2	0	2	4	2	3	0	2	2	4	4
TRINITY_DN100158_c0_g1_i1	0	1	0	0	1	1	0	1	0	1
TRINITY_DN100160_c0_g1_i1	1	0	1	0	0	4	1	0	0	0
TRINITY_DN100166_c0_g2_i1	0	3	0	1	0	1	2	0	0	1
TRINITY_DN100169_c0_g1_i1	1	0	0	0	2	1	1	0	2	0
