group	lib.size	norm.factors	eff.lib.size
Am2_231_L1	998975	1.15846363815589	1157276.21292678
Am2_233_L1	998943	1.08491563656938	1083768.88074153
Am4_231_L3	999138	1.27463705079339	1273538.3136556
Am4_232_L4	999234	1.29006599159657	1289077.80104701
Am5_231	999078	1.11037115765741	1109347.39545005
Am5_232_L6	999267	1.18928211334425	1188410.36955517
Am2_274_L1	998897	0.998810758590541	997709.070323816
Am2_275_L1	999062	1.09600884893581	1094980.79263551
Am4_271_L2	999059	1.00831632941719	1007367.50375121
Am4_272_L3	999025	0.985144387094635	984183.871317218
Am5_273_L4	998941	0.829387426406769	828509.105122204
Am5_274_L5	999122	0.949813849390122	948979.912830357
Am2_314_all	998784	0.780634871766914	779685.619762845
Am2_315_L6	998822	0.899835414591602	898775.408473213
Am2_316_L3	999094	0.858155251428415	857377.762770621
Am2_318_L2	998795	0.737017057932674	736128.952377865
Am4_314_L7	998828	0.722503502358111	721656.728253348
Am4_317_L7	999030	0.801638679850581	800861.090331126
Am5_311_L6	998962	0.782195092784477	781383.174278167
Am5_312_L8	998990	0.913078046749744	912155.837922527
Am5_313_L7	998856	0.791286426920913	790381.195248516
Am1_434_L5	999031	0.989411339347343	988452.599759515
Am2_433_all	998921	1.00691129088536	1005824.83360249
Am2_434_L4	999220	1.31487366594448	1313848.06448505
Am4_434_L3	999228	1.21624876689002	1215309.82284198
Am4_435_L4	999336	1.25982913147407	1258992.60493077
Am5_433_L8	998833	0.91558993677079	914521.443314579
Am2_463_L3	999047	0.860574919714343	859754.791815855
Am2_464_L2	999077	1.00826715329675	1007336.52271426
Am4_461_L7	999157	0.916747027888672	915974.210144161
Am5_461_L7	999050	0.952958744382628	952053.433575465
Am6_462_L6	999205	0.963329421473075	962563.574583004
Am6_464_L8	999106	0.946615782663738	945769.508154037
A10FO1	999255	1.12859568889468	1127754.88510645
A15MT1	998842	0.820548170910826	819597.976128911
A17FO1	999401	1.39535586157133	1394520.04341025
A17MT1	998922	1.18114617427174	1179872.89869587
A2FO2	999121	1.43129836106661	1430040.24980723
A6FO1	999247	1.4950363305738	1493910.56821688
A6MT1	999026	1.32151132291585	1320224.17088733
A8FO2	999556	1.1352418718799	1134737.82448878
A8MT1	998848	0.909955173267428	908906.904907824
A12MT1	998920	1.01488012099344	1013784.05046277
A10FB	999178	1.30273804152778	1301667.19085764
A10MB	999524	1.50681882471351	1506101.57895295
A12FB	999802	1.63418541334941	1633861.84463757
A15FB	999782	1.71920008996357	1718825.30434396
A15MB	999329	1.57831816318023	1577259.11169273
A16FB	999316	1.61965015505108	1618542.31434503
A16MB	999567	1.47001947575597	1469382.95732297
A17FB	999697	1.702950706293	1702434.712229
A17MB	999770	1.75870604807769	1758301.54568663
A8MB	999589	1.5356908981839	1535059.72922475
A12FL1	998751	0.539405878404102	538732.160461976
A12ML1	998845	0.53685998190859	536239.908629486
A15ML1	998971	0.549902527089207	549336.677388832
A17FL1	998852	0.510062060420576	509476.509175213
A17ML1	998747	0.404765277211965	404258.106319619
A2FL1	998813	0.528651196950165	528023.687979385
A7FL1	999024	0.960819265859438	959881.50625596
A8FL1	998754	0.580073443696286	579350.67218544
A8ML1	998842	0.554183029020856	553541.28507325
