ID	Am1_434	Am2_433	Am2_434	Am4_434	Am4_435	Am5_433
TRINITY_DN100099_c0_g1_i1	32	13	136	49	59	2
TRINITY_DN100105_c0_g1_i1	27	15	34	55	37	35
TRINITY_DN100108_c0_g1_i1	3	5	9	8	8	9
TRINITY_DN100115_c0_g1_i1	288	361	424	91	196	240
TRINITY_DN100194_c0_g1_i1	54.9101	40.2516	110.055	144.472	166.433	87.325
TRINITY_DN100230_c0_g1_i1	6	3	15	11	33	2
TRINITY_DN100260_c0_g2_i1	997	731	1021	420	658	930
TRINITY_DN100287_c0_g2_i1	4714	3674	6730	4862	5850	5085
TRINITY_DN100348_c0_g1_i1	0	0	1	1	0	0
TRINITY_DN100358_c0_g1_i1	302	212	482	374	494	256
TRINITY_DN100376_c0_g1_i1	795	155	194	88	295	156
TRINITY_DN100418_c0_g1_i1	66	36	84	55	35	14
TRINITY_DN100514_c0_g1_i1	1	0	0	9	4	0
TRINITY_DN100638_c0_g2_i1	3633	1924	3776	2793	3408	2331
TRINITY_DN100830_c0_g1_i2	5	0	9	2	5	20
TRINITY_DN100835_c0_g1_i1	575	180	327	357	456	535
TRINITY_DN101042_c0_g2_i1	68.333	68.0988	191.659	204.618	201.806	63.4734
TRINITY_DN101047_c0_g1_i2	106	62	73	70	124	70
TRINITY_DN101072_c0_g2_i2	6	744	24	2	549	87
TRINITY_DN101150_c0_g2_i1	670	230	290	396	551	412
TRINITY_DN101193_c0_g1_i1	38	40	103	117	132	53
TRINITY_DN101232_c0_g1_i1	449	187	385	472	390	414
TRINITY_DN101247_c0_g3_i1	12	14	44	29	41	10
TRINITY_DN101292_c0_g1_i3	40	46	54.0092	47.0113	32	24.0088
TRINITY_DN101326_c0_g1_i1	19	17	114	54	113	75
TRINITY_DN101356_c0_g1_i1	114	45	74	80	83	46
TRINITY_DN101361_c0_g1_i2	183	235	423	223	518	351
TRINITY_DN101369_c0_g1_i1	5	2	4	4	0	0
TRINITY_DN101457_c0_g1_i1	1198.67	582	883.292	595	697	615
TRINITY_DN101488_c0_g2_i2	2150	1410	1684	1000	1182	1825
TRINITY_DN101542_c0_g1_i1	2299.94	1490.63	3172.08	1714.83	2242.46	2018.14
TRINITY_DN101606_c0_g1_i1	13	1	13	11	10	6
TRINITY_DN101610_c0_g2_i1	8111	8943	7622	8949	9931	13053
TRINITY_DN101728_c0_g2_i1	3732	1508.21	861.964	1955.76	2588.74	3634.54
TRINITY_DN101751_c0_g1_i1	150	150	190	75	112	162
TRINITY_DN101798_c0_g1_i1	12	8	7	19	16	17
TRINITY_DN101809_c0_g1_i2	424	200	399	490	486	221
TRINITY_DN101821_c0_g1_i1	391	181	355	516	419	376
TRINITY_DN101833_c0_g1_i1	368	570	1413	988	836	556
TRINITY_DN101895_c0_g1_i1	123	183	287	72	119	92
TRINITY_DN101903_c0_g2_i2	472	200	552	469	552	180
TRINITY_DN101930_c0_g2_i1	0	0	0	0	2	1
TRINITY_DN101930_c0_g4_i3	1	0	3	2	5	0
TRINITY_DN101966_c0_g1_i1	72	54	75	35	46	42
TRINITY_DN102026_c0_g1_i2	136	77	124	169	186	37
TRINITY_DN102065_c0_g1_i1	1505	985	1393	722	1060	925
TRINITY_DN102078_c0_g1_i1	1389	1066	1161	1446	1222	2132
TRINITY_DN102094_c0_g3_i1	331	141	287	573	418	384
TRINITY_DN102159_c0_g1_i2	4711	1466	3851	3203	5076	5675
TRINITY_DN102162_c0_g1_i1	763	432	374	438	491	753
TRINITY_DN102167_c0_g1_i2	1093	875	1571	1656	1550	1275
