ID	Am2_463	Am2_464	Am4_461	Am6_462	Am6_464
TRINITY_DN100_c0_g2_i1	8.82594	17.7298	17.9001	7.46268	21.5922
TRINITY_DN100010_c0_g3_i1	1	0	2	1	0
TRINITY_DN100012_c0_g1_i1	1	1	7	4	2
TRINITY_DN100020_c0_g1_i1	2	0	0	0	0
TRINITY_DN100022_c0_g1_i1	27	23	104	44	28
TRINITY_DN100034_c0_g1_i1	166.378	411.751	259.285	323.895	925.03
TRINITY_DN100036_c0_g2_i1	0	0	4	0	0
TRINITY_DN100036_c0_g3_i1	2	1	1	1	4
TRINITY_DN100044_c0_g2_i1	0	1	1	2	0
TRINITY_DN100055_c0_g1_i1	1	1	2	2	2
TRINITY_DN100055_c0_g2_i1	0	0	3	0	0
TRINITY_DN100066_c0_g1_i1	1	1	8	1	0
TRINITY_DN100083_c0_g3_i1	3	3	3	3	9
TRINITY_DN100083_c0_g4_i1	13	7	12	34	41
TRINITY_DN100090_c0_g1_i2	0	0	1	3	1
TRINITY_DN100099_c0_g1_i1	58	108	48	55	78
TRINITY_DN100099_c0_g2_i1	28	52	32	26	48
TRINITY_DN100105_c0_g1_i1	8	5	17	7	15
TRINITY_DN100107_c0_g1_i1	4	4	6	5	6
TRINITY_DN100108_c0_g1_i1	0	0	0	0	0
TRINITY_DN100115_c0_g1_i1	94	448	139.434	208	654
TRINITY_DN100115_c0_g2_i1	0	0	4.56642	0	0
TRINITY_DN100119_c0_g1_i1	5	3	5	6	5
TRINITY_DN100121_c0_g1_i1	0	1	0	0	1
TRINITY_DN100127_c0_g1_i1	0	0	6	0	1
TRINITY_DN100132_c0_g1_i2	49	34	83	66	36
TRINITY_DN100158_c0_g1_i1	3	3.0717	12	5	8
TRINITY_DN100160_c0_g1_i1	5	14	5	2	13
TRINITY_DN100166_c0_g2_i1	1	1	1	0	3
TRINITY_DN100169_c0_g1_i1	6	5	15	13	8
TRINITY_DN100184_c0_g1_i1	6	2	3.89247	6	1.34349
TRINITY_DN100184_c0_g2_i1	0	2	3.10753	0	1.65651
TRINITY_DN100187_c0_g2_i1	3	5	7	3	2
TRINITY_DN100191_c0_g1_i1	5	0	5	2	1
TRINITY_DN100192_c0_g1_i2	11	5	11	11	17
TRINITY_DN100194_c0_g1_i1	2.02079	5.03414	6.01552	7.03971	9.05101
TRINITY_DN100194_c1_g1_i1	0	0	2	1	2
TRINITY_DN100194_c1_g2_i1	3	3	5	4	4
TRINITY_DN100215_c0_g1_i1	0	0	1	1	1
TRINITY_DN100230_c0_g1_i1	16	13	62	70	19
