sample	pop	stage	sex	group	sample size		LARVA	32	f	30	m
Am2_231	Am	23	F	Am_23_F	3		ADULT	29		31	
Am4_232	Am	23	F	Am_23_F							
Am5_232	Am	23	F	Am_23_F							
Am2_233	Am	23	M	Am_23_M	3						
Am4_231	Am	23	M	Am_23_M							
Am5_231	Am	23	M	Am_23_M							
Am2_274	Am	27	F	Am_27_F	3						
Am4_271	Am	27	F	Am_27_F							
Am5_273	Am	27	F	Am_27_F							
Am2_275	Am	27	M	Am_27_M	3						
Am4_272	Am	27	M	Am_27_M							
Am5_274	Am	27	M	Am_27_M							
Am2_314	Am	31	F	Am_31_F	4						
Am2_318	Am	31	F	Am_31_F							
Am4_314	Am	31	F	Am_31_F							
Am5_311	Am	31	F	Am_31_F							
Am2_315	Am	31	M	Am_31_M	5						
Am2_316	Am	31	M	Am_31_M							
Am4_317	Am	31	M	Am_31_M							
Am5_312	Am	31	M	Am_31_M							
Am5_313	Am	31	M	Am_31_M							
Am2_433	Am	43	F	Am_43_F	3						
Am4_435	Am	43	F	Am_43_F							
Am5_433	Am	43	F	Am_43_F							
Am1_434	Am	43	M	Am_43_M	3						
Am2_434	Am	43	M	Am_43_M							
Am4_434	Am	43	M	Am_43_M							
Am2_464	Am	46	F	Am_46_F	2						
Am6_464	Am	46	F	Am_46_F							
Am2_463	Am	46	M	Am_46_M	4						
Am4_461	Am	46	M	Am_46_M							
Am5_461	Am	46	M	Am_46_M							
Am6_462	Am	46	M	Am_46_M		ADULT		LARVA			
A10FB	Amm	Brain	F	F_B	5	A10	1	A10	M	F	
A12FB	Amm	Brain	F	F_B		A12	2	A12	A10	A10	
A15FB	Amm	Brain	F	F_B		A15	3		A15	A12	
A16FB	Amm	Brain	F	F_B		A16	4	A16	A16	A15	
A17FB	Amm	Brain	F	F_B		A17	5	A17	A17	A16	
A10MB	Amm	Brain	M	M_B	5	A8	6	A8	A8	A17	
A15MB	Amm	Brain	M	M_B		A6	7	A6	A6	A2	
A16MB	Amm	Brain	M	M_B		A2	8		A12	A6	
A17MB	Amm	Brain	M	M_B		A15	9		7	A8	
A8MB	Amm	Brain	M	M_B		A7	10			A7	
A10FO1	Amm	gonad	F	F_O	5		11	A11		9	
A17FO1	Amm	gonad	F	F_O							
A6FO1	Amm	gonad	F	F_O							
A8FO2	Amm	gonad	F	F_O							
A2FO2	Amm	gonad	F	F_O							
A17MT1	Amm	gonad	M	M_T	5						
A6MT1	Amm	gonad	M	M_T							
A15MT1	Amm	gonad	M	M_T							
A8MT1	Amm	gonad	M	M_T							
A12MT1	Amm	gonad	M	M_T							
A2FL1	Amm	liver	F	F_L	5						
A7FL1	Amm	liver	F	F_L							
A8FL1	Amm	liver	F	F_L							
A12FL1	Amm	liver	F	F_L							
A17FL1	Amm	liver	F	F_L							
A15ML1	Amm	liver	M	M_L	4						
A12ML1	Amm	liver	M	M_L							
A17ML1	Amm	liver	M	M_L							
A8ML1	Amm	liver	M	M_L							
