ID	Am2_314	Am2_315	Am2_316	Am2_318	Am4_314	Am4_317	Am5_311	Am5_312	Am5_313
TRINITY_DN121132_c3_g1_i1	1.47806	4	1	1.48175	0	4.43665	2	4.43733	4
TRINITY_DN118196_c2_g1_i2	3.05117	6.09704	9.27092	5.06677	4.06676	8.12959	5.07886	9.10597	25.4439
TRINITY_DN96721_c0_g1_i1	311.38	253.846	171.76	125.543	196.561	137.31	275.455	338.034	262.179
TRINITY_DN25596_c0_g2_i1	0	1	0	0	0	2	1	0	2
TRINITY_DN118551_c2_g2_i2	5	4	2.15969	2	3	1	5	2	3
TRINITY_DN117995_c0_g2_i1	3796	3018	1959	1519	2282	2088	2056	3177	2665
TRINITY_DN118241_c1_g2_i1	3	13	3	2	3	4	0	2	3
TRINITY_DN123315_c1_g2_i1	21427	16658	9479.99	9359.93	15015	12329	14246	16141	14915
TRINITY_DN127193_c5_g1_i4	113.434	69.7661	0	9.24175	157	60.7112	82.7789	75.7147	110.359
TRINITY_DN107645_c0_g1_i1	738.19	522.635	345.241	300	334.057	364.001	395.475	555.378	443.564
TRINITY_DN125974_c9_g2_i2	81.2379	67.8978	27.4939	32.5866	46.6592	31.4852	31.704	65.9541	32.3468
TRINITY_DN67193_c0_g3_i1	43	31	20	15	16	11	29	29	27
TRINITY_DN122624_c1_g1_i4	125	90	52	53	85	113	98	225	140
TRINITY_DN136486_c0_g2_i1	273	288	61	85	275	157	209	193	181
TRINITY_DN113170_c0_g1_i1	19	10	5	10	12.5793	4	6	16	13
TRINITY_DN135232_c0_g3_i5	75	226	102	31	569	488.614	420	660	322
TRINITY_DN129802_c0_g16_i1	1.30479	8.56313	0	2.9629	0.973237	0	22.2076	2.90294	9.0437
TRINITY_DN106071_c1_g2_i1	26	20	13	9	4	7	15	10	12
TRINITY_DN151085_c0_g1_i1	0	2	0	0	0	0	0	2	0
TRINITY_DN115046_c1_g1_i1	756	675.499	350	336	366	320	461	610	628.602
TRINITY_DN133940_c0_g1_i2	61	35	16	15	30	26	76	161	96
TRINITY_DN123646_c0_g3_i1	66	38	11	23	29	24	34	54	23
TRINITY_DN135318_c2_g1_i19	8124	10873	5084.99	4834.97	2997	4752	3747	5468.99	4420.99
TRINITY_DN130522_c1_g5_i1	107	84	48	22	49	29	57	138	45
TRINITY_DN134249_c2_g4_i1	102	74	66	41	63	56	112	188	133
TRINITY_DN120727_c0_g2_i1	813.831	699.558	413.356	293.509	312.786	268.23	386.993	586.059	372.672
TRINITY_DN106792_c0_g1_i1	0	0	1	0	0	0	1	3	0
TRINITY_DN121176_c0_g1_i3	109	99	78	69	112	89	91	140	117
TRINITY_DN133977_c8_g3_i1	98	89	32	36	53	41	101.304	37	43
TRINITY_DN133462_c3_g1_i1	106	133	81	33	54	49	47	49	64
TRINITY_DN120019_c0_g1_i1	110	35	37	45	42	23	38	66	28
TRINITY_DN129546_c5_g6_i3	7337	5092	3117	1661	1905	2637	3026	4614	2442
TRINITY_DN131833_c2_g4_i2	570	373	250	243	248	258	232	432	353
