ID	A17MB	A17FB	A16MB	A15MB	A15FB	A12FB	A10MB	A10FB	A8MB
TRINITY_DN86923_c0_g1_i1	0	13.3792	0	0	10	27.37	2	7.69137	0
TRINITY_DN211045_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN151085_c0_g1_i1	5	0	0	0	2	0	0	0	5
TRINITY_DN15160_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN131408_c1_g3_i2	137.052	97	87.1025	153.589	59.6655	34	100	54.9465	61.2681
TRINITY_DN135495_c0_g4_i4	619	870	517	999	733	702	796	691	868
TRINITY_DN131528_c2_g1_i1	145	167	115	196	117	91	126	123	119
TRINITY_DN126312_c0_g1_i4	16	21	18	17	14	21	29	19	27
TRINITY_DN25704_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN44120_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN77205_c0_g3_i1	0	15	0	0	2	12	2	5	0
TRINITY_DN30819_c0_g1_i1	1	21	0	2	5	22	5	9	0
TRINITY_DN133310_c0_g2_i1	28	57	29	37	36	23	25	34	26
TRINITY_DN155306_c0_g1_i1	0	0	2	0	0	1	0	2	2
TRINITY_DN152130_c0_g1_i1	0	12	0	0	3	16	0	9	0
TRINITY_DN126328_c0_g2_i1	18	25	14	29	19	27	20	32	24
TRINITY_DN110993_c0_g3_i1	5	8	9	11	4	4	6	7	7
TRINITY_DN136320_c0_g1_i1	33	45	36	94	45	43	33	36	45
TRINITY_DN125015_c6_g1_i1	175.694	182.082	199.705	439.769	73.6315	179.92	53.115	185.42	240.074
TRINITY_DN127376_c0_g1_i1	77	129.174	70	100	56.1166	95.2172	79	64	70
TRINITY_DN127901_c0_g2_i1	40.4561	41.7834	38.6799	82.0645	55.9948	9.15002	54.327	39.5748	54.88
TRINITY_DN107798_c0_g2_i1	5	15	9	13	5	9	9	6	11
TRINITY_DN125214_c0_g1_i1	400	402	363	491	293	280	373	327	339
TRINITY_DN136216_c2_g1_i1	295.504	286.461	249.07	357.103	286.646	207.517	407.436	404.882	59.2452
TRINITY_DN115599_c0_g1_i1	134	140	82	152	105	100	82	111	86
TRINITY_DN115304_c0_g2_i1	0	4	3	2	3	2	0	1	1
TRINITY_DN78339_c0_g3_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN76836_c0_g2_i1	0	16	0	0	3	12	2	5	0
TRINITY_DN179737_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN119931_c0_g1_i1	206	267	249	370	239	210	258	278	248
TRINITY_DN75935_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN128516_c1_g3_i2	380.484	232.533	228.765	427.706	235.033	266.076	293.859	252.901	256.68
TRINITY_DN116342_c0_g2_i1	0	0	0	0	0	0	0	3	1
TRINITY_DN316_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN110146_c0_g1_i3	43	17	11	33	13	24	31	32	12
TRINITY_DN93335_c0_g2_i1	5.12415	10	11.3645	27	7.67596	11	20	7.73946	16
TRINITY_DN189172_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN25687_c0_g1_i1	0	0	3	0	0	5	3	2	2
TRINITY_DN121522_c0_g1_i3	0	0	0	0	0	0	0	0	0
TRINITY_DN121834_c1_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN84343_c0_g3_i2	3	5	1	7	4	7	2	9	1
TRINITY_DN116988_c0_g1_i1	129	97	46	132	110	92	94.3053	69.737	140.933
TRINITY_DN125389_c0_g2_i1	125.597	196.701	151	304	128.336	152.464	173	139.731	98.37
TRINITY_DN104790_c0_g1_i1	2	3	7.88939	6.67318	8.08552	6.28708	13.1344	3.03071	7.1009
TRINITY_DN135536_c0_g5_i3	9	12	22	14	18	14	10	11	10
TRINITY_DN138947_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN179341_c0_g1_i1	0	0	0	0	0	1	0	0	0
TRINITY_DN122521_c1_g1_i1	6	13	8	10	8	3	2	11	13
TRINITY_DN215710_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN176837_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN121040_c0_g3_i2	61	131	47.8095	97.15	88	76.0778	43	25	61
TRINITY_DN216792_c0_g1_i1	0	4	0	0	2	7	0	2	0
TRINITY_DN157929_c0_g1_i1	0	6	0	0	1	13	1	3	0
TRINITY_DN44213_c0_g1_i1	13	20	9	18	20	5	19	27	11
TRINITY_DN152327_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN195750_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN106221_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN136027_c5_g1_i1	311	362	262	557	213	241	255	211	252
TRINITY_DN73873_c0_g2_i1	3	1	2	1	4	0	2	1	1
TRINITY_DN209879_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN136232_c2_g1_i2	473	526	285	592	392	379	325	458	478
TRINITY_DN197955_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN130370_c3_g3_i3	1348	1339	2323	3588	1253	1246	1562	1123	1951
TRINITY_DN3289_c0_g1_i1	0	4	0	0	3	7	0	4	0
TRINITY_DN84079_c0_g2_i1	0	70	0	0	11	56	2	27	0
TRINITY_DN88548_c0_g1_i1	0	1	2	2	0	3	0	2	7
TRINITY_DN112907_c0_g2_i1	152.208	194	157.768	286.618	159	152	152.044	161	236.38
TRINITY_DN121419_c0_g1_i2	101.207	50.7996	81.5215	144.64	92.0421	70.4394	119.553	81.1638	91.1859
TRINITY_DN164867_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN128639_c1_g5_i1	27.235	29.6406	15.4887	20.4044	16.732	21.9426	8.65549	0.0592657	21.9047
TRINITY_DN140989_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN38313_c0_g1_i1	0	3	0	2	0	3	0	0	2
TRINITY_DN116944_c0_g1_i1	354	526	360	765	434	491	520	480	494
TRINITY_DN80439_c0_g2_i1	0	6	2	2	1	5	0	0	0
TRINITY_DN68403_c0_g2_i1	0	1.53471	0	0	2	8.61532	0	0	0
TRINITY_DN76922_c0_g3_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN120724_c0_g1_i1	52	63	56	125	50	69	55	83	69
TRINITY_DN126177_c8_g2_i3	279.419	346.859	277.53	430.47	213.201	289.644	432.129	276.899	304.601
TRINITY_DN102142_c0_g1_i1	4	2	3	12	1	5	5	9	8
TRINITY_DN128543_c0_g14_i1	0	0	8.07276	0	0	0	0.000158652	0	0
TRINITY_DN194447_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN136324_c5_g3_i1	12	28	18	24	22	17	26	8	16
TRINITY_DN133534_c2_g9_i5	57	91	66	129	59	20	133	26	68
TRINITY_DN182689_c0_g1_i1	0	11	0	0	3	9	2	3	0
TRINITY_DN129806_c2_g1_i1	0	3.24031	0	13.4279	0	0	0	0	3.21899
TRINITY_DN130167_c0_g1_i1	252.814	390.357	286.964	505.458	327.625	360.846	301.763	306.158	255.276
TRINITY_DN80325_c0_g1_i1	0	26	0	0	4	41	0	9	0
TRINITY_DN170960_c0_g1_i1	0	23	0	0	7	13	0	2	0
TRINITY_DN16223_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN136717_c7_g2_i2	43	73	42	130	53	57	51	81	68
TRINITY_DN120174_c0_g4_i1	0	0	0	0	0	0	0	1.67833	0
TRINITY_DN134008_c0_g3_i1	204.669	281.695	249.652	520.338	267.904	305.584	205.914	245.749	309.967
TRINITY_DN124216_c1_g3_i9	963.909	697	550	1240	699.247	691	672	869	960
TRINITY_DN145298_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN183511_c0_g1_i1	1	4	1	1	1	4	3	1	5
TRINITY_DN125780_c3_g4_i1	0	4	1	1	0	4	0	0	1
TRINITY_DN140959_c0_g1_i1	100	56	50	115	51	63	89	68	55
TRINITY_DN38574_c0_g2_i1	0	16.4059	0	0	7	30.2687	4.41E-08	10.6293	0
TRINITY_DN123066_c0_g1_i1	43	17	20.8549	70.6695	12.4801	30	25	30	26.5922
TRINITY_DN66897_c0_g1_i1	0	0	0	0	0	0	0	0	0
