GO category	GO	Term	Annotated	Significant	Expected	topGO (Fisher)	classic (Fisher)
BP	GO:0016266	O-glycan processing	24	18	7.68	1.9e-05	1.9e-05
BP	GO:0006793	phosphorus metabolic process	1807	559	578.26	0.00012	0.86223
BP	GO:0006383	transcription from RNA polymerase III pr...	38	22	12.16	0.00046	0.00086
BP	GO:0006400	tRNA modification	49	28	15.68	0.00051	0.00024
BP	GO:0070936	protein K48-linked ubiquitination	33	20	10.56	0.00066	0.00066
BP	GO:0032926	negative regulation of activin receptor ...	9	8	2.88	0.00070	0.00070
BP	GO:0001522	pseudouridine synthesis	17	10	5.44	0.00107	0.02031
BP	GO:0060467	negative regulation of fertilization	6	6	1.92	0.00107	0.00107
BP	GO:0070534	protein K63-linked ubiquitination	32	17	10.24	0.00108	0.01056
BP	GO:0007339	binding of sperm to zona pellucida	17	12	5.44	0.00124	0.00124
BP	GO:0006914	autophagy	263	97	84.16	0.00183	0.05063
BP	GO:0070979	protein K11-linked ubiquitination	24	15	7.68	0.00203	0.00203
BP	GO:0008033	tRNA processing	97	52	31.04	0.00231	8.0e-06
BP	GO:0016051	carbohydrate biosynthetic process	119	46	38.08	0.00278	0.07292
BP	GO:0070897	DNA-templated transcriptional preinitiat...	15	9	4.8	0.00335	0.02349
BP	GO:0006547	histidine metabolic process	5	5	1.6	0.00335	0.00335
BP	GO:0052805	imidazole-containing compound catabolic ...	5	5	1.6	0.00335	0.00335
BP	GO:0006670	sphingosine metabolic process	7	6	2.24	0.00544	0.00544
BP	GO:0042373	vitamin K metabolic process	7	6	2.24	0.00544	0.00544
BP	GO:0006189	'de novo' IMP biosynthetic process	7	6	2.24	0.00544	0.00544
BP	GO:0017148	negative regulation of translation	118	48	37.76	0.00557	0.02835
BP	GO:0006270	DNA replication initiation	26	15	8.32	0.00610	0.00599
BP	GO:0007080	mitotic metaphase plate congression	24	14	7.68	0.00611	0.00689
BP	GO:0006754	ATP biosynthetic process	35	12	11.2	0.00618	0.44824
BP	GO:0035871	protein K11-linked deubiquitination	9	7	2.88	0.00641	0.00641
BP	GO:0000959	mitochondrial RNA metabolic process	28	16	8.96	0.00663	0.00519
BP	GO:0016567	protein ubiquitination	496	200	158.73	0.00670	3.9e-05
BP	GO:0007098	centrosome cycle	87	31	27.84	0.00695	0.26705
CC	GO:0016021	integral component of membrane	1969	662	624.43	0.00029	0.0217
CC	GO:0070382	exocytic vesicle	98	33	31.08	0.00066	0.3738
CC	GO:0032426	stereocilium tip	8	7	2.54	0.00186	0.0019
CC	GO:0005666	DNA-directed RNA polymerase III complex	12	9	3.81	0.00260	0.0026
CC	GO:0048500	signal recognition particle	5	5	1.59	0.00320	0.0032
CC	GO:0017059	serine C-palmitoyltransferase complex	5	5	1.59	0.00320	0.0032
MF	GO:0003899	DNA-directed 5'-3' RNA polymerase activi...	37	26	11.66	1.4e-06	1.4e-06
MF	GO:0016740	transferase activity	1850	637	582.89	0.0013	0.00161
MF	GO:0140103	catalytic activity, acting on a glycopro...	23	16	7.25	0.0024	0.00020
MF	GO:0016779	nucleotidyltransferase activity	113	56	35.6	0.0024	4.5e-05
MF	GO:0005351	sugar:proton symporter activity	17	10	5.36	0.0025	0.01813
MF	GO:0008532	N-acetyllactosaminide beta-1,3-N-acetylg...	5	5	1.58	0.0031	0.00310
MF	GO:0001104	RNA polymerase II transcription cofactor...	63	23	19.85	0.0038	0.23310
MF	GO:0016616	oxidoreductase activity, acting on the C...	106	43	33.4	0.0078	0.02972
MF	GO:0005070	SH3/SH2 adaptor activity	32	17	10.08	0.0089	0.00892
MF	GO:0061659	ubiquitin-like protein ligase activity	148	65	46.63	0.0097	0.00094
