GO category	GO	Term	Annotated	Significant	Expected	topGO (Fisher)	classic (Fisher)
BP	GO:0007586	digestion	39	5	0.44	6.7e-05	6.7e-05
BP	GO:0034377	plasma lipoprotein particle assembly	13	3	0.15	0.00036	0.00036
BP	GO:0006699	bile acid biosynthetic process	21	3	0.23	0.00156	0.00156
BP	GO:0009725	response to hormone	387	13	4.32	0.00171	0.00036
BP	GO:0019748	secondary metabolic process	31	4	0.35	0.00242	0.00037
BP	GO:0052696	flavonoid glucuronidation	7	2	0.08	0.00250	0.00250
BP	GO:0052697	xenobiotic glucuronidation	7	2	0.08	0.00250	0.00250
BP	GO:0042574	retinal metabolic process	7	2	0.08	0.00250	0.00250
BP	GO:0006707	cholesterol catabolic process	8	2	0.09	0.00331	0.00331
BP	GO:0034435	cholesterol esterification	8	2	0.09	0.00331	0.00331
BP	GO:0035358	regulation of peroxisome proliferator ac...	8	2	0.09	0.00331	0.00331
BP	GO:0016137	glycoside metabolic process	9	2	0.1	0.00423	0.00423
BP	GO:0034383	low-density lipoprotein particle clearan...	10	2	0.11	0.00525	0.00525
BP	GO:0042632	cholesterol homeostasis	33	3	0.37	0.00579	0.00579
BP	GO:0071276	cellular response to cadmium ion	12	2	0.13	0.00758	0.00758
BP	GO:0007565	female pregnancy	67	5	0.75	0.00823	0.00088
BP	GO:0008203	cholesterol metabolic process	82	6	0.92	0.00873	0.00030
CC	GO:0005615	extracellular space	1159	20	11.97	0.0019	0.012
CC	GO:0031090	organelle membrane	1488	13	15.36	0.0100	0.790
MF	GO:0045735	nutrient reservoir activity	5	5	0.07	3.5e-10	3.5e-10
MF	GO:0047023	androsterone dehydrogenase activity	5	3	0.07	2.1e-05	2.1e-05
MF	GO:0004867	serine-type endopeptidase inhibitor acti...	70	6	0.92	0.00029	0.00029
MF	GO:0008569	ATP-dependent microtubule motor activity...	11	3	0.14	0.00033	0.00033
MF	GO:0004033	aldo-keto reductase (NADP) activity	13	4	0.17	0.00049	1.8e-05
MF	GO:0045503	dynein light chain binding	17	3	0.22	0.00130	0.00130
MF	GO:0001758	retinal dehydrogenase activity	5	2	0.07	0.00166	0.00166
MF	GO:0047115	trans-1,2-dihydrobenzene-1,2-diol dehydr...	5	2	0.07	0.00166	0.00166
MF	GO:0020037	heme binding	132	7	1.73	0.00169	0.00169
MF	GO:0008395	steroid hydroxylase activity	40	4	0.52	0.00178	0.00178
MF	GO:0045505	dynein intermediate chain binding	19	3	0.25	0.00182	0.00182
MF	GO:0035671	enone reductase activity	6	2	0.08	0.00247	0.00247
MF	GO:0051959	dynein light intermediate chain binding	22	3	0.29	0.00281	0.00281
MF	GO:0005179	hormone activity	22	3	0.29	0.00281	0.00281
MF	GO:0004022	alcohol dehydrogenase (NAD) activity	8	2	0.1	0.00453	0.00453
MF	GO:0052650	NADP-retinol dehydrogenase activity	8	2	0.1	0.00453	0.00453
MF	GO:0005506	iron ion binding	162	7	2.12	0.00531	0.00531
