GO category	GO	Term	Annotated	Significant	Expected	topGO (Fisher)	classic (Fisher)
BP	GO:0006614	SRP-dependent cotranslational protein ta...	20	4	0.18	2.8e-05	2.8e-05
BP	GO:0006413	translational initiation	105	7	0.96	0.00020	4.7e-05
BP	GO:0000184	nuclear-transcribed mRNA catabolic proce...	36	4	0.33	0.00031	0.00031
BP	GO:0006953	acute-phase response	20	3	0.18	0.00075	0.00075
BP	GO:0052695	cellular glucuronidation	5	2	0.05	0.00081	0.00081
BP	GO:0043044	ATP-dependent chromatin remodeling	48	4	0.44	0.00093	0.00093
BP	GO:0019083	viral transcription	49	4	0.45	0.00101	0.00101
BP	GO:0006364	rRNA processing	152	7	1.39	0.00134	0.00047
BP	GO:0018879	biphenyl metabolic process	7	2	0.06	0.00168	0.00168
BP	GO:0071392	cellular response to estradiol stimulus	27	3	0.25	0.00184	0.00184
BP	GO:0072553	terminal button organization	8	2	0.07	0.00222	0.00222
BP	GO:0006334	nucleosome assembly	53	4	0.48	0.00269	0.00136
BP	GO:0042440	pigment metabolic process	48	3	0.44	0.00349	0.00947
BP	GO:0071361	cellular response to ethanol	11	2	0.1	0.00429	0.00429
BP	GO:0046037	GMP metabolic process	12	2	0.11	0.00512	0.00512
BP	GO:0071385	cellular response to glucocorticoid stim...	40	3	0.36	0.00570	0.00570
BP	GO:0051653	spindle localization	24	2	0.22	0.00905	0.01995
BP	GO:0043101	purine-containing compound salvage	16	2	0.15	0.00909	0.00909
BP	GO:0060688	regulation of morphogenesis of a branchi...	16	2	0.15	0.00909	0.00909
BP	GO:0006521	regulation of cellular amino acid metabo...	16	2	0.15	0.00909	0.00909
CC	GO:0070062	extracellular exosome	1024	23	9.47	3.9e-05	3.9e-05
CC	GO:0016581	NuRD complex	12	3	0.11	0.00016	0.00016
CC	GO:0022625	cytosolic large ribosomal subunit	16	3	0.15	0.00039	0.00039
CC	GO:0031012	extracellular matrix	272	9	2.52	0.00043	0.00089
CC	GO:0034663	endoplasmic reticulum chaperone complex	5	2	0.05	0.00083	0.00083
CC	GO:1902560	GMP reductase complex	6	2	0.06	0.00124	0.00124
CC	GO:0016020	membrane	5205	44	48.13	0.00563	0.83875
CC	GO:0032993	protein-DNA complex	59	4	0.55	0.00703	0.00211
CC	GO:0005925	focal adhesion	244	7	2.26	0.00729	0.00729
MF	GO:0003920	GMP reductase activity	7	2	0.07	0.0021	0.00208
MF	GO:0001972	retinoic acid binding	7	2	0.07	0.0021	0.00208
MF	GO:0004003	ATP-dependent DNA helicase activity	26	3	0.26	0.0022	0.00225
MF	GO:0017134	fibroblast growth factor binding	9	2	0.09	0.0035	0.00352
MF	GO:0031492	nucleosomal DNA binding	10	2	0.1	0.0044	0.00437
MF	GO:0004407	histone deacetylase activity	28	4	0.28	0.0051	0.00017
MF	GO:0035613	RNA stem-loop binding	11	2	0.11	0.0053	0.00531
MF	GO:0048027	mRNA 5'-UTR binding	11	2	0.11	0.0053	0.00531
MF	GO:0016805	dipeptidase activity	12	2	0.12	0.0063	0.00633
MF	GO:0030247	polysaccharide binding	13	2	0.13	0.0074	0.00743
