GO category	GO	Term	Annotated	Significant	Expected	topGO (Fisher)	classic (Fisher)
BP	GO:0006614	SRP-dependent cotranslational protein ta...	20	4	0.1	2.8e-06	2.8e-06
BP	GO:0006413	translational initiation	105	7	0.54	1.1e-05	9.9e-07
BP	GO:0000184	nuclear-transcribed mRNA catabolic proce...	36	4	0.18	3.2e-05	3.2e-05
BP	GO:0006364	rRNA processing	152	7	0.78	8.6e-05	1.2e-05
BP	GO:0043044	ATP-dependent chromatin remodeling	48	4	0.25	0.00010	0.00010
BP	GO:0019083	viral transcription	49	4	0.25	0.00011	0.00011
BP	GO:0006334	nucleosome assembly	53	4	0.27	0.00050	0.00015
BP	GO:0072553	terminal button organization	8	2	0.04	0.00071	0.00071
BP	GO:0006521	regulation of cellular amino acid metabo...	16	2	0.08	0.00296	0.00296
BP	GO:0006376	mRNA splice site selection	17	2	0.09	0.00334	0.00334
BP	GO:0051225	spindle assembly	59	3	0.3	0.00339	0.00339
BP	GO:0045815	positive regulation of gene expression, ...	19	2	0.1	0.00417	0.00417
BP	GO:0051653	spindle localization	24	2	0.12	0.00505	0.00663
BP	GO:0070979	protein K11-linked ubiquitination	24	2	0.12	0.00663	0.00663
CC	GO:0070062	extracellular exosome	1024	18	5.43	2.4e-06	2.4e-06
CC	GO:0016581	NuRD complex	12	3	0.06	3.0e-05	3.0e-05
CC	GO:0022625	cytosolic large ribosomal subunit	16	3	0.08	7.5e-05	7.5e-05
CC	GO:0005925	focal adhesion	244	7	1.29	0.00028	0.00028
CC	GO:0032993	protein-DNA complex	59	4	0.31	0.00141	0.00026
CC	GO:0016020	membrane	5205	23	27.58	0.00156	0.92358
CC	GO:0005720	nuclear heterochromatin	17	2	0.09	0.00356	0.00356
CC	GO:0005730	nucleolus	498	8	2.64	0.00568	0.00433
CC	GO:0002102	podosome	28	2	0.15	0.00953	0.00953
MF	GO:0004003	ATP-dependent DNA helicase activity	26	3	0.14	0.00035	0.00035
MF	GO:0003723	RNA binding	1186	25	6.36	0.00070	3.8e-10
MF	GO:0003735	structural constituent of ribosome	135	5	0.72	0.00076	0.00076
MF	GO:0031492	nucleosomal DNA binding	10	2	0.05	0.00124	0.00124
MF	GO:0004407	histone deacetylase activity	28	4	0.15	0.00141	1.4e-05
MF	GO:0035613	RNA stem-loop binding	11	2	0.06	0.00151	0.00151
MF	GO:0048027	mRNA 5'-UTR binding	11	2	0.06	0.00151	0.00151
MF	GO:0003743	translation initiation factor activity	47	3	0.25	0.00201	0.00201
MF	GO:0005524	ATP binding	1284	15	6.89	0.00254	0.00254
MF	GO:0042826	histone deacetylase binding	53	3	0.28	0.00284	0.00284
MF	GO:0004004	ATP-dependent RNA helicase activity	58	3	0.31	0.00367	0.00367
MF	GO:0061631	ubiquitin conjugating enzyme activity	19	2	0.1	0.00456	0.00456
MF	GO:0001103	RNA polymerase II repressing transcripti...	22	2	0.12	0.00610	0.00610
MF	GO:0003729	mRNA binding	127	6	0.68	0.00785	5.7e-05
