GO category	GO	Term	Annotated	Significant	Expected	topGO (Fisher)	classic (Fisher)
BP	GO:0051301	cell division	487	222	126.1	5.0e-30	7.5e-22
BP	GO:0006355	regulation of transcription, DNA-templat...	2036	656	527.17	4.4e-14	1.2e-12
BP	GO:0007049	cell cycle	1181	532	305.79	1.6e-13	< 1e-30
BP	GO:0006397	mRNA processing	386	195	99.94	1.8e-13	6.1e-26
BP	GO:0008033	tRNA processing	93	64	24.08	8.0e-11	4.0e-18
BP	GO:0006260	DNA replication	213	128	55.15	1.9e-10	2.4e-26
BP	GO:0034587	piRNA metabolic process	19	18	4.92	3.8e-10	3.8e-10
BP	GO:0031047	gene silencing by RNA	80	50	20.71	7.6e-10	5.2e-12
BP	GO:0000724	double-strand break repair via homologou...	75	51	19.42	1.0e-09	2.2e-14
BP	GO:0007062	sister chromatid cohesion	55	34	14.24	2.2e-09	2.0e-08
BP	GO:0006606	protein import into nucleus	180	65	46.61	2.2e-09	0.00146
BP	GO:0006281	DNA repair	385	219	99.69	2.7e-09	< 1e-30
BP	GO:0008380	RNA splicing	337	155	87.26	3.4e-09	5.5e-16
BP	GO:0006417	regulation of translation	244	108	63.18	2.7e-08	2.7e-10
BP	GO:0000278	mitotic cell cycle	551	248	142.67	5.2e-08	2.2e-23
BP	GO:0034501	protein localization to kinetochore	12	12	3.11	8.9e-08	8.9e-08
BP	GO:0006406	mRNA export from nucleus	53	31	13.72	9.7e-08	5.0e-07
BP	GO:0006364	rRNA processing	147	100	38.06	1.2e-07	5.7e-27
BP	GO:0007131	reciprocal meiotic recombination	25	19	6.47	2.4e-07	2.2e-07
BP	GO:1901796	regulation of signal transduction by p53...	60	29	15.54	3.3e-07	0.00015
BP	GO:0000462	maturation of SSU-rRNA from tricistronic...	24	18	6.21	5.4e-07	6.6e-07
BP	GO:0000387	spliceosomal snRNP assembly	30	23	7.77	6.6e-07	8.4e-09
BP	GO:0000398	mRNA splicing, via spliceosome	208	96	53.86	1.4e-06	1.7e-10
BP	GO:0006310	DNA recombination	178	113	46.09	1.7e-06	2.6e-26
BP	GO:0006383	transcription from RNA polymerase III pr...	36	22	9.32	1.8e-06	8.6e-06
BP	GO:0051321	meiotic cell cycle	135	84	34.95	1.8e-06	4.5e-19
BP	GO:0043046	DNA methylation involved in gamete gener...	17	14	4.4	1.8e-06	1.8e-06
BP	GO:0051225	spindle assembly	63	33	16.31	2.0e-06	6.2e-06
BP	GO:0051028	mRNA transport	102	59	26.41	3.0e-06	7.3e-12
BP	GO:0007059	chromosome segregation	203	122	52.56	3.1e-06	3.6e-25
BP	GO:0016569	covalent chromatin modification	380	164	98.39	3.7e-06	8.7e-14
BP	GO:0006283	transcription-coupled nucleotide-excisio...	28	19	7.25	3.8e-06	3.8e-06
BP	GO:0006368	transcription elongation from RNA polyme...	47	30	12.17	4.3e-06	4.8e-08
BP	GO:0007098	centrosome cycle	85	47	22.01	4.7e-06	7.4e-09
BP	GO:0031145	anaphase-promoting complex-dependent cat...	22	16	5.7	5.6e-06	5.6e-06
BP	GO:0030174	regulation of DNA-dependent DNA replicat...	11	10	2.85	1.1e-05	1.1e-05
BP	GO:0007140	male meiotic nuclear division	18	16	4.66	1.6e-05	3.5e-08
BP	GO:0006270	DNA replication initiation	26	22	6.73	1.8e-05	5.6e-10
BP	GO:0031297	replication fork processing	19	14	4.92	1.8e-05	1.8e-05
BP	GO:0000070	mitotic sister chromatid segregation	100	57	25.89	1.9e-05	3.7e-11
BP	GO:0051315	attachment of mitotic spindle microtubul...	8	8	2.07	2.0e-05	2.0e-05
BP	GO:0006284	base-excision repair	26	17	6.73	2.6e-05	2.6e-05
BP	GO:0010501	RNA secondary structure unwinding	33	20	8.54	2.6e-05	2.6e-05
BP	GO:0006974	cellular response to DNA damage stimulus	542	282	140.34	2.8e-05	< 1e-30
BP	GO:0006405	RNA export from nucleus	79	49	20.46	3.7e-05	1.3e-11
BP	GO:0006396	RNA processing	672	373	174	4.1e-05	< 1e-30
BP	GO:0034080	CENP-A containing nucleosome assembly	12	10	3.11	5.2e-05	5.2e-05
BP	GO:0019827	stem cell population maintenance	78	30	20.2	5.4e-05	0.00977
BP	GO:0070475	rRNA base methylation	7	7	1.81	7.8e-05	7.8e-05
BP	GO:0036297	interstrand cross-link repair	23	15	5.96	8.3e-05	8.3e-05
BP	GO:0006367	transcription initiation from RNA polyme...	59	30	15.28	0.00010	3.5e-05
BP	GO:0000722	telomere maintenance via recombination	19	13	4.92	0.00012	0.00012
BP	GO:0002098	tRNA wobble uridine modification	9	8	2.33	0.00014	0.00014
BP	GO:0006297	nucleotide-excision repair, DNA gap fill...	9	8	2.33	0.00014	0.00014
BP	GO:0006268	DNA unwinding involved in DNA replicatio...	9	8	2.33	0.00014	0.00014
BP	GO:0007283	spermatogenesis	215	84	55.67	0.00015	1.3e-05
BP	GO:0051382	kinetochore assembly	15	11	3.88	0.00016	0.00016
BP	GO:0045292	mRNA cis splicing, via spliceosome	15	11	3.88	0.00016	0.00016
BP	GO:0060964	regulation of gene silencing by miRNA	27	14	6.99	0.00017	0.00345
BP	GO:0006296	nucleotide-excision repair, DNA incision...	13	10	3.37	0.00017	0.00017
BP	GO:0070125	mitochondrial translational elongation	39	21	10.1	0.00018	0.00018
BP	GO:0001522	pseudouridine synthesis	17	14	4.4	0.00030	1.8e-06
BP	GO:0000466	maturation of 5.8S rRNA from tricistroni...	17	14	4.4	0.00030	1.8e-06
BP	GO:0070816	phosphorylation of RNA polymerase II C-t...	17	12	4.4	0.00030	0.00014
BP	GO:0006271	DNA strand elongation involved in DNA re...	14	11	3.62	0.00030	5.6e-05
BP	GO:0071035	nuclear polyadenylation-dependent rRNA c...	6	6	1.55	0.00030	0.00030
BP	GO:0060467	negative regulation of fertilization	6	6	1.55	0.00030	0.00030
BP	GO:0006513	protein monoubiquitination	43	23	11.13	0.00033	0.00010
BP	GO:0030490	maturation of SSU-rRNA	38	28	9.84	0.00045	9.2e-10
BP	GO:0043928	exonucleolytic nuclear-transcribed mRNA ...	14	10	3.62	0.00046	0.00046
BP	GO:0045830	positive regulation of isotype switching	14	10	3.62	0.00046	0.00046
BP	GO:0046825	regulation of protein export from nucleu...	26	13	6.73	0.00048	0.00711
BP	GO:2000104	negative regulation of DNA-dependent DNA...	13	9	3.37	0.00048	0.00129
BP	GO:0042273	ribosomal large subunit biogenesis	52	29	13.46	0.00050	4.4e-06
BP	GO:0006378	mRNA polyadenylation	26	17	6.73	0.00053	2.6e-05
BP	GO:0006264	mitochondrial DNA replication	10	8	2.59	0.00054	0.00054
BP	GO:0016925	protein sumoylation	41	18	10.62	0.00058	0.00926
BP	GO:0017148	negative regulation of translation	108	53	27.96	0.00075	1.8e-07
BP	GO:0016567	protein ubiquitination	496	202	128.43	0.00080	1.3e-13
BP	GO:0010212	response to ionizing radiation	84	39	21.75	0.00088	3.7e-05
BP	GO:0009411	response to UV	86	37	22.27	0.00097	0.00040
BP	GO:0070979	protein K11-linked ubiquitination	22	13	5.7	0.00099	0.00099
BP	GO:0000209	protein polyubiquitination	157	67	40.65	0.00103	3.2e-06
BP	GO:0042795	snRNA transcription from RNA polymerase ...	15	10	3.88	0.00106	0.00106
BP	GO:0031497	chromatin assembly	67	34	17.35	0.00114	1.1e-05
BP	GO:0060046	regulation of acrosome reaction	5	5	1.29	0.00116	0.00116
BP	GO:0071038	nuclear polyadenylation-dependent tRNA c...	5	5	1.29	0.00116	0.00116
BP	GO:0000467	exonucleolytic trimming to generate matu...	5	5	1.29	0.00116	0.00116
BP	GO:0007141	male meiosis I	5	5	1.29	0.00116	0.00116
BP	GO:0031441	negative regulation of mRNA 3'-end proce...	5	5	1.29	0.00116	0.00116
BP	GO:0098789	pre-mRNA cleavage required for polyadeny...	5	5	1.29	0.00116	0.00116
BP	GO:0000972	transcription-dependent tethering of RNA...	5	5	1.29	0.00116	0.00116
BP	GO:0006401	RNA catabolic process	154	78	39.87	0.00119	3.4e-11
BP	GO:0048523	negative regulation of cellular process	2540	674	657.67	0.00125	0.20872
BP	GO:0006370	7-methylguanosine mRNA capping	13	9	3.37	0.00129	0.00129
BP	GO:0006325	chromatin organization	463	208	119.88	0.00139	1.3e-19
BP	GO:0006400	tRNA modification	48	31	12.43	0.00147	1.9e-08
BP	GO:0010569	regulation of double-strand break repair...	19	13	4.92	0.00151	0.00012
BP	GO:0000083	regulation of transcription involved in ...	11	8	2.85	0.00152	0.00152
BP	GO:0007130	synaptonemal complex assembly	11	8	2.85	0.00152	0.00152
BP	GO:0006302	double-strand break repair	148	91	38.32	0.00162	4.8e-20
BP	GO:0009113	purine nucleobase biosynthetic process	12	9	3.11	0.00163	0.00052
BP	GO:0016246	RNA interference	7	6	1.81	0.00164	0.00164
BP	GO:0031118	rRNA pseudouridine synthesis	7	6	1.81	0.00164	0.00164
BP	GO:0006348	chromatin silencing at telomere	7	6	1.81	0.00164	0.00164
BP	GO:0006189	'de novo' IMP biosynthetic process	7	6	1.81	0.00164	0.00164
BP	GO:0035999	tetrahydrofolate interconversion	7	6	1.81	0.00164	0.00164
BP	GO:0034475	U4 snRNA 3'-end processing	7	6	1.81	0.00164	0.00164
BP	GO:0051988	regulation of attachment of spindle micr...	7	6	1.81	0.00164	0.00164
BP	GO:0034244	negative regulation of transcription elo...	7	6	1.81	0.00164	0.00164
BP	GO:0070192	chromosome organization involved in meio...	33	24	8.54	0.00164	2.3e-08
BP	GO:0000076	DNA replication checkpoint	9	7	2.33	0.00168	0.00168
BP	GO:0034427	nuclear-transcribed mRNA catabolic proce...	9	7	2.33	0.00168	0.00168
BP	GO:0006298	mismatch repair	18	11	4.66	0.00169	0.00169
BP	GO:1903955	positive regulation of protein targeting...	53	24	13.72	0.00173	0.00173
BP	GO:0042787	protein ubiquitination involved in ubiqu...	110	49	28.48	0.00179	1.6e-05
BP	GO:0006303	double-strand break repair via nonhomolo...	37	21	9.58	0.00189	6.5e-05
BP	GO:0043966	histone H3 acetylation	41	20	10.62	0.00191	0.00135
BP	GO:0022618	ribonucleoprotein complex assembly	140	70	36.25	0.00202	7.2e-10
BP	GO:0007080	mitotic metaphase plate congression	24	18	6.21	0.00214	6.6e-07
BP	GO:0075733	intracellular transport of virus	16	10	4.14	0.00218	0.00218
BP	GO:0045892	negative regulation of transcription, DN...	595	187	154.06	0.00273	0.00110
BP	GO:0051436	negative regulation of ubiquitin-protein...	14	9	3.62	0.00279	0.00279
BP	GO:0051437	positive regulation of ubiquitin-protein...	14	9	3.62	0.00279	0.00279
BP	GO:0006361	transcription initiation from RNA polyme...	14	9	3.62	0.00279	0.00279
BP	GO:0000729	DNA double-strand break processing	14	9	3.62	0.00279	0.00279
BP	GO:0043981	histone H4-K5 acetylation	14	9	3.62	0.00279	0.00279
BP	GO:0043982	histone H4-K8 acetylation	14	9	3.62	0.00279	0.00279
BP	GO:0007018	microtubule-based movement	193	49	49.97	0.00304	0.59161
BP	GO:0032508	DNA duplex unwinding	27	19	6.99	0.00346	1.6e-06
BP	GO:0000470	maturation of LSU-rRNA	22	15	5.7	0.00349	3.8e-05
BP	GO:0044030	regulation of DNA methylation	12	8	3.11	0.00352	0.00352
BP	GO:0006363	termination of RNA polymerase I transcri...	12	8	3.11	0.00352	0.00352
BP	GO:0006261	DNA-dependent DNA replication	99	70	25.63	0.00399	9.3e-21
BP	GO:0000731	DNA synthesis involved in DNA repair	36	22	9.32	0.00400	8.6e-06
BP	GO:0045910	negative regulation of DNA recombination	18	12	4.66	0.00431	0.00033
BP	GO:0000184	nuclear-transcribed mRNA catabolic proce...	33	16	8.54	0.00432	0.00432
BP	GO:0071028	nuclear mRNA surveillance	10	7	2.59	0.00433	0.00433
BP	GO:0000463	maturation of LSU-rRNA from tricistronic...	10	7	2.59	0.00433	0.00433
BP	GO:0031937	positive regulation of chromatin silenci...	10	7	2.59	0.00433	0.00433
BP	GO:0016073	snRNA metabolic process	38	26	9.84	0.00441	4.6e-08
BP	GO:0006312	mitotic recombination	23	17	5.96	0.00444	1.9e-06
BP	GO:1904668	positive regulation of ubiquitin protein...	18	13	4.66	0.00446	5.0e-05
BP	GO:0000479	endonucleolytic cleavage of tricistronic...	10	7	2.59	0.00448	0.00433
BP	GO:0009130	pyrimidine nucleoside monophosphate bios...	14	7	3.62	0.00449	0.04563
BP	GO:0090174	organelle membrane fusion	121	32	31.33	0.00450	0.47929
BP	GO:0007004	telomere maintenance via telomerase	43	21	11.13	0.00505	0.00101
BP	GO:0033260	nuclear DNA replication	19	11	4.92	0.00508	0.00307
BP	GO:0001833	inner cell mass cell proliferation	8	6	2.07	0.00510	0.00510
BP	GO:0000244	spliceosomal tri-snRNP complex assembly	8	6	2.07	0.00510	0.00510
BP	GO:0006307	DNA dealkylation involved in DNA repair	8	6	2.07	0.00510	0.00510
BP	GO:0006409	tRNA export from nucleus	8	6	2.07	0.00510	0.00510
BP	GO:2000001	regulation of DNA damage checkpoint	8	6	2.07	0.00510	0.00510
BP	GO:0045475	locomotor rhythm	8	6	2.07	0.00510	0.00510
BP	GO:0009116	nucleoside metabolic process	90	24	23.3	0.00513	0.47342
BP	GO:0000077	DNA damage checkpoint	82	42	21.23	0.00518	7.8e-07
BP	GO:0000086	G2/M transition of mitotic cell cycle	92	40	23.82	0.00523	0.00018
BP	GO:0007339	binding of sperm to zona pellucida	20	11	5.18	0.00524	0.00524
BP	GO:0000959	mitochondrial RNA metabolic process	27	15	6.99	0.00534	0.00099
BP	GO:0006999	nuclear pore organization	12	9	3.11	0.00544	0.00052
BP	GO:2001032	regulation of double-strand break repair...	6	5	1.55	0.00546	0.00546
BP	GO:0031054	pre-miRNA processing	6	5	1.55	0.00546	0.00546
BP	GO:0000730	DNA recombinase assembly	6	5	1.55	0.00546	0.00546
BP	GO:0046325	negative regulation of glucose import	6	5	1.55	0.00546	0.00546
BP	GO:0016926	protein desumoylation	6	5	1.55	0.00546	0.00546
BP	GO:0035511	oxidative DNA demethylation	6	5	1.55	0.00546	0.00546
BP	GO:0009221	pyrimidine deoxyribonucleotide biosynthe...	6	5	1.55	0.00546	0.00546
BP	GO:0006610	ribosomal protein import into nucleus	6	5	1.55	0.00546	0.00546
BP	GO:0090267	positive regulation of mitotic cell cycl...	6	5	1.55	0.00546	0.00546
BP	GO:0006366	transcription from RNA polymerase II pro...	1072	318	277.57	0.00596	0.00194
BP	GO:0006275	regulation of DNA replication	81	40	20.97	0.00686	4.6e-06
BP	GO:0070126	mitochondrial translational termination	18	10	4.66	0.00705	0.00705
BP	GO:0043984	histone H4-K16 acetylation	18	10	4.66	0.00705	0.00705
BP	GO:0000183	chromatin silencing at rDNA	13	8	3.37	0.00708	0.00708
BP	GO:0045737	positive regulation of cyclin-dependent ...	20	9	5.18	0.00710	0.05016
BP	GO:0097711	ciliary basal body-plasma membrane docki...	32	15	8.29	0.00834	0.00834
BP	GO:0000082	G1/S transition of mitotic cell cycle	111	49	28.74	0.00837	2.2e-05
BP	GO:0034644	cellular response to UV	57	22	14.76	0.00905	0.02365
BP	GO:0051865	protein autoubiquitination	38	17	9.84	0.00905	0.00905
BP	GO:0000460	maturation of 5.8S rRNA	28	21	7.25	0.00909	7.4e-08
BP	GO:0006289	nucleotide-excision repair	54	33	13.98	0.00919	4.9e-08
BP	GO:0010824	regulation of centrosome duplication	25	14	6.47	0.00920	0.00131
BP	GO:0042254	ribosome biogenesis	223	138	57.74	0.00921	3.4e-30
BP	GO:0000732	strand displacement	11	7	2.85	0.00926	0.00926
BP	GO:0006369	termination of RNA polymerase II transcr...	16	9	4.14	0.00950	0.00950
BP	GO:0006607	NLS-bearing protein import into nucleus	16	9	4.14	0.00950	0.00950
BP	GO:0030488	tRNA methylation	16	9	4.14	0.00950	0.00950
BP	GO:0070124	mitochondrial translational initiation	24	12	6.21	0.00961	0.00961
CC	GO:0005634	nucleus	3814	1387	957.02	1.9e-28	< 1e-30
CC	GO:0005654	nucleoplasm	1545	613	387.68	1.4e-21	< 1e-30
CC	GO:0005730	nucleolus	492	218	123.45	1.0e-14	1.3e-21
CC	GO:0032040	small-subunit processome	27	25	6.77	1.8e-13	1.8e-13
CC	GO:0000932	P-body	61	38	15.31	8.0e-10	8.0e-10
CC	GO:0000777	condensed chromosome kinetochore	31	23	7.78	1.3e-08	1.3e-08
CC	GO:0016607	nuclear speck	196	82	49.18	1.6e-07	1.6e-07
