"gid"	"Log2RPKM"	"sex"	"bias"
"1"	"TRINITY_DN100034_c0_g1_i1"	3.68525309127138	"meanmale"	"female"
"2"	"TRINITY_DN100115_c0_g1_i1"	2.28479727137533	"meanmale"	"female"
"3"	"TRINITY_DN100260_c0_g2_i1"	4.24755432020635	"meanmale"	"female"
"4"	"TRINITY_DN100376_c0_g1_i1"	1.85117653959299	"meanmale"	"female"
"5"	"TRINITY_DN100856_c0_g1_i1"	2.36008184722273	"meanmale"	"female"
"6"	"TRINITY_DN100882_c0_g1_i1"	5.33813388608485	"meanmale"	"female"
"7"	"TRINITY_DN100904_c0_g1_i1"	-1.71227247504826	"meanmale"	"female"
"8"	"TRINITY_DN101042_c0_g2_i1"	0.984875398616898	"meanmale"	"female"
"9"	"TRINITY_DN101047_c0_g1_i2"	0.544549636253646	"meanmale"	"female"
"10"	"TRINITY_DN101072_c0_g2_i2"	-3.92497255136527	"meanmale"	"female"
"11"	"TRINITY_DN101087_c0_g1_i1"	3.30423807098417	"meanmale"	"female"
"12"	"TRINITY_DN101111_c0_g1_i2"	1.58275182485763	"meanmale"	"female"
"13"	"TRINITY_DN101356_c0_g1_i1"	0.322983865897429	"meanmale"	"female"
"14"	"TRINITY_DN101457_c0_g1_i1"	3.12673209805007	"meanmale"	"female"
"15"	"TRINITY_DN101751_c0_g1_i1"	2.0333398942708	"meanmale"	"female"
"16"	"TRINITY_DN102016_c0_g1_i1"	3.46587246257648	"meanmale"	"female"
"17"	"TRINITY_DN10201_c0_g1_i1"	-1.21411426806217	"meanmale"	"female"
"18"	"TRINITY_DN102065_c0_g1_i1"	4.02001153023944	"meanmale"	"female"
"19"	"TRINITY_DN102078_c0_g1_i1"	4.2008809524555	"meanmale"	"female"
"20"	"TRINITY_DN102272_c0_g1_i1"	2.4820550117676	"meanmale"	"female"
"21"	"TRINITY_DN102362_c0_g1_i1"	5.31902493498271	"meanmale"	"female"
"22"	"TRINITY_DN102365_c0_g1_i1"	2.09667546486008	"meanmale"	"female"
"23"	"TRINITY_DN102409_c0_g1_i1"	-1.55145076264384	"meanmale"	"female"
"24"	"TRINITY_DN102412_c0_g1_i1"	-0.981925204352284	"meanmale"	"female"
"25"	"TRINITY_DN102444_c0_g1_i1"	3.78325232794152	"meanmale"	"female"
"26"	"TRINITY_DN102559_c0_g2_i1"	1.77967338929149	"meanmale"	"female"
"27"	"TRINITY_DN102581_c0_g1_i2"	-3.87408778579186	"meanmale"	"female"
"28"	"TRINITY_DN102628_c0_g1_i1"	-4.07056165367858	"meanmale"	"female"
"29"	"TRINITY_DN102702_c0_g1_i1"	3.99230420611418	"meanmale"	"female"
"30"	"TRINITY_DN102894_c0_g1_i2"	-13.2877123795494	"meanmale"	"female"
"31"	"TRINITY_DN102894_c0_g2_i1"	-5.09388822772542	"meanmale"	"female"
"32"	"TRINITY_DN103500_c0_g1_i1"	4.02018852936344	"meanmale"	"female"
"33"	"TRINITY_DN103526_c0_g1_i1"	-0.0186383381005389	"meanmale"	"female"
"34"	"TRINITY_DN103537_c0_g1_i1"	1.67947623339659	"meanmale"	"female"
"35"	"TRINITY_DN103549_c0_g1_i1"	4.96295521980501	"meanmale"	"female"
"36"	"TRINITY_DN103557_c0_g2_i2"	3.52778337432601	"meanmale"	"female"
"37"	"TRINITY_DN103565_c0_g1_i1"	2.07531663459509	"meanmale"	"female"
"38"	"TRINITY_DN103565_c0_g4_i1"	-4.79189904888327	"meanmale"	"female"
"39"	"TRINITY_DN103621_c0_g1_i2"	0.153974797297134	"meanmale"	"female"
