gid	sex	bias
1.975788337	meanmale	male
0.755170251	meanmale	male
1.796007482	meanmale	male
2.427566357	meanmale	male
4.244608543	meanmale	male
2.472631884	meanmale	male
0.84387822	meanmale	male
NA?	meanmale	male
1.911589865	meanmale	male
2.067178717	meanmale	male
0.86340694	meanmale	male
2.291532123	meanmale	male
3.456156119	meanmale	male
2.156125518	meanmale	male
1.42575048	meanmale	male
1.487056325	meanmale	male
2.365381609	meanmale	male
5.490854054	meanmale	male
5.700962417	meanmale	male
1.392475769	meanmale	male
-1.64706603	meanmale	male
2.130717263	meanmale	male
0.894340605	meanmale	male
2.166137825	meanmale	male
2.720295026	meanmale	male
1.413669536	meanmale	male
4.514610342	meanmale	male
0.373980794	meanmale	male
1.556150878	meanmale	male
2.534099609	meanmale	male
2.53411585	meanmale	male
1.647492234	meanmale	male
0.934350935	meanmale	male
3.09245978	meanmale	male
0.855159999	meanmale	male
6.900779525	meanmale	male
1.603464777	meanmale	male
0.363368602	meanmale	male
9.118463821	meanmale	male
6.043669738	meanmale	male
3.98217203	meanmale	male
1.277274062	meanmale	male
1.707385044	meanmale	male
6.00507592	meanmale	male
NA?	meanmale	male
3.751337941	meanmale	male
5.255499643	meanmale	male
2.275928939	meanmale	male
0.599126894	meanmale	male
2.468134769	meanmale	male
3.826610066	meanmale	male
5.379881157	meanmale	male
4.607190908	meanmale	male
4.31011266	meanmale	male
2.549353242	meanmale	male
0.826800197	meanmale	male
2.216925361	meanmale	male
2.788802735	meanmale	male
NA?	meanmale	male
2.210862716	meanmale	male
2.810554382	meanmale	male
4.044722928	meanmale	male
4.027070881	meanmale	male
-1.485729426	meanmale	male
3.386245185	meanmale	male
2.267928914	meanmale	male
2.84433039	meanmale	male
2.235424857	meanmale	male
2.976817531	meanmale	male
0.881591095	meanmale	male
1.15934778	meanmale	male
1.72687898	meanmale	male
0.816686813	meanmale	male
7.443060374	meanmale	male
3.788236963	meanmale	male
9.618280343	meanmale	male
1.050272001	meanmale	male
3.344848326	meanmale	male
2.686540142	meanmale	male
6.776481051	meanmale	male
1.414592466	meanmale	male
8.12126432	meanmale	male
2.528764352	meanmale	male
0.583056168	meanmale	male
2.098840394	meanmale	male
3.109309984	meanmale	male
1.84860111	meanmale	male
2.563009331	meanmale	male
NA?	meanmale	male
3.208291815	meanmale	male
1.799507056	meanmale	male
3.880932087	meanmale	male
5.006016463	meanmale	male
5.170235573	meanmale	male
1.929679815	meanmale	male
1.601806507	meanmale	male
-0.622446281	meanmale	male
1.776359876	meanmale	male
0.218169479	meanmale	male
2.185830423	meanmale	male
3.127156291	meanmale	male
-1.327099921	meanmale	male
1.866739669	meanmale	male
4.987683974	meanmale	male
1.928442872	meanmale	male
0.890112316	meanmale	male
2.703061861	meanmale	male
0.476602896	meanmale	male
0.851068486	meanmale	male
0.511993891	meanmale	male
3.909663646	meanmale	male
3.888275643	meanmale	male
3.788129559	meanmale	male
2.235035539	meanmale	male
4.552119335	meanmale	male
4.642790759	meanmale	male
NA?	meanmale	male
3.184567002	meanmale	male
3.228689494	meanmale	male
2.668512877	meanmale	male
2.919328735	meanmale	male
1.986208881	meanmale	male
4.343096681	meanmale	male
1.689559633	meanmale	male
3.805582076	meanmale	male
0.505691798	meanmale	male
5.304990097	meanmale	male
2.019785821	meanmale	male
2.94766515	meanmale	male
2.286669551	meanmale	male
5.794078243	meanmale	male
6.358800975	meanmale	male
5.387291962	meanmale	male
1.297096113	meanmale	male
4.919983968	meanmale	male
4.616404006	meanmale	male
1.951722682	meanmale	male
2.480453419	meanmale	male
2.473413483	meanmale	male
1.465042454	meanmale	male
3.920591691	meanmale	male
4.303526246	meanmale	male
1.246042636	meanmale	male
