"A10FB"	"group1"	"meanXX"
"TRINITY_DN105267_c0_g2_i2"	3.7297749388021	"meanmale"
"TRINITY_DN105687_c0_g1_i1"	1.49564266414505	"meanmale"
"TRINITY_DN109305_c0_g2_i2"	2.34706440167127	"meanmale"
"TRINITY_DN110989_c1_g2_i1"	1.71612843866265	"meanmale"
"TRINITY_DN113301_c1_g1_i1"	6.77132624815802	"meanmale"
"TRINITY_DN113348_c0_g3_i1"	2.3712152251453	"meanmale"
"TRINITY_DN114504_c0_g2_i2"	0.642659537578944	"meanmale"
"TRINITY_DN115328_c0_g1_i1"	4.97235631211122	"meanmale"
"TRINITY_DN115904_c0_g3_i2"	7.33306269186778	"meanmale"
"TRINITY_DN117036_c0_g1_i1"	2.5163704734845	"meanmale"
"TRINITY_DN117360_c0_g1_i1"	4.77886755309237	"meanmale"
"TRINITY_DN117446_c0_g1_i2"	0.962121628131638	"meanmale"
"TRINITY_DN117550_c0_g1_i1"	4.07663606209025	"meanmale"
"TRINITY_DN117646_c0_g2_i1"	1.82066372789816	"meanmale"
"TRINITY_DN118022_c0_g1_i1"	5.11356537398779	"meanmale"
"TRINITY_DN120963_c0_g1_i2"	2.32239279203701	"meanmale"
"TRINITY_DN120967_c0_g2_i1"	2.88835255133064	"meanmale"
"TRINITY_DN120979_c0_g1_i3"	6.87469311594921	"meanmale"
"TRINITY_DN121505_c1_g3_i1"	2.25353540253175	"meanmale"
"TRINITY_DN122025_c0_g1_i3"	2.8944907875664	"meanmale"
"TRINITY_DN122118_c0_g1_i1"	7.01144689445849	"meanmale"
"TRINITY_DN122261_c0_g1_i1"	0.939316607064889	"meanmale"
"TRINITY_DN122960_c4_g4_i2"	4.21999857961867	"meanmale"
"TRINITY_DN123054_c2_g2_i2"	2.18890536857155	"meanmale"
"TRINITY_DN123558_c0_g1_i1"	4.12524498706156	"meanmale"
"TRINITY_DN123754_c0_g1_i2"	4.19775733642951	"meanmale"
"TRINITY_DN123918_c0_g2_i1"	1.68054498453732	"meanmale"
"TRINITY_DN125115_c2_g1_i1"	3.5479535127463	"meanmale"
"TRINITY_DN125892_c0_g1_i1"	1.38066255388183	"meanmale"
"TRINITY_DN126485_c2_g1_i2"	1.7074382377325	"meanmale"
"TRINITY_DN126719_c0_g1_i3"	2.68566643975928	"meanmale"
"TRINITY_DN126942_c1_g2_i1"	2.95698436289667	"meanmale"
"TRINITY_DN127055_c1_g7_i1"	1.7227345927399	"meanmale"
"TRINITY_DN127570_c1_g1_i1"	3.56596944863712	"meanmale"
"TRINITY_DN127888_c0_g2_i1"	0.0814288367006269	"meanmale"
"TRINITY_DN128095_c4_g3_i3"	2.31267158801951	"meanmale"
"TRINITY_DN128367_c1_g4_i3"	11.4771532834841	"meanmale"
"TRINITY_DN128465_c0_g5_i9"	6.10287274706407	"meanmale"
"TRINITY_DN128884_c3_g1_i1"	3.03782843557195	"meanmale"
"TRINITY_DN129733_c3_g5_i1"	2.25507367118919	"meanmale"
"TRINITY_DN129784_c1_g7_i1"	1.49084754850657	"meanmale"
"TRINITY_DN130300_c0_g1_i3"	2.42203628807755	"meanmale"
"TRINITY_DN130569_c1_g1_i1"	3.36706050447493	"meanmale"
"TRINITY_DN131144_c0_g4_i3"	0.783035001258237	"meanmale"
"TRINITY_DN131144_c0_g8_i1"	1.60394527226946	"meanmale"
"TRINITY_DN131154_c3_g9_i2"	4.20219949905335	"meanmale"
"TRINITY_DN131220_c7_g1_i1"	4.76176477937377	"meanmale"
"TRINITY_DN131753_c0_g4_i1"	2.03052354125073	"meanmale"
"TRINITY_DN131925_c1_g2_i3"	2.36078967866225	"meanmale"
"TRINITY_DN132104_c0_g2_i3"	1.44559431496457	"meanmale"
"TRINITY_DN132123_c0_g1_i2"	3.19858551747163	"meanmale"
"TRINITY_DN132560_c1_g7_i1"	1.53134060426162	"meanmale"
"TRINITY_DN132642_c5_g2_i1"	2.70234221540015	"meanmale"
"TRINITY_DN132765_c1_g1_i7"	1.72503521469747	"meanmale"
"TRINITY_DN133064_c1_g2_i1"	1.66252823887547	"meanmale"
"TRINITY_DN133322_c1_g4_i1"	0.547881786041219	"meanmale"
"TRINITY_DN133534_c1_g5_i1"	1.23913889156496	"meanmale"
"TRINITY_DN133976_c2_g2_i1"	2.37446766491187	"meanmale"
"TRINITY_DN134062_c1_g1_i3"	2.31423376328382	"meanmale"
"TRINITY_DN134235_c0_g1_i1"	3.92845518207235	"meanmale"
"TRINITY_DN134429_c5_g1_i1"	5.95004350789619	"meanmale"
"TRINITY_DN134524_c3_g3_i1"	2.49372830362819	"meanmale"
"TRINITY_DN135618_c2_g1_i1"	4.84713952256774	"meanmale"
"TRINITY_DN135864_c0_g11_i1"	4.20460825423112	"meanmale"
"TRINITY_DN135896_c2_g3_i1"	10.5172001749559	"meanmale"
"TRINITY_DN136241_c3_g1_i3"	2.3800163613344	"meanmale"
"TRINITY_DN136506_c0_g1_i1"	1.65681191021937	"meanmale"
"TRINITY_DN173093_c0_g1_i1"	3.64861631287609	"meanmale"
"TRINITY_DN20122_c0_g1_i1"	0.616851579751422	"meanmale"
"TRINITY_DN209985_c0_g1_i1"	2.50782922286484	"meanmale"
"TRINITY_DN36259_c0_g1_i1"	3.90518473321429	"meanmale"
"TRINITY_DN38445_c0_g1_i1"	3.08273223991661	"meanmale"
"TRINITY_DN86341_c0_g2_i1"	2.04511614472498	"meanmale"
"TRINITY_DN91309_c0_g1_i2"	0.175433707960085	"meanmale"
"TRINITY_DN93756_c0_g1_i1"	2.08772713343663	"meanmale"
