"Am2_463"	"group1"	"meanXX"	"group2"
"TRINITY_DN100684_c0_g3_i1"	7.50657934648548	"meanmale"	6.40581740306941	"meanfemale"
"TRINITY_DN100754_c0_g1_i1"	5.22758696183839	"meanmale"	3.97052188006304	"meanfemale"
"TRINITY_DN101728_c0_g2_i1"	6.20294464049272	"meanmale"	5.12232768359232	"meanfemale"
"TRINITY_DN101945_c0_g2_i1"	1.55957167242494	"meanmale"	-0.962745982171938	"meanfemale"
"TRINITY_DN101983_c0_g1_i1"	0.188215954050853	"meanmale"	-1.5459836461148	"meanfemale"
"TRINITY_DN102579_c0_g1_i1"	1.84716274750605	"meanmale"	0.647175638917974	"meanfemale"
"TRINITY_DN103086_c1_g1_i1"	0.608187054061849	"meanmale"	-1.365336694011	"meanfemale"
"TRINITY_DN103284_c0_g1_i2"	1.7174611337108	"meanmale"	-0.126254008783084	"meanfemale"
"TRINITY_DN103698_c0_g1_i1"	0.423223640893824	"meanmale"	-2.09750506318861	"meanfemale"
"TRINITY_DN104018_c1_g1_i1"	2.16325203535084	"meanmale"	0.747522338073146	"meanfemale"
"TRINITY_DN104073_c1_g1_i1"	2.82434377436548	"meanmale"	1.05600275551437	"meanfemale"
"TRINITY_DN104546_c0_g1_i1"	3.37073462652117	"meanmale"	2.21397682015982	"meanfemale"
"TRINITY_DN105039_c0_g1_i1"	4.04620531064367	"meanmale"	3.03524717507021	"meanfemale"
"TRINITY_DN105307_c0_g1_i1"	6.87826365795877	"meanmale"	5.7786141461882	"meanfemale"
"TRINITY_DN105833_c0_g2_i1"	1.89835201455924	"meanmale"	-13.2877123795494	"meanfemale"
"TRINITY_DN105870_c0_g1_i1"	2.84938923722254	"meanmale"	1.37943468462731	"meanfemale"
"TRINITY_DN105987_c0_g2_i2"	1.20422548890366	"meanmale"	-0.842108003002811	"meanfemale"
"TRINITY_DN106183_c0_g1_i1"	4.04554698923794	"meanmale"	3.00713255079609	"meanfemale"
"TRINITY_DN106189_c0_g2_i1"	3.24171762207596	"meanmale"	2.07957394335863	"meanfemale"
"TRINITY_DN106256_c0_g3_i3"	3.02194073315928	"meanmale"	1.73723419551466	"meanfemale"
"TRINITY_DN106277_c0_g1_i2"	6.29496996985877	"meanmale"	4.77548053172244	"meanfemale"
"TRINITY_DN107052_c0_g1_i1"	3.75435789837827	"meanmale"	-0.572819247920354	"meanfemale"
"TRINITY_DN107294_c0_g1_i2"	2.16794206520055	"meanmale"	-1.94450434914704	"meanfemale"
"TRINITY_DN107711_c0_g1_i1"	2.60616750755042	"meanmale"	1.11860100233662	"meanfemale"
"TRINITY_DN108081_c0_g2_i1"	0.906394922279426	"meanmale"	-1.05278227595481	"meanfemale"
"TRINITY_DN108162_c0_g1_i1"	3.37958831937119	"meanmale"	1.14885433413452	"meanfemale"
