log2PRKM	Sex	Bias
0.5947715546	"meanmale"	"male"
0.2273288972	"meanmale"	"male"
0.5406521244	"meanmale"	"male"
0.73077029	"meanmale"	"male"
1.2777544912	"meanmale"	"male"
0.7443363654	"meanmale"	"male"
0.254032657	"meanmale"	"male"
NA	"meanmale"	"male"
0.5754458886	"meanmale"	"male"
0.6222828004	"meanmale"	"male"
0.2599113874	"meanmale"	"male"
0.689819905	"meanmale"	"male"
1.0404066614	"meanmale"	"male"
0.6490584556	"meanmale"	"male"
0.4291936608	"meanmale"	"male"
0.447648559	"meanmale"	"male"
0.7120508154	"meanmale"	"male"
1.652911772	"meanmale"	"male"
1.7161606918	"meanmale"	"male"
0.4191769748	"meanmale"	"male"
-0.4958162796	"meanmale"	"male"
0.6414098084	"meanmale"	"male"
0.2692233486	"meanmale"	"male"
0.65207246	"meanmale"	"male"
0.8188904	"meanmale"	"male"
0.4255569342	"meanmale"	"male"
1.3590331314	"meanmale"	"male"
0.112579437	"meanmale"	"male"
0.468448092	"meanmale"	"male"
0.7628399944	"meanmale"	"male"
0.7628448834	"meanmale"	"male"
0.49594458	"meanmale"	"male"
0.281267658	"meanmale"	"male"
0.930923154	"meanmale"	"male"
0.257428811	"meanmale"	"male"
2.0773416306	"meanmale"	"male"
0.4826909948	"meanmale"	"male"
0.1093848486	"meanmale"	"male"
2.7449311248	"meanmale"	"male"
1.8193258752	"meanmale"	"male"
1.198753229	"meanmale"	"male"
0.3844978054	"meanmale"	"male"
0.5139741122	"meanmale"	"male"
1.8077079782	"meanmale"	"male"
NA	"meanmale"	"male"
1.1292652444	"meanmale"	"male"
1.5820630346	"meanmale"	"male"
0.6851228788	"meanmale"	"male"
0.1803551662	"meanmale"	"male"
0.7429825988	"meanmale"	"male"
1.1519244116	"meanmale"	"male"
1.6195056018	"meanmale"	"male"
1.386902659	"meanmale"	"male"
1.2974731954	"meanmale"	"male"
0.7674317952	"meanmale"	"male"
0.2488916598	"meanmale"	"male"
0.6673610316	"meanmale"	"male"
0.8395132754	"meanmale"	"male"
NA	"meanmale"	"male"
0.6655359938	"meanmale"	"male"
0.8460611732	"meanmale"	"male"
1.2175829254	"meanmale"	"male"
1.2122691298	"meanmale"	"male"
-0.4472491226	"meanmale"	"male"
1.019361373	"meanmale"	"male"
0.6827146308	"meanmale"	"male"
0.8562287652	"meanmale"	"male"
0.6729299348	"meanmale"	"male"
0.8961113686	"meanmale"	"male"
0.2653853632	"meanmale"	"male"
0.3489984572	"meanmale"	"male"
0.519842372	"meanmale"	"male"
0.2458472278	"meanmale"	"male"
2.240584432	"meanmale"	"male"
