LogCPM	sex	bias
4.914738624	meanmale	female
-0.235429929	meanmale	female
2.280164202	meanmale	female
-0.530591295	meanmale	female
4.670460455	meanmale	female
5.993611289	meanmale	female
5.446715866	meanmale	female
3.389501049	meanmale	female
0.186041335	meanmale	female
-0.236097483	meanmale	female
0.434144649	meanmale	female
0.042033665	meanmale	female
-0.409215951	meanmale	female
-2.84187527	meanmale	female
4.184522279	meanmale	female
1.719957694	meanmale	female
2.803628853	meanmale	female
4.143022436	meanmale	female
5.034171177	meanmale	female
0.578167642	meanmale	female
0.144706705	meanmale	female
-3.007406417	meanmale	female
4.012024187	meanmale	female
2.790644791	meanmale	female
-3.303451723	meanmale	female
2.810622769	meanmale	female
-1.153955601	meanmale	female
0.898485507	meanmale	female
1.509637795	meanmale	female
-0.419951187	meanmale	female
-0.526669311	meanmale	female
4.963494011	meanmale	female
-0.097430874	meanmale	female
5.044247382	meanmale	female
0.596154954	meanmale	female
3.240456652	meanmale	female
3.272785596	meanmale	female
5.668354093	meanmale	female
1.672045344	meanmale	female
3.224365279	meanmale	female
4.374973877	meanmale	female
1.525426415	meanmale	female
3.420708599	meanmale	female
1.367449592	meanmale	female
4.478777678	meanmale	female
3.057538321	meanmale	female
6.036350797	meanmale	female
-1.609043663	meanmale	female
3.053422669	meanmale	female
2.729729218	meanmale	female
1.370899278	meanmale	female
2.42198296	meanmale	female
5.243527687	meanmale	female
2.181838703	meanmale	female
2.663267889	meanmale	female
1.287306554	meanmale	female
1.292270357	meanmale	female
2.322108723	meanmale	female
4.352401327	meanmale	female
3.028957823	meanmale	female
3.187893213	meanmale	female
4.120704811	meanmale	female
3.629918239	meanmale	female
2.096664493	meanmale	female
1.39212261	meanmale	female
2.33816919	meanmale	female
0.441145141	meanmale	female
1.040879403	meanmale	female
1.565839	meanmale	female
1.022319082	meanmale	female
5.445528317	meanmale	female
5.854915746	meanmale	female
4.995654497	meanmale	female
1.058258666	meanmale	female
1.587489623	meanmale	female
3.736602024	meanmale	female
5.783168798	meanmale	female
4.203708145	meanmale	female
1.339278024	meanmale	female
0.615714999	meanmale	female
4.149328634	meanmale	female
3.393245834	meanmale	female
5.22798942	meanmale	female
-2.962789194	meanmale	female
5.217105401	meanmale	female
6.625514932	meanmale	female
1.351340494	meanmale	female
2.972913365	meanmale	female
3.171581721	meanmale	female
1.927145012	meanmale	female
1.177636057	meanmale	female
3.854107175	meanmale	female
2.023406931	meanmale	female
3.597778586	meanmale	female
3.25871606	meanmale	female
1.410265572	meanmale	female
4.01870736	meanmale	female
5.170936797	meanmale	female
2.507581517	meanmale	female
3.87708128	meanmale	female
0.222312779	meanmale	female
5.631918701	meanmale	female
4.153274455	meanmale	female
-0.036723856	meanmale	female
2.928274752	meanmale	female
2.943078553	meanmale	female
1.182296581	meanmale	female
-1.883541445	meanmale	female
3.477856462	meanmale	female
3.135573082	meanmale	female
4.530437324	meanmale	female
3.289252431	meanmale	female
2.763785357	meanmale	female
4.939708742	meanmale	female
2.021285471	meanmale	female
1.911454156	meanmale	female
6.451870052	meanmale	female
-0.385106998	meanmale	female
0.396846188	meanmale	female
3.658697648	meanmale	female
5.843474126	meanmale	female
3.25116757	meanmale	female
3.746689346	meanmale	female
-2.147677136	meanmale	female
2.335835969	meanmale	female
1.73637549	meanmale	female
6.02663863	meanmale	female
0.341647594	meanmale	female
3.628663031	meanmale	female
4.54391197	meanmale	female
5.644055693	meanmale	female
0.418778493	meanmale	female
4.004806372	meanmale	female
-0.063909425	meanmale	female
0.35237688	meanmale	female
2.803133376	meanmale	female
0.215781525	meanmale	female
0.394271387	meanmale	female
-1.282247618	meanmale	female
-0.726754404	meanmale	female
0.798937986	meanmale	female
2.729079301	meanmale	female
1.207861259	meanmale	female
-3.566257571	meanmale	female
-0.439896558	meanmale	female
3.61897893	meanmale	female
1.930036055	meanmale	female
4.775510519	meanmale	female
3.88063627	meanmale	female
3.153626703	meanmale	female
0.601773098	meanmale	female
0.925941748	meanmale	female
1.749222602	meanmale	female
-1.234174417	meanmale	female
3.450790587	meanmale	female
1.555141394	meanmale	female
-0.877916337	meanmale	female
