gid	meanXX	female	bias	cutoff
TRINITY_DN117550_c0_g1_i1	3.059378409	meanfemale	male	FC1
TRINITY_DN131154_c3_g9_i2	3.176844717	meanfemale	male	FC1
TRINITY_DN132123_c0_g1_i2	2.164110323	meanfemale	male	FC1
TRINITY_DN115904_c0_g3_i2	6.292869218	meanfemale	male	FC1
TRINITY_DN115328_c0_g1_i1	3.876216286	meanfemale	male	FC1
TRINITY_DN113301_c1_g1_i1	5.672154833	meanfemale	male	FC1
TRINITY_DN135618_c2_g1_i1	3.732776804	meanfemale	male	FC1
TRINITY_DN131220_c7_g1_i1	3.613325116	meanfemale	male	FC1
TRINITY_DN127570_c1_g1_i1	2.401152987	meanfemale	male	FC1
TRINITY_DN36259_c0_g1_i1	2.684772298	meanfemale	male	FC1
TRINITY_DN122960_c4_g4_i2	2.999071225	meanfemale	male	FC1
TRINITY_DN122025_c0_g1_i3	1.649484318	meanfemale	male	FC1
TRINITY_DN123754_c0_g1_i2	2.934049398	meanfemale	male	FC1
TRINITY_DN134429_c5_g1_i1	4.657016908	meanfemale	male	FC1
TRINITY_DN123054_c2_g2_i2	0.887146707	meanfemale	male	FC1
TRINITY_DN123558_c0_g1_i1	2.819724499	meanfemale	male	FC1
TRINITY_DN105267_c0_g2_i2	2.415381469	meanfemale	male	FC1
TRINITY_DN120967_c0_g2_i1	1.504763564	meanfemale	male	FC1
TRINITY_DN128884_c3_g1_i1	1.634470582	meanfemale	male	FC1
TRINITY_DN136241_c3_g1_i3	0.9526492	meanfemale	male	FC1
TRINITY_DN120979_c0_g1_i3	5.360941702	meanfemale	male	FC1
TRINITY_DN121505_c1_g3_i1	0.736129556	meanfemale	male	FC1
TRINITY_DN133976_c2_g2_i1	0.85022521	meanfemale	male	FC1
TRINITY_DN122118_c0_g1_i1	5.412728579	meanfemale	male	FC1
TRINITY_DN131144_c0_g8_i1	-0.22047638	meanfemale	male	FC1
TRINITY_DN117360_c0_g1_i1	2.946229708	meanfemale	male	FC1
TRINITY_DN117646_c0_g2_i1	-0.022942784	meanfemale	male	FC1
TRINITY_DN127055_c1_g7_i1	-0.142460671	meanfemale	male	FC1
TRINITY_DN114504_c0_g2_i2	-1.226666801	meanfemale	male	FC1
TRINITY_DN131925_c1_g2_i3	0.420336763	meanfemale	male	FC1
TRINITY_DN117446_c0_g1_i2	-1.026723339	meanfemale	male	FC1
TRINITY_DN129733_c3_g5_i1	0.153847701	meanfemale	male	FC1
TRINITY_DN128095_c4_g3_i3	0.188464852	meanfemale	male	FC1
TRINITY_DN126485_c2_g1_i2	-0.443660864	meanfemale	male	FC1
TRINITY_DN91309_c0_g1_i2	-2.07614366	meanfemale	male	FC1
TRINITY_DN132104_c0_g2_i3	-0.905059536	meanfemale	male	FC1
TRINITY_DN133322_c1_g4_i1	-1.791492774	meanfemale	male	FC1
TRINITY_DN125892_c0_g1_i1	-1.002934354	meanfemale	male	FC1
TRINITY_DN131144_c0_g4_i3	-1.648385935	meanfemale	male	FC1
TRINITY_DN133534_c1_g5_i1	-1.262603273	meanfemale	male	FC1
TRINITY_DN128465_c0_g5_i9	3.577054573	meanfemale	male	FC1
TRINITY_DN134235_c0_g1_i1	1.370941038	meanfemale	male	FC1
TRINITY_DN123918_c0_g2_i1	-0.898802928	meanfemale	male	FC1
TRINITY_DN117036_c0_g1_i1	-0.091172643	meanfemale	male	FC1
TRINITY_DN105687_c0_g1_i1	-1.129724625	meanfemale	male	FC1
TRINITY_DN136506_c0_g1_i1	-1.134063179	meanfemale	male	FC1
TRINITY_DN209985_c0_g1_i1	-0.340141609	meanfemale	male	FC1
TRINITY_DN129784_c1_g7_i1	-1.567729595	meanfemale	male	FC3
TRINITY_DN126942_c1_g2_i1	-0.096530262	meanfemale	male	FC3
TRINITY_DN122261_c0_g1_i1	-2.141614135	meanfemale	male	FC3
TRINITY_DN130569_c1_g1_i1	0.266169772	meanfemale	male	FC3
TRINITY_DN130300_c0_g1_i3	-0.670114236	meanfemale	male	FC3
TRINITY_DN125115_c2_g1_i1	0.37035778	meanfemale	male	FC3
TRINITY_DN109305_c0_g2_i2	-0.957543541	meanfemale	male	FC3
TRINITY_DN132765_c1_g1_i7	-1.636324018	meanfemale	male	FC3
TRINITY_DN131753_c0_g4_i1	-1.401135518	meanfemale	male	FC3
TRINITY_DN127888_c0_g2_i1	-3.491727919	meanfemale	male	FC3
TRINITY_DN120963_c0_g1_i2	-1.310445863	meanfemale	male	FC3
TRINITY_DN110989_c1_g2_i1	-2.106324966	meanfemale	male	FC3
TRINITY_DN173093_c0_g1_i1	-0.185527508	meanfemale	male	FC3
TRINITY_DN134524_c3_g3_i1	-1.459519915	meanfemale	male	FC3
TRINITY_DN132560_c1_g7_i1	-2.486584916	meanfemale	male	FC3
TRINITY_DN134062_c1_g1_i3	-1.693125119	meanfemale	male	FC3
TRINITY_DN118022_c0_g1_i1	0.772102327	meanfemale	male	FC3
TRINITY_DN38445_c0_g1_i1	-1.454548316	meanfemale	male	FC3
TRINITY_DN135896_c2_g3_i1	5.925550935	meanfemale	male	FC3
TRINITY_DN126719_c0_g1_i3	-2.783218089	meanfemale	male	FC5
TRINITY_DN128367_c1_g4_i3	5.981505708	meanfemale	male	FC5
TRINITY_DN20122_c0_g1_i1	-6.108482312	meanfemale	male	FC5
TRINITY_DN113348_c0_g3_i1	-4.922473818	meanfemale	male	FC5
TRINITY_DN133064_c1_g2_i1	-13.28771238	meanfemale	male	FC7
TRINITY_DN132642_c5_g2_i1	-13.28771238	meanfemale	male	FC7
TRINITY_DN135864_c0_g11_i1	-4.285617024	meanfemale	male	FC7
TRINITY_DN93756_c0_g1_i1	-13.28771238	meanfemale	male	FC7
TRINITY_DN86341_c0_g2_i1	-13.28771238	meanfemale	male	FC7
