gid	log2RPKM	sex	cutoff
TRINITY_DN128948_c4_g2_i1	-13.28771238	meanmale	FC7
TRINITY_DN103897_c0_g2_i1	-13.28771238	meanmale	FC7
TRINITY_DN83270_c0_g2_i1	-13.28771238	meanmale	FC7
TRINITY_DN105980_c0_g1_i1	-13.28771238	meanmale	FC7
TRINITY_DN93354_c0_g1_i1	-13.28771238	meanmale	FC7
TRINITY_DN97717_c0_g2_i1	-13.28771238	meanmale	FC7
TRINITY_DN135643_c7_g7_i1	-13.28771238	meanmale	FC7
TRINITY_DN135526_c5_g2_i2	-6.235489639	meanmale	FC5
TRINITY_DN112124_c0_g2_i1	-5.985860928	meanmale	FC5
TRINITY_DN105647_c0_g2_i1	-2.588246182	meanmale	FC5
TRINITY_DN135864_c0_g7_i1	-4.49050779	meanmale	FC5
TRINITY_DN120463_c0_g1_i1	-4.179668326	meanmale	FC5
TRINITY_DN111028_c0_g1_i1	-2.950292499	meanmale	FC5
TRINITY_DN127129_c2_g3_i1	-4.171211359	meanmale	FC5
TRINITY_DN126783_c1_g5_i3	-4.770000886	meanmale	FC5
TRINITY_DN97753_c0_g1_i1	-2.676900466	meanmale	FC5
TRINITY_DN127464_c0_g12_i1	-3.695295391	meanmale	FC5
TRINITY_DN208554_c0_g1_i1	-2.742080271	meanmale	FC5
TRINITY_DN136663_c13_g1_i1	-1.69433707	meanmale	FC5
TRINITY_DN110679_c0_g1_i1	-5.37957237	meanmale	FC5
TRINITY_DN119116_c0_g1_i1	-4.353718102	meanmale	FC5
TRINITY_DN102894_c0_g2_i1	-2.514417928	meanmale	FC5
TRINITY_DN101072_c0_g2_i2	-2.160950878	meanmale	FC5
TRINITY_DN102894_c0_g1_i2	-2.324265147	meanmale	FC5
TRINITY_DN109666_c0_g1_i1	0.201326219	meanmale	FC5
TRINITY_DN127464_c0_g11_i1	-3.471244588	meanmale	FC5
TRINITY_DN69456_c0_g1_i2	-1.881445103	meanmale	FC5
TRINITY_DN103798_c0_g1_i1	-2.698025942	meanmale	FC5
TRINITY_DN119774_c0_g1_i2	-3.401775491	meanmale	FC5
TRINITY_DN45542_c0_g1_i1	-1.924956177	meanmale	FC5
TRINITY_DN75302_c0_g2_i1	-2.574861136	meanmale	FC5
TRINITY_DN74428_c0_g1_i1	-0.742523955	meanmale	FC5
TRINITY_DN131394_c0_g1_i2	-3.729065324	meanmale	FC5
TRINITY_DN98815_c0_g2_i1	-0.714467426	meanmale	FC5
TRINITY_DN131553_c0_g2_i1	-3.089757676	meanmale	FC5
TRINITY_DN151548_c0_g1_i1	-1.898222723	meanmale	FC5
TRINITY_DN124389_c0_g1_i1	-4.385899156	meanmale	FC5
TRINITY_DN118245_c0_g1_i2	0.830365877	meanmale	FC5
TRINITY_DN120456_c0_g1_i1	-2.034287962	meanmale	FC5
TRINITY_DN151741_c0_g1_i1	-3.185799389	meanmale	FC5
TRINITY_DN128402_c0_g1_i2	0.082751049	meanmale	FC5
TRINITY_DN105624_c0_g1_i1	-4.031694325	meanmale	FC5
TRINITY_DN124325_c0_g1_i1	-1.000041441	meanmale	FC5
TRINITY_DN69434_c0_g2_i1	-3.821118164	meanmale	FC5
TRINITY_DN133291_c0_g1_i1	-0.680956725	meanmale	FC5
TRINITY_DN116966_c0_g1_i1	-1.253986204	meanmale	FC5
TRINITY_DN135315_c3_g4_i2	-4.495844187	meanmale	FC5
TRINITY_DN83270_c0_g1_i1	-0.100854236	meanmale	FC5
TRINITY_DN118281_c0_g1_i1	-3.499058705	meanmale	FC5
TRINITY_DN133291_c0_g2_i1	0.081724426	meanmale	FC5
TRINITY_DN126078_c0_g1_i1	-3.904968267	meanmale	FC5
TRINITY_DN112272_c0_g1_i1	-4.616731033	meanmale	FC5
TRINITY_DN135535_c0_g1_i2	-0.179626521	meanmale	FC5
TRINITY_DN119011_c0_g1_i1	-1.040036959	meanmale	FC5
TRINITY_DN131690_c0_g1_i2	-4.681901654	meanmale	FC5
TRINITY_DN121548_c0_g1_i1	-3.603219961	meanmale	FC5
TRINITY_DN121355_c0_g1_i4	-3.065530601	meanmale	FC5
TRINITY_DN135526_c5_g1_i1	-4.479572637	meanmale	FC5
TRINITY_DN127464_c0_g3_i1	-2.579787222	meanmale	FC5
TRINITY_DN109929_c0_g1_i1	-1.999923481	meanmale	FC5
TRINITY_DN124448_c4_g1_i1	-2.231899505	meanmale	FC5
TRINITY_DN135947_c1_g1_i1	-2.548623079	meanmale	FC5
TRINITY_DN128638_c0_g1_i2	-0.755073034	meanmale	FC5
TRINITY_DN133823_c0_g1_i1	-2.611854884	meanmale	FC3
TRINITY_DN120071_c0_g1_i2	-2.643783107	meanmale	FC3
TRINITY_DN133823_c0_g2_i1	-2.745429685	meanmale	FC3
TRINITY_DN130577_c0_g2_i5	-4.285389352	meanmale	FC3
TRINITY_DN135585_c3_g1_i1	-2.890963193	meanmale	FC3
TRINITY_DN119288_c0_g1_i2	-2.342546901	meanmale	FC3
TRINITY_DN129651_c0_g4_i5	-0.518377319	meanmale	FC3
TRINITY_DN98655_c0_g1_i1	-3.31693461	meanmale	FC3
TRINITY_DN131553_c0_g1_i1	-2.31034183	meanmale	FC3
TRINITY_DN119751_c0_g1_i3	-2.333798673	meanmale	FC3
TRINITY_DN129116_c0_g1_i3	-3.528332158	meanmale	FC3
TRINITY_DN119494_c0_g1_i1	-2.139512648	meanmale	FC3
TRINITY_DN132305_c3_g4_i3	-2.842812029	meanmale	FC3
TRINITY_DN129649_c3_g2_i1	-2.238219131	meanmale	FC3
TRINITY_DN126729_c2_g1_i2	-3.627384295	meanmale	FC3
TRINITY_DN131147_c0_g2_i1	-4.079697658	meanmale	FC3
TRINITY_DN120818_c0_g1_i2	-3.181642482	meanmale	FC3
TRINITY_DN124438_c0_g1_i1	-4.257939035	meanmale	FC3
TRINITY_DN110103_c0_g1_i1	-4.119970487	meanmale	FC3
TRINITY_DN125285_c2_g1_i3	-2.029801812	meanmale	FC3
TRINITY_DN123456_c0_g3_i1	-1.029259258	meanmale	FC3
TRINITY_DN129711_c1_g5_i1	-1.355904684	meanmale	FC3
TRINITY_DN122293_c0_g1_i1	-2.012073668	meanmale	FC3
TRINITY_DN117740_c0_g1_i2	-1.95293135	meanmale	FC3
TRINITY_DN121071_c0_g1_i4	-2.471594302	meanmale	FC3
TRINITY_DN123462_c3_g1_i1	-3.420780072	meanmale	FC3
TRINITY_DN129466_c1_g5_i1	-3.539834234	meanmale	FC3
TRINITY_DN165190_c0_g1_i1	-3.094035308	meanmale	FC3
TRINITY_DN125519_c4_g4_i2	-2.469654455	meanmale	FC3
TRINITY_DN123052_c0_g1_i2	-4.372977525	meanmale	FC3
TRINITY_DN108208_c0_g1_i3	0.760769734	meanmale	FC3
TRINITY_DN127708_c1_g3_i1	-2.402567871	meanmale	FC3
TRINITY_DN125971_c0_g1_i2	-4.352264605	meanmale	FC3
TRINITY_DN164909_c0_g1_i1	-0.488067942	meanmale	FC3
TRINITY_DN113538_c0_g1_i1	-2.227510705	meanmale	FC3
TRINITY_DN103838_c0_g1_i1	-1.017707329	meanmale	FC3
TRINITY_DN118738_c0_g2_i1	-1.924755578	meanmale	FC3
TRINITY_DN111232_c1_g1_i1	-4.05016747	meanmale	FC3
TRINITY_DN125309_c0_g1_i1	-0.482523414	meanmale	FC3
TRINITY_DN123396_c0_g1_i4	0.817018485	meanmale	FC3
TRINITY_DN125119_c3_g4_i1	-1.410257126	meanmale	FC3
TRINITY_DN128648_c7_g8_i1	-1.893790965	meanmale	FC3
TRINITY_DN130878_c0_g1_i3	-2.000319488	meanmale	FC3
TRINITY_DN117638_c0_g1_i1	-2.857604248	meanmale	FC3
TRINITY_DN121347_c0_g1_i2	-1.650710943	meanmale	FC3
TRINITY_DN117125_c0_g1_i1	0.338572502	meanmale	FC3
TRINITY_DN124147_c1_g3_i2	-2.95632382	meanmale	FC3
TRINITY_DN111236_c0_g1_i1	-0.26776444	meanmale	FC3
TRINITY_DN132704_c0_g2_i5	-1.318308486	meanmale	FC3
TRINITY_DN124263_c0_g1_i1	-0.381909218	meanmale	FC3
TRINITY_DN124226_c0_g1_i1	-3.814463305	meanmale	FC3
TRINITY_DN129237_c5_g4_i2	-1.18015645	meanmale	FC3
TRINITY_DN135315_c3_g6_i1	-2.798437799	meanmale	FC3
TRINITY_DN130577_c0_g1_i1	-1.924622488	meanmale	FC3
TRINITY_DN133404_c0_g2_i3	-2.358265686	meanmale	FC3
TRINITY_DN125119_c3_g6_i1	0.042700461	meanmale	FC3
TRINITY_DN124411_c0_g2_i4	1.323095529	meanmale	FC3
TRINITY_DN93558_c0_g2_i1	1.047505513	meanmale	FC3
TRINITY_DN124649_c0_g1_i1	-0.137099561	meanmale	FC3
TRINITY_DN121788_c0_g1_i1	0.170176114	meanmale	FC3
TRINITY_DN124256_c0_g1_i2	-0.733635462	meanmale	FC3
TRINITY_DN108709_c0_g1_i2	0.986682715	meanmale	FC3
TRINITY_DN133440_c0_g2_i2	-2.323764804	meanmale	FC3
TRINITY_DN117446_c0_g1_i2	1.087510661	meanmale	FC3
TRINITY_DN126089_c1_g1_i2	-2.068212136	meanmale	FC3
TRINITY_DN103834_c0_g4_i1	-1.664482904	meanmale	FC3
TRINITY_DN123821_c0_g1_i1	-1.643175021	meanmale	FC3
TRINITY_DN130933_c7_g1_i2	0.797578204	meanmale	FC3
TRINITY_DN130816_c3_g1_i1	-1.047412008	meanmale	FC3
TRINITY_DN124339_c4_g2_i1	-1.491943894	meanmale	FC3
TRINITY_DN124339_c4_g3_i4	-1.893761808	meanmale	FC3
TRINITY_DN127070_c0_g1_i3	-1.174117795	meanmale	FC3
TRINITY_DN107978_c0_g1_i1	-1.248752401	meanmale	FC3
TRINITY_DN129649_c3_g1_i3	0.576723473	meanmale	FC1
TRINITY_DN135835_c0_g1_i3	-0.373289059	meanmale	FC1
TRINITY_DN120912_c0_g1_i3	-1.945485112	meanmale	FC1
TRINITY_DN131183_c0_g2_i1	-0.881301866	meanmale	FC1
TRINITY_DN114033_c0_g3_i2	-2.999630121	meanmale	FC1
TRINITY_DN129730_c0_g1_i2	-2.366358509	meanmale	FC1
TRINITY_DN129466_c1_g2_i3	-1.20480766	meanmale	FC1
TRINITY_DN131450_c1_g5_i5	-1.182337035	meanmale	FC1
TRINITY_DN118674_c0_g1_i2	-0.886168008	meanmale	FC1
TRINITY_DN123296_c1_g1_i2	-1.840487523	meanmale	FC1
TRINITY_DN120412_c0_g1_i2	0.213107344	meanmale	FC1
TRINITY_DN127464_c0_g13_i1	1.927617826	meanmale	FC1
TRINITY_DN97559_c0_g1_i1	3.06327884	meanmale	FC1
TRINITY_DN116137_c0_g2_i2	-0.481556519	meanmale	FC1
TRINITY_DN128648_c7_g2_i1	0.166538801	meanmale	FC1
TRINITY_DN131370_c0_g1_i1	-0.530828224	meanmale	FC1
TRINITY_DN126410_c3_g1_i3	3.599222612	meanmale	FC1
TRINITY_DN132480_c0_g2_i5	-0.696863608	meanmale	FC1
TRINITY_DN123125_c7_g2_i1	1.729514446	meanmale	FC1
TRINITY_DN128595_c0_g6_i1	2.162622383	meanmale	FC1
