"Am2_463"	"group1"	"meanXX"	"group2"
"TRINITY_DN100034_c0_g1_i1"	3.68525309127138	"meanmale"	5.13842002449337	"meanfemale"
"TRINITY_DN100115_c0_g1_i1"	2.28479727137533	"meanmale"	4.30300370940317	"meanfemale"
"TRINITY_DN100260_c0_g2_i1"	4.24755432020635	"meanmale"	5.61994927183217	"meanfemale"
"TRINITY_DN100376_c0_g1_i1"	1.85117653959299	"meanmale"	3.26699147194925	"meanfemale"
"TRINITY_DN100856_c0_g1_i1"	2.36008184722273	"meanmale"	3.87358793139889	"meanfemale"
"TRINITY_DN100882_c0_g1_i1"	5.33813388608485	"meanmale"	7.50673823126563	"meanfemale"
"TRINITY_DN100904_c0_g1_i1"	-1.71227247504826	"meanmale"	3.02950849491071	"meanfemale"
"TRINITY_DN101042_c0_g2_i1"	0.984875398616898	"meanmale"	2.62392445651092	"meanfemale"
"TRINITY_DN101047_c0_g1_i2"	0.544549636253646	"meanmale"	3.27626303040089	"meanfemale"
"TRINITY_DN101072_c0_g2_i2"	-3.92497255136527	"meanmale"	7.61475861852824	"meanfemale"
"TRINITY_DN101087_c0_g1_i1"	3.30423807098417	"meanmale"	4.78619706849123	"meanfemale"
"TRINITY_DN101111_c0_g1_i2"	1.58275182485763	"meanmale"	3.52527500397348	"meanfemale"
"TRINITY_DN101356_c0_g1_i1"	0.322983865897429	"meanmale"	2.72767573073494	"meanfemale"
"TRINITY_DN101457_c0_g1_i1"	3.12673209805007	"meanmale"	4.77112297788552	"meanfemale"
"TRINITY_DN101751_c0_g1_i1"	2.0333398942708	"meanmale"	5.06856657927635	"meanfemale"
"TRINITY_DN102016_c0_g1_i1"	3.46587246257648	"meanmale"	4.53651678394183	"meanfemale"
"TRINITY_DN10201_c0_g1_i1"	-1.21411426806217	"meanmale"	3.06449187652954	"meanfemale"
"TRINITY_DN102065_c0_g1_i1"	4.02001153023944	"meanmale"	6.20231933950589	"meanfemale"
"TRINITY_DN102078_c0_g1_i1"	4.2008809524555	"meanmale"	5.32725891838741	"meanfemale"
"TRINITY_DN102272_c0_g1_i1"	2.4820550117676	"meanmale"	3.97920507921291	"meanfemale"
"TRINITY_DN102362_c0_g1_i1"	5.31902493498271	"meanmale"	6.43385880944375	"meanfemale"
"TRINITY_DN102365_c0_g1_i1"	2.09667546486008	"meanmale"	5.07935449762179	"meanfemale"
"TRINITY_DN102409_c0_g1_i1"	-1.55145076264384	"meanmale"	2.37635852017034	"meanfemale"
"TRINITY_DN102412_c0_g1_i1"	-0.981925204352284	"meanmale"	1.53485679939047	"meanfemale"
"TRINITY_DN102444_c0_g1_i1"	3.78325232794152	"meanmale"	5.61592088109541	"meanfemale"
"TRINITY_DN102559_c0_g2_i1"	1.77967338929149	"meanmale"	4.30800713242025	"meanfemale"
"TRINITY_DN102581_c0_g1_i2"	-3.87408778579186	"meanmale"	1.44209252845619	"meanfemale"
"TRINITY_DN102628_c0_g1_i1"	-4.07056165367858	"meanmale"	2.91634634694951	"meanfemale"
"TRINITY_DN102702_c0_g1_i1"	3.99230420611418	"meanmale"	6.28359297756378	"meanfemale"
"TRINITY_DN102894_c0_g1_i2"	-13.2877123795494	"meanmale"	7.24197425713772	"meanfemale"
"TRINITY_DN102894_c0_g2_i1"	-5.09388822772542	"meanmale"	7.38585361893649	"meanfemale"
"TRINITY_DN103500_c0_g1_i1"	4.02018852936344	"meanmale"	5.25371134638014	"meanfemale"
"TRINITY_DN103526_c0_g1_i1"	-0.0186383381005389	"meanmale"	2.41081259805336	"meanfemale"
"TRINITY_DN103537_c0_g1_i1"	1.67947623339659	"meanmale"	3.65482929862718	"meanfemale"
"TRINITY_DN103549_c0_g1_i1"	4.96295521980501	"meanmale"	6.36250979814371	"meanfemale"
"TRINITY_DN103557_c0_g2_i2"	3.52778337432601	"meanmale"	4.70752565972997	"meanfemale"
"TRINITY_DN103565_c0_g1_i1"	2.07531663459509	"meanmale"	3.83662979876187	"meanfemale"
"TRINITY_DN103565_c0_g4_i1"	-4.79189904888327	"meanmale"	0.473559242866668	"meanfemale"
"TRINITY_DN103621_c0_g1_i2"	0.153974797297134	"meanmale"	4.01610475655584	"meanfemale"
"TRINITY_DN103622_c0_g3_i3"	1.22937827910064	"meanmale"	4.52818048154166	"meanfemale"
"TRINITY_DN103637_c0_g1_i1"	-0.360059200308301	"meanmale"	2.93310064796031	"meanfemale"
"TRINITY_DN103637_c0_g2_i1"	-13.2877123795494	"meanmale"	5.24748773062554	"meanfemale"
"TRINITY_DN103653_c0_g1_i1"	-0.512454801144777	"meanmale"	1.24367329572603	"meanfemale"
"TRINITY_DN103741_c0_g1_i2"	-0.306351873186015	"meanmale"	3.62102844465795	"meanfemale"
"TRINITY_DN103744_c0_g1_i2"	7.14300680083179	"meanmale"	8.22708716340317	"meanfemale"
"TRINITY_DN103783_c0_g1_i1"	2.5089938576703	"meanmale"	3.66852988303878	"meanfemale"
"TRINITY_DN103798_c0_g1_i1"	-6.16175923283715	"meanmale"	7.01054544833332	"meanfemale"
"TRINITY_DN103812_c0_g1_i2"	3.45634268237311	"meanmale"	5.12945597375877	"meanfemale"
"TRINITY_DN103834_c0_g12_i1"	-0.045692385113389	"meanmale"	3.43189755352196	"meanfemale"
"TRINITY_DN103834_c0_g3_i1"	1.05958525745738	"meanmale"	2.97478100465302	"meanfemale"
"TRINITY_DN103834_c0_g4_i1"	0.257617359768073	"meanmale"	2.61918282720467	"meanfemale"
"TRINITY_DN103834_c0_g9_i1"	3.42472640098451	"meanmale"	5.53752613499432	"meanfemale"
"TRINITY_DN103838_c0_g1_i1"	0.459601024806615	"meanmale"	7.11522032148315	"meanfemale"
"TRINITY_DN103860_c0_g1_i1"	1.1013344817301	"meanmale"	4.23728315055911	"meanfemale"
"TRINITY_DN103897_c0_g2_i1"	-4.32039232696596	"meanmale"	6.23659690261673	"meanfemale"
"TRINITY_DN103912_c0_g1_i1"	3.02744832820962	"meanmale"	4.30146469733647	"meanfemale"
"TRINITY_DN103989_c0_g1_i1"	3.98581559499153	"meanmale"	5.0503554600071	"meanfemale"
"TRINITY_DN104090_c1_g2_i1"	2.96511116087865	"meanmale"	4.06830149838163	"meanfemale"
"TRINITY_DN104207_c0_g1_i1"	-2.63651065170133	"meanmale"	1.09075913742765	"meanfemale"
"TRINITY_DN104240_c0_g1_i1"	4.01611835572286	"meanmale"	5.10872868674975	"meanfemale"
"TRINITY_DN104337_c0_g1_i1"	3.05924915924752	"meanmale"	4.1834175623901	"meanfemale"
"TRINITY_DN104365_c0_g3_i1"	2.0460315209475	"meanmale"	3.14187033326756	"meanfemale"
"TRINITY_DN104383_c0_g4_i1"	-2.06891572776753	"meanmale"	0.571413488879228	"meanfemale"
"TRINITY_DN104463_c0_g1_i1"	-1.3000341874957	"meanmale"	0.68642339208916	"meanfemale"
"TRINITY_DN104496_c0_g2_i1"	-1.75614601084704	"meanmale"	1.42089192815896	"meanfemale"
"TRINITY_DN104550_c0_g2_i1"	2.09752241705041	"meanmale"	4.38365934154297	"meanfemale"
