"gid"	"Log2RPKM"	"sex"	"bias"
"TRINITY_DN100034_c0_g1_i1"	3.68525309127138	"meanmale"	"female"
"TRINITY_DN100115_c0_g1_i1"	2.28479727137533	"meanmale"	"female"
"TRINITY_DN100260_c0_g2_i1"	4.24755432020635	"meanmale"	"female"
"TRINITY_DN100376_c0_g1_i1"	1.85117653959299	"meanmale"	"female"
"TRINITY_DN100856_c0_g1_i1"	2.36008184722273	"meanmale"	"female"
"TRINITY_DN100882_c0_g1_i1"	5.33813388608485	"meanmale"	"female"
"TRINITY_DN100904_c0_g1_i1"	-1.71227247504826	"meanmale"	"female"
"TRINITY_DN101042_c0_g2_i1"	0.984875398616898	"meanmale"	"female"
"TRINITY_DN101047_c0_g1_i2"	0.544549636253646	"meanmale"	"female"
"TRINITY_DN101072_c0_g2_i2"	-3.92497255136527	"meanmale"	"female"
"TRINITY_DN101087_c0_g1_i1"	3.30423807098417	"meanmale"	"female"
"TRINITY_DN101111_c0_g1_i2"	1.58275182485763	"meanmale"	"female"
"TRINITY_DN101356_c0_g1_i1"	0.322983865897429	"meanmale"	"female"
"TRINITY_DN101457_c0_g1_i1"	3.12673209805007	"meanmale"	"female"
"TRINITY_DN101751_c0_g1_i1"	2.0333398942708	"meanmale"	"female"
"TRINITY_DN102016_c0_g1_i1"	3.46587246257648	"meanmale"	"female"
"TRINITY_DN10201_c0_g1_i1"	-1.21411426806217	"meanmale"	"female"
"TRINITY_DN102065_c0_g1_i1"	4.02001153023944	"meanmale"	"female"
"TRINITY_DN102078_c0_g1_i1"	4.2008809524555	"meanmale"	"female"
"TRINITY_DN102272_c0_g1_i1"	2.4820550117676	"meanmale"	"female"
"TRINITY_DN102362_c0_g1_i1"	5.31902493498271	"meanmale"	"female"
"TRINITY_DN102365_c0_g1_i1"	2.09667546486008	"meanmale"	"female"
"TRINITY_DN102409_c0_g1_i1"	-1.55145076264384	"meanmale"	"female"
"TRINITY_DN102412_c0_g1_i1"	-0.981925204352284	"meanmale"	"female"
"TRINITY_DN102444_c0_g1_i1"	3.78325232794152	"meanmale"	"female"
"TRINITY_DN102559_c0_g2_i1"	1.77967338929149	"meanmale"	"female"
"TRINITY_DN102581_c0_g1_i2"	-3.87408778579186	"meanmale"	"female"
"TRINITY_DN102628_c0_g1_i1"	-4.07056165367858	"meanmale"	"female"
"TRINITY_DN102702_c0_g1_i1"	3.99230420611418	"meanmale"	"female"
"TRINITY_DN102894_c0_g1_i2"	-13.2877123795494	"meanmale"	"female"
"TRINITY_DN102894_c0_g2_i1"	-5.09388822772542	"meanmale"	"female"
"TRINITY_DN103500_c0_g1_i1"	4.02018852936344	"meanmale"	"female"
"TRINITY_DN103526_c0_g1_i1"	-0.0186383381005389	"meanmale"	"female"
"TRINITY_DN103537_c0_g1_i1"	1.67947623339659	"meanmale"	"female"
"TRINITY_DN103549_c0_g1_i1"	4.96295521980501	"meanmale"	"female"
"TRINITY_DN103557_c0_g2_i2"	3.52778337432601	"meanmale"	"female"
"TRINITY_DN103565_c0_g1_i1"	2.07531663459509	"meanmale"	"female"
"TRINITY_DN103565_c0_g4_i1"	-4.79189904888327	"meanmale"	"female"
"TRINITY_DN103621_c0_g1_i2"	0.153974797297134	"meanmale"	"female"
"TRINITY_DN103622_c0_g3_i3"	1.22937827910064	"meanmale"	"female"
"TRINITY_DN103637_c0_g1_i1"	-0.360059200308301	"meanmale"	"female"
"TRINITY_DN103637_c0_g2_i1"	-13.2877123795494	"meanmale"	"female"
"TRINITY_DN103653_c0_g1_i1"	-0.512454801144777	"meanmale"	"female"
"TRINITY_DN103741_c0_g1_i2"	-0.306351873186015	"meanmale"	"female"
"TRINITY_DN103744_c0_g1_i2"	7.14300680083179	"meanmale"	"female"
"TRINITY_DN103783_c0_g1_i1"	2.5089938576703	"meanmale"	"female"
"TRINITY_DN103798_c0_g1_i1"	-6.16175923283715	"meanmale"	"female"
"TRINITY_DN103812_c0_g1_i2"	3.45634268237311	"meanmale"	"female"
"TRINITY_DN103834_c0_g12_i1"	-0.045692385113389	"meanmale"	"female"
"TRINITY_DN103834_c0_g3_i1"	1.05958525745738	"meanmale"	"female"
"TRINITY_DN103834_c0_g4_i1"	0.257617359768073	"meanmale"	"female"
"TRINITY_DN103834_c0_g9_i1"	3.42472640098451	"meanmale"	"female"
"TRINITY_DN103838_c0_g1_i1"	0.459601024806615	"meanmale"	"female"
"TRINITY_DN103860_c0_g1_i1"	1.1013344817301	"meanmale"	"female"
"TRINITY_DN103897_c0_g2_i1"	-4.32039232696596	"meanmale"	"female"
"TRINITY_DN103912_c0_g1_i1"	3.02744832820962	"meanmale"	"female"
"TRINITY_DN103989_c0_g1_i1"	3.98581559499153	"meanmale"	"female"
"TRINITY_DN104090_c1_g2_i1"	2.96511116087865	"meanmale"	"female"
"TRINITY_DN104207_c0_g1_i1"	-2.63651065170133	"meanmale"	"female"
"TRINITY_DN104240_c0_g1_i1"	4.01611835572286	"meanmale"	"female"
"TRINITY_DN104337_c0_g1_i1"	3.05924915924752	"meanmale"	"female"
"TRINITY_DN104365_c0_g3_i1"	2.0460315209475	"meanmale"	"female"
"TRINITY_DN104383_c0_g4_i1"	-2.06891572776753	"meanmale"	"female"
"TRINITY_DN104463_c0_g1_i1"	-1.3000341874957	"meanmale"	"female"
"TRINITY_DN104496_c0_g2_i1"	-1.75614601084704	"meanmale"	"female"
"TRINITY_DN104550_c0_g2_i1"	2.09752241705041	"meanmale"	"female"
"TRINITY_DN104654_c0_g1_i1"	-0.692692775099768	"meanmale"	"female"
"TRINITY_DN104751_c0_g1_i2"	2.95684170716893	"meanmale"	"female"
"TRINITY_DN104812_c0_g1_i2"	1.97321629891818	"meanmale"	"female"
"TRINITY_DN104835_c0_g1_i2"	4.8520646990337	"meanmale"	"female"
"TRINITY_DN104838_c0_g1_i1"	-2.20496829376798	"meanmale"	"female"
"TRINITY_DN104942_c0_g1_i2"	3.42372428367135	"meanmale"	"female"
"TRINITY_DN105140_c0_g1_i1"	2.69553969108057	"meanmale"	"female"
"TRINITY_DN105215_c0_g1_i1"	2.76606572292978	"meanmale"	"female"
"TRINITY_DN105386_c0_g2_i1"	1.16958572987456	"meanmale"	"female"
"TRINITY_DN105440_c0_g1_i1"	-0.541265753159518	"meanmale"	"female"
"TRINITY_DN105453_c0_g1_i1"	5.18213424159071	"meanmale"	"female"
"TRINITY_DN105455_c0_g3_i1"	-0.766088916592144	"meanmale"	"female"
"TRINITY_DN105472_c0_g3_i2"	2.77528100328522	"meanmale"	"female"
"TRINITY_DN105525_c0_g1_i1"	-3.62298646161462	"meanmale"	"female"
"TRINITY_DN105560_c0_g1_i2"	3.49720657809031	"meanmale"	"female"
