gid	female	log2meanXX	cutoff
TRINITY_DN102894_c0_g1_i2	meanfemale	7.241974257	FC7
TRINITY_DN119116_c0_g1_i1	meanfemale	6.471701107	FC7
TRINITY_DN103637_c0_g2_i1	meanfemale	5.247487731	FC7
TRINITY_DN119774_c0_g1_i2	meanfemale	6.122648097	FC7
TRINITY_DN151741_c0_g1_i1	meanfemale	6.222486068	FC7
TRINITY_DN126078_c0_g1_i1	meanfemale	4.961771499	FC7
TRINITY_DN127129_c2_g3_i1	meanfemale	6.642448139	FC7
TRINITY_DN83270_c0_g2_i1	meanfemale	4.895162758	FC7
TRINITY_DN124389_c0_g1_i1	meanfemale	5.054456544	FC7
TRINITY_DN103798_c0_g1_i1	meanfemale	7.010545448	FC7
TRINITY_DN111028_c0_g1_i1	meanfemale	7.490174649	FC7
TRINITY_DN132173_c9_g2_i1	meanfemale	4.569854954	FC7
TRINITY_DN124448_c4_g1_i1	meanfemale	6.365257878	FC7
TRINITY_DN128402_c0_g1_i2	meanfemale	9.297812211	FC7
TRINITY_DN123147_c0_g1_i1	meanfemale	4.215914542	FC7
TRINITY_DN74428_c0_g1_i1	meanfemale	8.668139534	FC7
TRINITY_DN124226_c0_g1_i1	meanfemale	3.902496846	FC7
TRINITY_DN135526_c5_g2_i2	meanfemale	4.956040736	FC7
TRINITY_DN97753_c0_g2_i1	meanfemale	4.738424291	FC7
TRINITY_DN123696_c0_g1_i1	meanfemale	3.66440307	FC7
TRINITY_DN129649_c3_g2_i1	meanfemale	6.773643918	FC7
TRINITY_DN136663_c13_g1_i1	meanfemale	8.010345521	FC7
TRINITY_DN120071_c0_g1_i2	meanfemale	6.449087305	FC7
TRINITY_DN120456_c0_g1_i1	meanfemale	6.758632639	FC7
TRINITY_DN83270_c0_g1_i1	meanfemale	8.696459467	FC7
TRINITY_DN45107_c0_g2_i1	meanfemale	4.723632726	FC7
TRINITY_DN119288_c0_g1_i2	meanfemale	6.733715388	FC7
TRINITY_DN109666_c0_g1_i1	meanfemale	9.444012495	FC7
TRINITY_DN69456_c0_g1_i2	meanfemale	7.907103438	FC7
TRINITY_DN75302_c0_g2_i1	meanfemale	7.080957262	FC7
TRINITY_DN122649_c5_g3_i1	meanfemale	3.580508057	FC7
TRINITY_DN102894_c0_g2_i1	meanfemale	7.385853619	FC7
TRINITY_DN131553_c0_g1_i1	meanfemale	7.400214338	FC7
TRINITY_DN105647_c0_g2_i1	meanfemale	8.0438885	FC7
TRINITY_DN135315_c2_g1_i1	meanfemale	5.103445664	FC7
TRINITY_DN92285_c0_g1_i1	meanfemale	6.36012737	FC7
TRINITY_DN45107_c0_g1_i1	meanfemale	3.948167417	FC7
TRINITY_DN97753_c0_g1_i1	meanfemale	7.122305199	FC7
TRINITY_DN118245_c0_g1_i2	meanfemale	9.518087518	FC7
TRINITY_DN101072_c0_g2_i2	meanfemale	7.614758619	FC7
TRINITY_DN135315_c3_g5_i3	meanfemale	4.598674308	FC7
TRINITY_DN119058_c0_g1_i1	meanfemale	5.095799368	FC7
TRINITY_DN208554_c0_g1_i1	meanfemale	7.2389672	FC7
TRINITY_DN130516_c0_g2_i1	meanfemale	3.266633391	FC7
TRINITY_DN119058_c0_g2_i1	meanfemale	4.404868274	FC7
TRINITY_DN109929_c0_g1_i1	meanfemale	6.80556542	FC7
TRINITY_DN96567_c0_g1_i1	meanfemale	3.342498735	FC7
TRINITY_DN98815_c0_g2_i1	meanfemale	8.706736878	FC7
TRINITY_DN110915_c0_g1_i1	meanfemale	3.681667092	FC7
TRINITY_DN130516_c0_g1_i1	meanfemale	3.13428369	FC7
TRINITY_DN9222_c0_g1_i1	meanfemale	4.763386352	FC7
TRINITY_DN165190_c0_g1_i1	meanfemale	5.029289037	FC7
TRINITY_DN135585_c3_g1_i1	meanfemale	6.240255027	FC7
TRINITY_DN68190_c0_g2_i1	meanfemale	2.906925784	FC7
TRINITY_DN105624_c0_g1_i1	meanfemale	4.559039434	FC7
TRINITY_DN121548_c0_g1_i1	meanfemale	4.751165237	FC7
TRINITY_DN114957_c0_g1_i3	meanfemale	3.394412264	FC7
TRINITY_DN133823_c0_g2_i1	meanfemale	6.008662251	FC7
TRINITY_DN114382_c0_g1_i2	meanfemale	5.649682476	FC7
TRINITY_DN110679_c0_g1_i1	meanfemale	4.913180672	FC7
TRINITY_DN112124_c0_g2_i1	meanfemale	5.426760035	FC7
TRINITY_DN135315_c3_g4_i2	meanfemale	5.695582202	FC7
TRINITY_DN118281_c0_g1_i1	meanfemale	5.568936754	FC7
TRINITY_DN128784_c3_g3_i1	meanfemale	3.449214554	FC7
TRINITY_DN131690_c0_g1_i2	meanfemale	4.545341294	FC7
TRINITY_DN109913_c0_g2_i1	meanfemale	2.689561759	FC7
TRINITY_DN131553_c0_g2_i1	meanfemale	6.89608125	FC7
TRINITY_DN79738_c0_g1_i1	meanfemale	3.909550811	FC7
TRINITY_DN133291_c0_g2_i1	meanfemale	9.014252218	FC7
TRINITY_DN120463_c0_g1_i1	meanfemale	6.613245163	FC7
TRINITY_DN97717_c0_g2_i1	meanfemale	1.895680153	FC7
TRINITY_DN45542_c0_g1_i1	meanfemale	7.685624064	FC7
TRINITY_DN126729_c2_g1_i2	meanfemale	5.503298528	FC7
TRINITY_DN125519_c4_g4_i2	meanfemale	4.696526981	FC7
TRINITY_DN98982_c0_g2_i1	meanfemale	2.523807974	FC7
TRINITY_DN128648_c7_g8_i1	meanfemale	6.663228699	FC7
TRINITY_DN136699_c6_g5_i2	meanfemale	2.502435195	FC7
TRINITY_DN135526_c5_g1_i1	meanfemale	5.369499968	FC7
TRINITY_DN151548_c0_g1_i1	meanfemale	7.287197914	FC7
TRINITY_DN113238_c0_g2_i1	meanfemale	3.922014301	FC7
TRINITY_DN125309_c0_g1_i1	meanfemale	7.266890069	FC7
TRINITY_DN123462_c3_g1_i1	meanfemale	5.323359834	FC7
TRINITY_DN135535_c0_g1_i2	meanfemale	8.692674529	FC7
TRINITY_DN125119_c3_g1_i1	meanfemale	2.594884346	FC7
TRINITY_DN131394_c0_g1_i2	meanfemale	5.743795352	FC7
TRINITY_DN114286_c0_g3_i1	meanfemale	3.759443332	FC7
TRINITY_DN103897_c0_g2_i1	meanfemale	6.236596903	FC7
TRINITY_DN91852_c0_g1_i1	meanfemale	3.661688518	FC7
TRINITY_DN125119_c3_g3_i1	meanfemale	2.53400233	FC7
TRINITY_DN124325_c0_g1_i1	meanfemale	8.125239216	FC7
TRINITY_DN132305_c3_g4_i3	meanfemale	6.07582373	FC7
TRINITY_DN69434_c0_g2_i1	meanfemale	5.286579404	FC7
TRINITY_DN117740_c0_g1_i2	meanfemale	6.103178576	FC7
TRINITY_DN124649_c0_g1_i1	meanfemale	6.941340758	FC7
TRINITY_DN121562_c0_g1_i6	meanfemale	5.490826252	FC7
TRINITY_DN125285_c2_g1_i3	meanfemale	6.131816028	FC7
TRINITY_DN126783_c1_g5_i3	meanfemale	5.339115642	FC7
TRINITY_DN130577_c0_g2_i5	meanfemale	4.897139837	FC7
TRINITY_DN135914_c0_g2_i1	meanfemale	4.539638439	FC7
TRINITY_DN121355_c0_g1_i4	meanfemale	5.674679372	FC7
TRINITY_DN159629_c0_g1_i1	meanfemale	3.09954608	FC7
TRINITY_DN78386_c0_g1_i1	meanfemale	3.000754025	FC7
TRINITY_DN133823_c0_g1_i1	meanfemale	5.431267327	FC7
TRINITY_DN135514_c0_g1_i1	meanfemale	2.363957097	FC7
TRINITY_DN125971_c0_g1_i2	meanfemale	4.372062618	FC7
TRINITY_DN128868_c0_g3_i1	meanfemale	3.642902083	FC7
TRINITY_DN116966_c0_g1_i1	meanfemale	8.112616425	FC7
TRINITY_DN120818_c0_g1_i2	meanfemale	5.697027956	FC7
TRINITY_DN128175_c8_g3_i2	meanfemale	1.99210395	FC7
TRINITY_DN131426_c0_g1_i1	meanfemale	2.779821753	FC7
TRINITY_DN69456_c0_g2_i1	meanfemale	4.621724073	FC7
TRINITY_DN109913_c0_g1_i1	meanfemale	3.168594051	FC7
TRINITY_DN128157_c0_g1_i3	meanfemale	3.617120104	FC7
TRINITY_DN128638_c0_g1_i2	meanfemale	8.066600801	FC7
TRINITY_DN133109_c3_g5_i1	meanfemale	2.128422302	FC7
TRINITY_DN122293_c0_g1_i1	meanfemale	6.116511465	FC7
TRINITY_DN123052_c0_g1_i2	meanfemale	4.527056948	FC7
TRINITY_DN129116_c0_g1_i3	meanfemale	5.386859573	FC7
TRINITY_DN129651_c0_g4_i5	meanfemale	8.281946311	FC7
TRINITY_DN117638_c0_g1_i1	meanfemale	4.991937182	FC7
TRINITY_DN124263_c0_g1_i1	meanfemale	7.287437525	FC7
TRINITY_DN112272_c0_g1_i1	meanfemale	4.407337748	FC7
TRINITY_DN97228_c0_g1_i1	meanfemale	2.110601652	FC7
TRINITY_DN119494_c0_g1_i1	meanfemale	6.425094467	FC7
TRINITY_DN123456_c0_g3_i1	meanfemale	7.501695487	FC7
TRINITY_DN129466_c1_g5_i1	meanfemale	5.37012737	FC7
TRINITY_DN118554_c3_g1_i4	meanfemale	4.488864813	FC7
TRINITY_DN113538_c0_g1_i1	meanfemale	6.204647481	FC7
TRINITY_DN49077_c0_g1_i1	meanfemale	1.388522137	FC7
TRINITY_DN108208_c0_g1_i3	meanfemale	8.503713121	FC7
TRINITY_DN130593_c0_g3_i1	meanfemale	0.779594513	FC7
TRINITY_DN121347_c0_g1_i2	meanfemale	5.574141198	FC7
TRINITY_DN122658_c0_g1_i4	meanfemale	3.217719317	FC7
TRINITY_DN131426_c0_g3_i1	meanfemale	3.468014641	FC7
TRINITY_DN108746_c0_g3_i1	meanfemale	1.248613861	FC7
TRINITY_DN126983_c0_g1_i2	meanfemale	3.690924773	FC7
TRINITY_DN116337_c0_g1_i3	meanfemale	3.378688836	FC7
TRINITY_DN116144_c0_g1_i1	meanfemale	2.384512663	FC7
TRINITY_DN133291_c0_g1_i1	meanfemale	8.327253888	FC7
TRINITY_DN129237_c5_g4_i2	meanfemale	5.512735669	FC7
TRINITY_DN129649_c3_g1_i3	meanfemale	7.046573259	FC7
TRINITY_DN123396_c0_g1_i4	meanfemale	8.124185842	FC7
TRINITY_DN110103_c0_g1_i1	meanfemale	5.049456518	FC7
TRINITY_DN98655_c0_g1_i1	meanfemale	4.921580721	FC7
TRINITY_DN130393_c6_g2_i4	meanfemale	5.023324708	FC7
TRINITY_DN164909_c0_g1_i1	meanfemale	7.892496033	FC7
TRINITY_DN117125_c0_g1_i1	meanfemale	7.387221679	FC7
TRINITY_DN135315_c3_g6_i1	meanfemale	4.938501972	FC7
TRINITY_DN121071_c0_g1_i4	meanfemale	6.020038601	FC7
