gid	log2RPKM	sex
TRINITY_DN102894_c0_g1_i2	-13.28771238	meanmale
TRINITY_DN133080_c7_g9_i1	-13.28771238	meanmale
TRINITY_DN126983_c0_g1_i2	-13.28771238	meanmale
TRINITY_DN130516_c0_g2_i1	-13.28771238	meanmale
TRINITY_DN102894_c0_g2_i1	-6.697554542	meanmale
TRINITY_DN109666_c0_g1_i1	-2.890934567	meanmale
TRINITY_DN97753_c0_g1_i1	-5.41893514	meanmale
TRINITY_DN48710_c0_g1_i1	-13.28771238	meanmale
TRINITY_DN135526_c5_g2_i2	-5.312406245	meanmale
TRINITY_DN878_c0_g1_i1	-5.731327447	meanmale
TRINITY_DN105624_c0_g1_i1	-3.530233444	meanmale
TRINITY_DN124431_c0_g1_i2	-4.743407241	meanmale
TRINITY_DN128424_c0_g1_i2	-13.28771238	meanmale
TRINITY_DN105647_c0_g2_i1	-1.699860406	meanmale
TRINITY_DN133241_c4_g7_i1	-13.28771238	meanmale
TRINITY_DN74428_c0_g1_i1	-3.030090766	meanmale
TRINITY_DN83270_c0_g1_i1	-2.596256081	meanmale
TRINITY_DN135315_c3_g6_i1	-4.668533819	meanmale
TRINITY_DN135514_c0_g1_i1	-13.28771238	meanmale
TRINITY_DN109913_c0_g2_i1	-13.28771238	meanmale
TRINITY_DN131553_c0_g1_i1	-3.332409385	meanmale
TRINITY_DN111028_c0_g1_i1	-2.024109294	meanmale
TRINITY_DN122870_c0_g1_i3	-13.28771238	meanmale
TRINITY_DN97753_c0_g2_i1	-4.617531452	meanmale
TRINITY_DN94167_c0_g1_i1	-13.28771238	meanmale
TRINITY_DN131553_c0_g2_i1	-2.463237869	meanmale
TRINITY_DN117125_c0_g1_i1	-0.99994278	meanmale
TRINITY_DN125119_c3_g1_i1	-13.28771238	meanmale
TRINITY_DN135315_c2_g1_i1	-5.008830048	meanmale
TRINITY_DN123396_c0_g1_i4	-1.723881709	meanmale
TRINITY_DN128424_c0_g2_i1	-6.346366109	meanmale
TRINITY_DN92285_c0_g1_i1	-2.595844642	meanmale
TRINITY_DN128648_c7_g8_i1	-3.433808232	meanmale
TRINITY_DN119058_c0_g2_i1	-6.254922959	meanmale
TRINITY_DN136699_c6_g5_i2	-6.729891125	meanmale
TRINITY_DN135315_c3_g4_i2	-3.46882485	meanmale
TRINITY_DN119116_c0_g1_i1	-1.245522963	meanmale
TRINITY_DN126545_c0_g3_i5	-1.164676997	meanmale
TRINITY_DN119288_c0_g1_i2	-2.645102919	meanmale
TRINITY_DN91852_c0_g1_i1	-5.361928764	meanmale
TRINITY_DN15800_c0_g2_i1	-13.28771238	meanmale
TRINITY_DN119011_c0_g1_i1	-2.5018247	meanmale
TRINITY_DN124411_c0_g2_i4	0.509275716	meanmale
TRINITY_DN110679_c0_g1_i1	-4.856334659	meanmale
TRINITY_DN111329_c0_g1_i2	-6.212881286	meanmale
TRINITY_DN135526_c5_g1_i1	-3.356042567	meanmale
TRINITY_DN128868_c0_g3_i1	-5.084182611	meanmale
TRINITY_DN120396_c0_g1_i4	-3.470120003	meanmale
TRINITY_DN123821_c0_g1_i1	-3.29097338	meanmale
TRINITY_DN83270_c0_g2_i1	-3.860205831	meanmale
TRINITY_DN120456_c0_g1_i1	-0.373805229	meanmale
TRINITY_DN135315_c3_g5_i3	-5.377759406	meanmale
TRINITY_DN98734_c0_g1_i1	-13.28771238	meanmale
TRINITY_DN133291_c0_g1_i1	0.459121818	meanmale
TRINITY_DN86592_c0_g2_i1	-13.28771238	meanmale
TRINITY_DN17174_c0_g1_i1	-4.168866709	meanmale
TRINITY_DN79738_c0_g1_i1	-13.28771238	meanmale
TRINITY_DN135727_c2_g6_i1	-4.181048364	meanmale
TRINITY_DN136525_c2_g5_i1	-1.715082197	meanmale
TRINITY_DN123349_c1_g3_i1	-1.81630563	meanmale
TRINITY_DN119908_c2_g1_i5	0.29065677	meanmale
TRINITY_DN121733_c0_g1_i3	-2.95590071	meanmale
TRINITY_DN27351_c0_g1_i1	-6.863791458	meanmale
TRINITY_DN129237_c5_g4_i2	-1.984536984	meanmale
TRINITY_DN120463_c0_g1_i1	-2.049936195	meanmale
TRINITY_DN136353_c2_g4_i1	-3.600340283	meanmale
TRINITY_DN123147_c0_g1_i1	-2.8085281	meanmale
TRINITY_DN151548_c0_g1_i1	-1.189105151	meanmale
TRINITY_DN127129_c2_g3_i1	-1.439459285	meanmale
TRINITY_DN132047_c2_g1_i1	-5.902185655	meanmale
TRINITY_DN123052_c0_g1_i2	-3.569792429	meanmale
TRINITY_DN135535_c0_g1_i2	-0.194011228	meanmale
TRINITY_DN121562_c0_g1_i6	-2.302710142	meanmale
TRINITY_DN90220_c0_g1_i1	-8.584083394	meanmale
TRINITY_DN123456_c0_g3_i1	-0.296877726	meanmale
