log2RPKM	Sex	Bias
0.4397906444	"meanmale"	"female"
NA	"meanmale"	"female"
NA	"meanmale"	"female"
-0.437142148	"meanmale"	"female"
0.033007224	"meanmale"	"female"
-0.0934064198	"meanmale"	"female"
-0.1166007294	"meanmale"	"female"
0.0987517784	"meanmale"	"female"
0.0372848136	"meanmale"	"female"
-0.024419983	"meanmale"	"female"
1.6840044024	"meanmale"	"female"
0.13025009	"meanmale"	"female"
-0.2673047432	"meanmale"	"female"
-0.3073304264	"meanmale"	"female"
0.423045854	"meanmale"	"female"
0.643790403	"meanmale"	"female"
0.8029511488	"meanmale"	"female"
-0.3797052482	"meanmale"	"female"
1.3290407534	"meanmale"	"female"
NA	"meanmale"	"female"
0.503102787	"meanmale"	"female"
NA	"meanmale"	"female"
-0.0324207526	"meanmale"	"female"
-0.7280301412	"meanmale"	"female"
-0.5859022618	"meanmale"	"female"
NA	"meanmale"	"female"
NA	"meanmale"	"female"
1.4509054858	"meanmale"	"female"
NA	"meanmale"	"female"
-0.35724927	"meanmale"	"female"
1.29599941	"meanmale"	"female"
NA	"meanmale"	"female"
1.6571481892	"meanmale"	"female"
NA	"meanmale"	"female"
1.2102379272	"meanmale"	"female"
-0.764899605	"meanmale"	"female"
1.0854579972	"meanmale"	"female"
1.097170345	"meanmale"	"female"
-0.406969323	"meanmale"	"female"
0.3365236	"meanmale"	"female"
NA	"meanmale"	"female"
1.6786069754	"meanmale"	"female"
0.2649978258	"meanmale"	"female"
1.5317655726	"meanmale"	"female"
NA	"meanmale"	"female"
1.8559148506	"meanmale"	"female"
-0.1144894692	"meanmale"	"female"
NA	"meanmale"	"female"
0.8960278664	"meanmale"	"female"
-0.33014915	"meanmale"	"female"
0.0813753886	"meanmale"	"female"
NA	"meanmale"	"female"
NA	"meanmale"	"female"
NA	"meanmale"	"female"
NA	"meanmale"	"female"
0.3087126854	"meanmale"	"female"
-0.2575512926	"meanmale"	"female"
0.306329161	"meanmale"	"female"
-0.5989867734	"meanmale"	"female"
NA	"meanmale"	"female"
1.6633534988	"meanmale"	"female"
NA	"meanmale"	"female"
NA	"meanmale"	"female"
-0.156707235	"meanmale"	"female"
0.3907945072	"meanmale"	"female"
1.0113917266	"meanmale"	"female"
1.4995567516	"meanmale"	"female"
NA	"meanmale"	"female"
0.0993803092	"meanmale"	"female"
1.2927853904	"meanmale"	"female"
1.1909447286	"meanmale"	"female"
0.7547497234	"meanmale"	"female"
0.5662186438	"meanmale"	"female"
0.5348694138	"meanmale"	"female"
NA	"meanmale"	"female"
NA	"meanmale"	"female"
-0.1758945694	"meanmale"	"female"
-0.2604922056	"meanmale"	"female"
0.714014284	"meanmale"	"female"
0.5611841904	"meanmale"	"female"
1.1434478772	"meanmale"	"female"
0.3423414148	"meanmale"	"female"
NA	"meanmale"	"female"
1.0138759418	"meanmale"	"female"
NA	"meanmale"	"female"
0.7292121714	"meanmale"	"female"
0.5345933362	"meanmale"	"female"
1.3161763828	"meanmale"	"female"
NA	"meanmale"	"female"
NA	"meanmale"	"female"
NA	"meanmale"	"female"
-0.4002458062	"meanmale"	"female"
0.8789822072	"meanmale"	"female"
NA	"meanmale"	"female"
-0.5944137028	"meanmale"	"female"
1.1788214414	"meanmale"	"female"
1.0641218592	"meanmale"	"female"
0.9461121396	"meanmale"	"female"
NA	"meanmale"	"female"
0.8309477336	"meanmale"	"female"
-0.684027078	"meanmale"	"female"
-0.5442406888	"meanmale"	"female"
0.2887651634	"meanmale"	"female"
-1.0932805336	"meanmale"	"female"
1.0013971392	"meanmale"	"female"
NA	"meanmale"	"female"
-0.8893138648	"meanmale"	"female"
1.1013627474	"meanmale"	"female"
-0.1660595184	"meanmale"	"female"
0.9964686468	"meanmale"	"female"
-0.0921283732	"meanmale"	"female"
-0.4483043036	"meanmale"	"female"
-0.6591007756	"meanmale"	"female"
1.302561113	"meanmale"	"female"
-0.6460380174	"meanmale"	"female"
1.7878789546	"meanmale"	"female"
0.4964253342	"meanmale"	"female"
2.19880983	"meanmale"	"female"
0.5695637122	"meanmale"	"female"
-0.6394131866	"meanmale"	"female"
-0.00466143520000001	"meanmale"	"female"
0.8120922258	"meanmale"	"female"
NA	"meanmale"	"female"
-0.569712591	"meanmale"	"female"
0.2041864716	"meanmale"	"female"
0.4905552202	"meanmale"	"female"
0.5439305296	"meanmale"	"female"
0.870863517	"meanmale"	"female"
1.417311184	"meanmale"	"female"
0.301449155	"meanmale"	"female"
1.0265537596	"meanmale"	"female"
-0.4033823852	"meanmale"	"female"
1.2222106292	"meanmale"	"female"
1.8769986098	"meanmale"	"female"
NA	"meanmale"	"female"
1.9726588174	"meanmale"	"female"
-0.194597835	"meanmale"	"female"
0.4010532408	"meanmale"	"female"
1.2438975536	"meanmale"	"female"
NA	"meanmale"	"female"
0.791987428	"meanmale"	"female"
-0.7223952514	"meanmale"	"female"
1.0290868684	"meanmale"	"female"
0.647853289	"meanmale"	"female"
NA	"meanmale"	"female"
0.0565543354	"meanmale"	"female"
NA	"meanmale"	"female"
1.035023312	"meanmale"	"female"
NA	"meanmale"	"female"
0.0556350496	"meanmale"	"female"
1.9151671022	"meanmale"	"female"
0.830135271	"meanmale"	"female"
0.046100279	"meanmale"	"female"
0.6408624394	"meanmale"	"female"
0.00921135639999999	"meanmale"	"female"
-0.6648079804	"meanmale"	"female"
-0.2583250736	"meanmale"	"female"
NA	"meanmale"	"female"
1.2436597726	"meanmale"	"female"
-0.6131222354	"meanmale"	"female"
-0.0818164986	"meanmale"	"female"
-0.6768179482	"meanmale"	"female"
-0.314763928	"meanmale"	"female"
NA	"meanmale"	"female"
1.0273131456	"meanmale"	"female"
0.3047287682	"meanmale"	"female"
0.1376356986	"meanmale"	"female"
NA	"meanmale"	"female"
0.0409189162	"meanmale"	"female"
0.3588387308	"meanmale"	"female"
0.3701461438	"meanmale"	"female"
-0.1580778814	"meanmale"	"female"
NA	"meanmale"	"female"
-0.3414141882	"meanmale"	"female"
0.920684299	"meanmale"	"female"
1.661501163	"meanmale"	"female"
NA	"meanmale"	"female"
1.7071235868	"meanmale"	"female"
NA	"meanmale"	"female"
0.748591544	"meanmale"	"female"
1.3715908834	"meanmale"	"female"
0.7456594096	"meanmale"	"female"
NA	"meanmale"	"female"
0.1723466082	"meanmale"	"female"
1.56473752	"meanmale"	"female"
1.4280382896	"meanmale"	"female"
NA	"meanmale"	"female"
1.2254346006	"meanmale"	"female"
NA	"meanmale"	"female"
-0.1779553158	"meanmale"	"female"
0.3272819588	"meanmale"	"female"
NA	"meanmale"	"female"
NA	"meanmale"	"female"
0.3263236602	"meanmale"	"female"
1.5016394904	"meanmale"	"female"
1.1865335542	"meanmale"	"female"
1.1233174936	"meanmale"	"female"
-0.3223426808	"meanmale"	"female"
1.8350182328	"meanmale"	"female"
1.3915502892	"meanmale"	"female"
1.69747226	"meanmale"	"female"
1.0051662894	"meanmale"	"female"
0.3531229278	"meanmale"	"female"
0.9457276356	"meanmale"	"female"
-0.2026737894	"meanmale"	"female"
NA	"meanmale"	"female"
0.5396159022	"meanmale"	"female"
0.6751882858	"meanmale"	"female"
0.3648894456	"meanmale"	"female"
0.000984589800000005	"meanmale"	"female"
0.4173200694	"meanmale"	"female"
0.1390000804	"meanmale"	"female"
0.1547632414	"meanmale"	"female"
1.421614536	"meanmale"	"female"
0.0549489304	"meanmale"	"female"
-0.4437271308	"meanmale"	"female"
NA	"meanmale"	"female"
0.4778935284	"meanmale"	"female"
NA	"meanmale"	"female"
NA	"meanmale"	"female"
1.492718176	"meanmale"	"female"
0.4417707218	"meanmale"	"female"
-0.0461642256	"meanmale"	"female"
-0.5664722472	"meanmale"	"female"
1.7836808498	"meanmale"	"female"
-0.000553144599999988	"meanmale"	"female"
-0.302572305	"meanmale"	"female"
-0.1243429248	"meanmale"	"female"
0.9167867646	"meanmale"	"female"
0.4364204314	"meanmale"	"female"
1.1205916402	"meanmale"	"female"
NA	"meanmale"	"female"
1.7561268492	"meanmale"	"female"
1.1851971184	"meanmale"	"female"
1.3715922212	"meanmale"	"female"
-0.6824957458	"meanmale"	"female"
0.0070962104	"meanmale"	"female"
-0.1743343934	"meanmale"	"female"
1.064261403	"meanmale"	"female"
1.4276169996	"meanmale"	"female"
NA	"meanmale"	"female"
1.4880360946	"meanmale"	"female"
1.7014712184	"meanmale"	"female"
0.5275221906	"meanmale"	"female"
-0.2782626858	"meanmale"	"female"
1.7338611738	"meanmale"	"female"
-0.1417485212	"meanmale"	"female"
-0.12557234	"meanmale"	"female"
1.6935256594	"meanmale"	"female"
NA	"meanmale"	"female"
-0.0852742396	"meanmale"	"female"
NA	"meanmale"	"female"
NA	"meanmale"	"female"
-0.3542600344	"meanmale"	"female"
0.8968647516	"meanmale"	"female"
1.6126525998	"meanmale"	"female"
1.331470638	"meanmale"	"female"
-0.9278189322	"meanmale"	"female"
0.8999964402	"meanmale"	"female"
1.566406185	"meanmale"	"female"
1.6334820698	"meanmale"	"female"
0.0491936952	"meanmale"	"female"
0.200324569	"meanmale"	"female"
-0.5911715292	"meanmale"	"female"
0.695296538	"meanmale"	"female"
-0.4318290646	"meanmale"	"female"
0.7121647386	"meanmale"	"female"
NA	"meanmale"	"female"
-0.6686968134	"meanmale"	"female"
-0.0522323724	"meanmale"	"female"
1.7907761402	"meanmale"	"female"
1.3840353308	"meanmale"	"female"
0.9055173252	"meanmale"	"female"
-0.5954434888	"meanmale"	"female"
-0.7799365306	"meanmale"	"female"
1.908421198	"meanmale"	"female"
1.6275514628	"meanmale"	"female"
-0.2538799126	"meanmale"	"female"
-0.172501445	"meanmale"	"female"
1.4500595108	"meanmale"	"female"
-0.0521355854	"meanmale"	"female"
1.445012428	"meanmale"	"female"
-0.6693114046	"meanmale"	"female"
-0.5009145202	"meanmale"	"female"
-0.2195009656	"meanmale"	"female"
-0.6694971084	"meanmale"	"female"
1.6099251538	"meanmale"	"female"
-0.2371745414	"meanmale"	"female"
-0.159885272	"meanmale"	"female"
0.2864700668	"meanmale"	"female"
NA	"meanmale"	"female"
0.5928624124	"meanmale"	"female"
NA	"meanmale"	"female"
NA	"meanmale"	"female"
NA	"meanmale"	"female"
NA	"meanmale"	"female"
NA	"meanmale"	"female"
-1.2855842882	"meanmale"	"female"
-0.8071110958	"meanmale"	"female"
1.8043578492	"meanmale"	"female"
NA	"meanmale"	"female"
1.183451831	"meanmale"	"female"
0.5636751688	"meanmale"	"female"
-0.4082080958	"meanmale"	"female"
0.8440017396	"meanmale"	"female"
0.6462741744	"meanmale"	"female"
-0.2766948068	"meanmale"	"female"
-0.2510334812	"meanmale"	"female"
1.0373642428	"meanmale"	"female"
NA	"meanmale"	"female"
1.0730495484	"meanmale"	"female"
NA	"meanmale"	"female"
NA	"meanmale"	"female"
1.3174424704	"meanmale"	"female"
0.0958400976	"meanmale"	"female"
1.2547891734	"meanmale"	"female"
0.0342909464	"meanmale"	"female"
1.0320848764	"meanmale"	"female"
0.4491283986	"meanmale"	"female"
-0.3247825632	"meanmale"	"female"
NA	"meanmale"	"female"
0.7947786846	"meanmale"	"female"
0.304303213	"meanmale"	"female"
0.9741250974	"meanmale"	"female"
-0.1404553552	"meanmale"	"female"
0.7951447238	"meanmale"	"female"
0.7484224268	"meanmale"	"female"
1.4793535906	"meanmale"	"female"
1.6496873742	"meanmale"	"female"
0.2640966302	"meanmale"	"female"
1.2145599572	"meanmale"	"female"
-1.0883731352	"meanmale"	"female"
1.8325437408	"meanmale"	"female"
0.0368432712	"meanmale"	"female"
-0.0086222576	"meanmale"	"female"
0.006741265	"meanmale"	"female"
NA	"meanmale"	"female"
0.2443349732	"meanmale"	"female"
0.8282201448	"meanmale"	"female"
1.1313931632	"meanmale"	"female"
NA	"meanmale"	"female"
NA	"meanmale"	"female"
1.55770553	"meanmale"	"female"
0.0584566334	"meanmale"	"female"
0.4709732218	"meanmale"	"female"
