"A10FB"	"group1"	"meanXX"	"group2"
"TRINITY_DN105267_c0_g2_i2"	3.7297749388021	"meanmale"	2.41538146942605	"meanfemale"
"TRINITY_DN105687_c0_g1_i1"	1.49564266414505	"meanmale"	-1.12972462504023	"meanfemale"
"TRINITY_DN109305_c0_g2_i2"	2.34706440167127	"meanmale"	-0.957543540611662	"meanfemale"
"TRINITY_DN110989_c1_g2_i1"	1.71612843866265	"meanmale"	-2.10632496640404	"meanfemale"
"TRINITY_DN113301_c1_g1_i1"	6.77132624815802	"meanmale"	5.67215483307424	"meanfemale"
"TRINITY_DN113348_c0_g3_i1"	2.3712152251453	"meanmale"	-4.92247381756945	"meanfemale"
"TRINITY_DN114504_c0_g2_i2"	0.642659537578944	"meanmale"	-1.22666680081441	"meanfemale"
"TRINITY_DN115328_c0_g1_i1"	4.97235631211122	"meanmale"	3.87621628550726	"meanfemale"
"TRINITY_DN115904_c0_g3_i2"	7.33306269186778	"meanmale"	6.29286921802304	"meanfemale"
"TRINITY_DN117036_c0_g1_i1"	2.5163704734845	"meanmale"	-0.0911726430984302	"meanfemale"
"TRINITY_DN117360_c0_g1_i1"	4.77886755309237	"meanmale"	2.94622970794189	"meanfemale"
"TRINITY_DN117446_c0_g1_i2"	0.962121628131638	"meanmale"	-1.02672333893716	"meanfemale"
"TRINITY_DN117550_c0_g1_i1"	4.07663606209025	"meanmale"	3.05937840928759	"meanfemale"
"TRINITY_DN117646_c0_g2_i1"	1.82066372789816	"meanmale"	-0.0229427843947196	"meanfemale"
"TRINITY_DN118022_c0_g1_i1"	5.11356537398779	"meanmale"	0.772102326930108	"meanfemale"
"TRINITY_DN120963_c0_g1_i2"	2.32239279203701	"meanmale"	-1.31044586258449	"meanfemale"
"TRINITY_DN120967_c0_g2_i1"	2.88835255133064	"meanmale"	1.5047635642021	"meanfemale"
"TRINITY_DN120979_c0_g1_i3"	6.87469311594921	"meanmale"	5.3609417021412	"meanfemale"
"TRINITY_DN121505_c1_g3_i1"	2.25353540253175	"meanmale"	0.736129556262002	"meanfemale"
"TRINITY_DN122025_c0_g1_i3"	2.8944907875664	"meanmale"	1.64948431807872	"meanfemale"
"TRINITY_DN122118_c0_g1_i1"	7.01144689445849	"meanmale"	5.41272857921998	"meanfemale"
"TRINITY_DN122261_c0_g1_i1"	0.939316607064889	"meanmale"	-2.14161413472002	"meanfemale"
"TRINITY_DN122960_c4_g4_i2"	4.21999857961867	"meanmale"	2.99907122491652	"meanfemale"
"TRINITY_DN123054_c2_g2_i2"	2.18890536857155	"meanmale"	0.887146707029188	"meanfemale"
"TRINITY_DN123558_c0_g1_i1"	4.12524498706156	"meanmale"	2.81972449871345	"meanfemale"
"TRINITY_DN123754_c0_g1_i2"	4.19775733642951	"meanmale"	2.93404939821019	"meanfemale"
"TRINITY_DN123918_c0_g2_i1"	1.68054498453732	"meanmale"	-0.898802927581158	"meanfemale"
"TRINITY_DN125115_c2_g1_i1"	3.5479535127463	"meanmale"	0.37035777979302	"meanfemale"
"TRINITY_DN125892_c0_g1_i1"	1.38066255388183	"meanmale"	-1.00293435436259	"meanfemale"
"TRINITY_DN126485_c2_g1_i2"	1.7074382377325	"meanmale"	-0.443660863664687	"meanfemale"
"TRINITY_DN126719_c0_g1_i3"	2.68566643975928	"meanmale"	-2.78321808944673	"meanfemale"
"TRINITY_DN126942_c1_g2_i1"	2.95698436289667	"meanmale"	-0.0965302616446659	"meanfemale"
"TRINITY_DN127055_c1_g7_i1"	1.7227345927399	"meanmale"	-0.14246067135439	"meanfemale"
"TRINITY_DN127570_c1_g1_i1"	3.56596944863712	"meanmale"	2.40115298690315	"meanfemale"
"TRINITY_DN127888_c0_g2_i1"	0.0814288367006269	"meanmale"	-3.49172791875107	"meanfemale"
"TRINITY_DN128095_c4_g3_i3"	2.31267158801951	"meanmale"	0.188464852238921	"meanfemale"
"TRINITY_DN128367_c1_g4_i3"	11.4771532834841	"meanmale"	5.98150570843102	"meanfemale"
"TRINITY_DN128465_c0_g5_i9"	6.10287274706407	"meanmale"	3.57705457267055	"meanfemale"
"TRINITY_DN128884_c3_g1_i1"	3.03782843557195	"meanmale"	1.63447058211158	"meanfemale"
"TRINITY_DN129733_c3_g5_i1"	2.25507367118919	"meanmale"	0.153847701023592	"meanfemale"
"TRINITY_DN129784_c1_g7_i1"	1.49084754850657	"meanmale"	-1.56772959516189	"meanfemale"
"TRINITY_DN130300_c0_g1_i3"	2.42203628807755	"meanmale"	-0.67011423597149	"meanfemale"
