"A10FB"	"group1"	"meanXX"	"group2"
"TRINITY_DN100108_c0_g1_i1"	-0.312163434271319	"meanmale"	4.85185410313217	"meanfemale"
"TRINITY_DN100360_c0_g1_i1"	-2.5540527154851	"meanmale"	2.26282756005366	"meanfemale"
"TRINITY_DN106674_c0_g1_i1"	-0.64429519968506	"meanmale"	4.34753777262484	"meanfemale"
"TRINITY_DN106700_c0_g1_i1"	-4.61558199278265	"meanmale"	0.933791261146875	"meanfemale"
"TRINITY_DN108200_c0_g1_i1"	-2.82779495163361	"meanmale"	1.36856892161338	"meanfemale"
"TRINITY_DN110034_c0_g2_i1"	-2.24938521133187	"meanmale"	0.0390929301139534	"meanfemale"
"TRINITY_DN114180_c0_g1_i1"	0.302694102086071	"meanmale"	1.52166362350562	"meanfemale"
"TRINITY_DN114651_c0_g1_i3"	2.96613997146082	"meanmale"	4.10813414669685	"meanfemale"
"TRINITY_DN115861_c0_g1_i2"	3.35969433713293	"meanmale"	4.71571078758402	"meanfemale"
"TRINITY_DN116526_c0_g1_i1"	2.55960162643372	"meanmale"	3.66990485407374	"meanfemale"
"TRINITY_DN117634_c0_g2_i1"	-3.34920869705679	"meanmale"	2.05466823996749	"meanfemale"
"TRINITY_DN117838_c2_g1_i2"	-6.19624900177546	"meanmale"	1.52084845808267	"meanfemale"
"TRINITY_DN120797_c1_g2_i1"	-4.72199366419469	"meanmale"	0.767385396287576	"meanfemale"
"TRINITY_DN120835_c1_g3_i1"	-2.55022501299464	"meanmale"	1.51112370050747	"meanfemale"
"TRINITY_DN121659_c3_g3_i2"	2.07296745030722	"meanmale"	4.09432658245346	"meanfemale"
"TRINITY_DN122021_c2_g12_i1"	-3.77127646976036	"meanmale"	0.0586734231666501	"meanfemale"
"TRINITY_DN122048_c0_g1_i1"	-1.99468096815399	"meanmale"	3.14504470306004	"meanfemale"
"TRINITY_DN122389_c1_g3_i1"	3.08790813180359	"meanmale"	4.83314790823554	"meanfemale"
"TRINITY_DN123024_c0_g1_i1"	-0.571762641532605	"meanmale"	3.99402935028872	"meanfemale"
"TRINITY_DN123398_c4_g3_i2"	-3.12025610441891	"meanmale"	2.16520828836773	"meanfemale"
"TRINITY_DN123680_c0_g1_i1"	-1.68062880069664	"meanmale"	1.73173353258931	"meanfemale"
"TRINITY_DN125191_c6_g2_i1"	-0.0309700285506537	"meanmale"	3.05724969663139	"meanfemale"
"TRINITY_DN125863_c4_g1_i1"	-1.31158469980491	"meanmale"	1.27694076690409	"meanfemale"
"TRINITY_DN125999_c6_g3_i1"	-4.48735012279397	"meanmale"	1.31444622491887	"meanfemale"
"TRINITY_DN126027_c5_g2_i1"	-3.92107437206487	"meanmale"	1.03366395932608	"meanfemale"
"TRINITY_DN126126_c1_g3_i1"	-2.32084004669534	"meanmale"	3.35396186352158	"meanfemale"
"TRINITY_DN126288_c0_g1_i3"	-2.10871746298901	"meanmale"	-0.176356262528441	"meanfemale"
"TRINITY_DN126888_c6_g3_i1"	1.47262378213181	"meanmale"	2.67091815159347	"meanfemale"
"TRINITY_DN127374_c0_g3_i1"	-4.6028755803751	"meanmale"	1.58076867879063	"meanfemale"
"TRINITY_DN127522_c0_g1_i1"	2.93256674112235	"meanmale"	4.03055069499113	"meanfemale"
"TRINITY_DN127567_c6_g4_i1"	-3.31358305280817	"meanmale"	2.8402797369318	"meanfemale"
"TRINITY_DN127631_c8_g3_i1"	-1.59874894941028	"meanmale"	3.01844413280148	"meanfemale"
"TRINITY_DN127864_c2_g3_i1"	-1.99309898428616	"meanmale"	1.97873575004194	"meanfemale"
"TRINITY_DN127989_c2_g1_i1"	-2.11683213062406	"meanmale"	2.56025801385527	"meanfemale"
"TRINITY_DN129581_c0_g1_i5"	2.72022775008661	"meanmale"	3.7250398960664	"meanfemale"
"TRINITY_DN130067_c1_g1_i1"	-0.319295819896194	"meanmale"	1.97025912802997	"meanfemale"
"TRINITY_DN130164_c2_g10_i1"	0.34662426149395	"meanmale"	1.52729943611567	"meanfemale"
"TRINITY_DN130680_c2_g1_i1"	-2.66469446836299	"meanmale"	0.385066949237313	"meanfemale"
"TRINITY_DN131251_c3_g6_i1"	-1.84165881022418	"meanmale"	3.06216805266327	"meanfemale"
"TRINITY_DN132431_c2_g3_i1"	-1.15589377945167	"meanmale"	1.76948515609824	"meanfemale"
"TRINITY_DN132667_c0_g6_i1"	2.90352799541342	"meanmale"	4.05105027905229	"meanfemale"
"TRINITY_DN133748_c2_g1_i1"	-3.59919942589928	"meanmale"	0.814880283245596	"meanfemale"
"TRINITY_DN133888_c1_g5_i1"	-2.61157552358544	"meanmale"	2.18604022874394	"meanfemale"
"TRINITY_DN134497_c1_g3_i1"	-4.80519605614987	"meanmale"	1.17057865170194	"meanfemale"
"TRINITY_DN134769_c2_g1_i4"	-0.32226762009515	"meanmale"	5.05590115142596	"meanfemale"
"TRINITY_DN134983_c5_g1_i2"	-2.02679563016132	"meanmale"	3.31607726416204	"meanfemale"
"TRINITY_DN135640_c2_g9_i1"	-4.61064501873211	"meanmale"	2.59111551942656	"meanfemale"
"TRINITY_DN135864_c0_g1_i1"	4.49927652777719	"meanmale"	5.56248033967008	"meanfemale"
"TRINITY_DN135947_c1_g1_i1"	-2.49542299231307	"meanmale"	1.49879086030938	"meanfemale"
"TRINITY_DN139125_c0_g1_i1"	-2.63255135567928	"meanmale"	0.756427824485177	"meanfemale"
"TRINITY_DN154814_c0_g1_i1"	-3.07161399055074	"meanmale"	1.61106806975227	"meanfemale"
"TRINITY_DN177856_c0_g1_i1"	-13.2877123795494	"meanmale"	3.48102272607519	"meanfemale"
"TRINITY_DN211480_c0_g1_i1"	-2.84710323807811	"meanmale"	2.72355754697646	"meanfemale"
"TRINITY_DN22653_c0_g1_i1"	-4.23913811821183	"meanmale"	1.17804098588684	"meanfemale"
"TRINITY_DN25753_c0_g2_i1"	3.1661233704854	"meanmale"	4.4866313052523	"meanfemale"
"TRINITY_DN26128_c0_g1_i1"	-3.69265688954587	"meanmale"	1.93031793849679	"meanfemale"
"TRINITY_DN27351_c0_g1_i1"	-0.281289844269951	"meanmale"	4.56187202123191	"meanfemale"
"TRINITY_DN27358_c0_g2_i1"	-3.56601943890871	"meanmale"	1.79761426844372	"meanfemale"
"TRINITY_DN49280_c0_g1_i1"	-3.8735317334453	"meanmale"	0.867580683649776	"meanfemale"
"TRINITY_DN60182_c0_g2_i1"	-13.2877123795494	"meanmale"	2.48328985974124	"meanfemale"
"TRINITY_DN66610_c0_g1_i1"	-6.38861691176442	"meanmale"	2.18558683625947	"meanfemale"
"TRINITY_DN69144_c0_g1_i1"	-2.46658163860992	"meanmale"	2.23219703280651	"meanfemale"
"TRINITY_DN81880_c0_g2_i1"	-1.20510104647753	"meanmale"	0.576577117267413	"meanfemale"
"TRINITY_DN83284_c0_g2_i1"	-4.55718819029038	"meanmale"	1.33079201832003	"meanfemale"
"TRINITY_DN87264_c0_g1_i1"	-3.74052668281793	"meanmale"	1.06502392881408	"meanfemale"
"TRINITY_DN87722_c1_g1_i1"	-4.31679874834154	"meanmale"	1.32340565156426	"meanfemale"
"TRINITY_DN90220_c0_g1_i1"	-2.38034864103055	"meanmale"	2.596326222205	"meanfemale"
"TRINITY_DN90720_c0_g1_i1"	-0.468724029558319	"meanmale"	4.19722329367201	"meanfemale"
"TRINITY_DN91825_c0_g1_i1"	-0.810484978370948	"meanmale"	3.80887619922682	"meanfemale"
"TRINITY_DN93345_c0_g1_i1"	-2.30755010035397	"meanmale"	2.4098973315467	"meanfemale"
"TRINITY_DN95196_c0_g3_i1"	-2.65173065005366	"meanmale"	1.92169644583805	"meanfemale"
"TRINITY_DN98620_c0_g2_i1"	1.02748680266435	"meanmale"	6.01363959890333	"meanfemale"
"TRINITY_DN98734_c0_g1_i1"	-3.85558312807314	"meanmale"	1.63294408134718	"meanfemale"
