gid	sex	bias
1.460952898	meanmale	female
NA	meanmale	female
NA	meanmale	female
-1.452154783	meanmale	female
0.109647625	meanmale	female
-0.31028941	meanmale	female
-0.387339238	meanmale	female
0.328046307	meanmale	female
0.123857469	meanmale	female
-0.081121428	meanmale	female
5.594141536	meanmale	female
0.432681433	meanmale	female
-0.887967137	meanmale	female
-1.020929578	meanmale	female
1.405327908	meanmale	female
2.138625427	meanmale	female
2.66734598	meanmale	female
-1.261353531	meanmale	female
4.414977818	meanmale	female
NA	meanmale	female
1.671271283	meanmale	female
NA	meanmale	female
-0.107699408	meanmale	female
-2.418463781	meanmale	female
-1.946325184	meanmale	female
NA	meanmale	female
NA	meanmale	female
4.819803697	meanmale	female
NA	meanmale	female
-1.186756387	meanmale	female
4.305216851	meanmale	female
NA	meanmale	female
5.504927127	meanmale	female
NA	meanmale	female
4.020323372	meanmale	female
-2.540941487	meanmale	female
3.605813417	meanmale	female
3.644720994	meanmale	female
-1.351922828	meanmale	female
1.117907201	meanmale	female
NA	meanmale	female
5.576211672	meanmale	female
0.880303723	meanmale	female
5.08841509	meanmale	female
NA	meanmale	female
6.165215684	meanmale	female
-0.380325784	meanmale	female
NA	meanmale	female
2.976540143	meanmale	female
-1.096731737	meanmale	female
0.27032319	meanmale	female
NA	meanmale	female
NA	meanmale	female
NA	meanmale	female
NA	meanmale	female
1.025521343	meanmale	female
-0.855566875	meanmale	female
1.017603446	meanmale	female
-1.989790991	meanmale	female
NA	meanmale	female
5.525540719	meanmale	female
NA	meanmale	female
NA	meanmale	female
-0.520570167	meanmale	female
1.298191252	meanmale	female
3.359770592	meanmale	female
4.981419704	meanmale	female
NA	meanmale	female
0.330134242	meanmale	female
4.294540109	meanmale	female
3.956232754	meanmale	female
2.507224311	meanmale	female
1.880937621	meanmale	female
1.776797732	meanmale	female
NA	meanmale	female
NA	meanmale	female
-0.584309112	meanmale	female
-0.865336376	meanmale	female
2.37190411	meanmale	female
1.864213529	meanmale	female
3.798451628	meanmale	female
1.137233564	meanmale	female
NA	meanmale	female
3.368022976	meanmale	female
NA	meanmale	female
2.422390399	meanmale	female
1.775880623	meanmale	female
4.372243304	meanmale	female
NA	meanmale	female
NA	meanmale	female
NA	meanmale	female
-1.329587788	meanmale	female
2.919915688	meanmale	female
NA	meanmale	female
-1.974599579	meanmale	female
3.915960065	meanmale	female
3.5349363	meanmale	female
3.142916498	meanmale	female
NA	meanmale	female
2.760348621	meanmale	female
-2.272288768	meanmale	female
-1.807928434	meanmale	female
0.959257109	meanmale	female
-3.631799319	meanmale	female
3.326569291	meanmale	female
NA	meanmale	female
-2.954236712	meanmale	female
3.658647853	meanmale	female
-0.55163778	meanmale	female
3.310197193	meanmale	female
-0.306043831	meanmale	female
-1.489234661	meanmale	female
-2.189485384	meanmale	female
4.327014356	meanmale	female
-2.146091841	meanmale	female
5.93920533	meanmale	female
1.649089265	meanmale	female
7.304288149	meanmale	female
1.892049698	meanmale	female
-2.124084628	meanmale	female
-0.015484953	meanmale	female
2.697711981	meanmale	female
NA	meanmale	female
-1.892544262	meanmale	female
0.678292777	meanmale	female
1.629589168	meanmale	female
1.806898108	meanmale	female
2.892945984	meanmale	female
4.708205841	meanmale	female
1.001392417	meanmale	female
3.410137775	meanmale	female
-1.340007279	meanmale	female
4.060095827	meanmale	female
6.235254416	meanmale	female
NA	meanmale	female
6.553030747	meanmale	female
-0.646440015	meanmale	female
1.332270028	meanmale	female
4.13213823	meanmale	female
NA	meanmale	female
2.630925287	meanmale	female
-2.399745082	meanmale	female
3.41855258	meanmale	female
2.152122043	meanmale	female
NA	meanmale	female
0.187869436	meanmale	female
NA	meanmale	female
3.438273018	meanmale	female
NA	meanmale	female
0.184815634	meanmale	female
6.362047403	meanmale	female
2.75764968	meanmale	female
0.153141812	meanmale	female
2.128898942	meanmale	female
0.030599463	meanmale	female
-2.208444309	meanmale	female
-0.858137319	meanmale	female
NA	meanmale	female
4.131348339	meanmale	female
-2.036747979	meanmale	female
-0.271788525	meanmale	female
-2.248340557	meanmale	female
-1.045623136	meanmale	female
NA	meanmale	female
3.4126604	meanmale	female
1.012287057	meanmale	female
0.457215894	meanmale	female
NA	meanmale	female
0.135929697	meanmale	female
1.192036461	meanmale	female
1.229598873	meanmale	female
-0.525123355	meanmale	female
NA	meanmale	female
-1.134153384	meanmale	female
3.058447039	meanmale	female
5.519387392	meanmale	female
NA	meanmale	female
5.670941804	meanmale	female
NA	meanmale	female
2.486767281	meanmale	female
4.556326291	meanmale	female
2.477026941	meanmale	female
NA	meanmale	female
0.57252304	meanmale	female
5.197945529	meanmale	female
