gid	cutoff	bias	log2RPKM	sex
TRINITY_DN100399_c0_g2_i1	FC1	female	0.385464544	meanmale
TRINITY_DN100411_c0_g3_i1	FC1	female	-0.124287998	meanmale
TRINITY_DN100465_c0_g1_i1	FC1	female	-0.090074146	meanmale
TRINITY_DN100550_c0_g2_i1	FC1	female	0.176427721	meanmale
TRINITY_DN100638_c0_g2_i1	FC1	female	5.619378121	meanmale
TRINITY_DN100806_c0_g1_i1	FC1	female	0.557856713	meanmale
TRINITY_DN101042_c0_g2_i1	FC1	female	2.193221154	meanmale
TRINITY_DN101047_c0_g1_i2	FC1	female	2.713254279	meanmale
TRINITY_DN101150_c0_g1_i1	FC1	female	1.755366865	meanmale
TRINITY_DN101193_c0_g1_i1	FC1	female	-2.048147332	meanmale
TRINITY_DN101457_c0_g1_i1	FC1	female	4.864274079	meanmale
TRINITY_DN101542_c0_g1_i1	FC1	female	4.323908659	meanmale
TRINITY_DN101751_c0_g1_i1	FC1	female	5.574264675	meanmale
TRINITY_DN101833_c0_g1_i1	FC1	female	4.149509183	meanmale
TRINITY_DN101903_c0_g1_i1	FC1	female	3.629017636	meanmale
TRINITY_DN101903_c0_g2_i2	FC1	female	3.663787639	meanmale
TRINITY_DN102065_c0_g1_i1	FC1	female	5.608180038	meanmale
TRINITY_DN102108_c0_g1_i1	FC1	female	0.98511572	meanmale
TRINITY_DN102162_c0_g1_i1	FC1	female	5.118951955	meanmale
TRINITY_DN102365_c0_g1_i1	FC1	female	6.215904268	meanmale
TRINITY_DN102370_c0_g1_i1	FC1	female	0.32655474	meanmale
TRINITY_DN102559_c0_g2_i1	FC1	female	3.026584499	meanmale
TRINITY_DN102903_c0_g1_i1	FC1	female	1.071400175	meanmale
TRINITY_DN102931_c0_g1_i1	FC1	female	-0.431278809	meanmale
TRINITY_DN102931_c0_g2_i1	FC1	female	1.207596627	meanmale
TRINITY_DN103196_c0_g1_i2	FC1	female	5.566262711	meanmale
TRINITY_DN103424_c0_g1_i1	FC1	female	-0.328598213	meanmale
TRINITY_DN103526_c0_g1_i1	FC1	female	1.428681741	meanmale
TRINITY_DN103537_c0_g1_i1	FC1	female	3.397551285	meanmale
TRINITY_DN103565_c0_g1_i1	FC1	female	5.017567287	meanmale
TRINITY_DN103567_c0_g1_i1	FC1	female	4.303337379	meanmale
TRINITY_DN103621_c0_g1_i2	FC1	female	4.142209818	meanmale
TRINITY_DN103622_c0_g3_i3	FC1	female	2.532985307	meanmale
TRINITY_DN103637_c0_g1_i1	FC1	female	1.909526442	meanmale
TRINITY_DN103704_c0_g1_i1	FC1	female	-0.662880839	meanmale
TRINITY_DN103783_c0_g1_i1	FC1	female	3.875400638	meanmale
TRINITY_DN103834_c0_g11_i1	FC1	female	3.497760289	meanmale
TRINITY_DN103834_c0_g1_i1	FC1	female	-0.213665223	meanmale
TRINITY_DN103834_c0_g3_i1	FC1	female	2.570309797	meanmale
TRINITY_DN103882_c0_g1_i1	FC1	female	4.434360744	meanmale
TRINITY_DN103905_c0_g1_i1	FC1	female	-1.11929275	meanmale
TRINITY_DN103912_c0_g1_i1	FC1	female	3.002712669	meanmale
TRINITY_DN104125_c0_g2_i1	FC1	female	-0.903785542	meanmale
TRINITY_DN104337_c0_g1_i1	FC1	female	3.964537245	meanmale
TRINITY_DN104354_c0_g1_i5	FC1	female	3.59256166	meanmale
TRINITY_DN104356_c0_g1_i3	FC1	female	3.180093526	meanmale
TRINITY_DN104428_c0_g1_i2	FC1	female	2.810526754	meanmale
TRINITY_DN104434_c0_g1_i1	FC1	female	-2.135374728	meanmale
TRINITY_DN104434_c0_g2_i1	FC1	female	-1.683622228	meanmale
TRINITY_DN104550_c0_g2_i1	FC1	female	3.36942634	meanmale
TRINITY_DN104666_c0_g2_i1	FC1	female	-2.343104385	meanmale
TRINITY_DN104740_c0_g1_i2	FC1	female	3.672270407	meanmale
TRINITY_DN104749_c0_g1_i1	FC1	female	-0.35268431	meanmale
TRINITY_DN104751_c0_g1_i2	FC1	female	3.3224915	meanmale
TRINITY_DN104838_c0_g1_i1	FC1	female	-0.285326091	meanmale
TRINITY_DN105030_c0_g1_i1	FC1	female	-1.69322421	meanmale
TRINITY_DN105215_c0_g1_i1	FC1	female	4.369941877	meanmale
TRINITY_DN105413_c0_g1_i1	FC1	female	5.994391913	meanmale
TRINITY_DN105440_c0_g1_i1	FC1	female	1.683780048	meanmale
TRINITY_DN105453_c0_g1_i1	FC1	female	7.320545769	meanmale
TRINITY_DN105455_c0_g3_i1	FC1	female	1.935857423	meanmale
TRINITY_DN105578_c0_g1_i1	FC1	female	0.129981464	meanmale
TRINITY_DN105777_c1_g1_i1	FC1	female	1.766092209	meanmale
TRINITY_DN105826_c0_g1_i2	FC1	female	1.989579438	meanmale
TRINITY_DN105850_c0_g2_i1	FC1	female	2.916193857	meanmale
TRINITY_DN105886_c0_g1_i2	FC1	female	4.729188973	meanmale
TRINITY_DN105940_c0_g1_i2	FC1	female	1.109284635	meanmale
TRINITY_DN105941_c0_g1_i1	FC1	female	3.496495173	meanmale
