log2RPKM	Sex	Bias
2.90081626925	"meanmale"	"female"
3.5882298895	"meanmale"	"female"
NA	"meanmale"	"female"
2.81254329125	"meanmale"	"female"
NA	"meanmale"	"female"
NA	"meanmale"	"female"
-0.78607359325	"meanmale"	"female"
NA	"meanmale"	"female"
NA	"meanmale"	"female"
-0.040686091	"meanmale"	"female"
0.8551852755	"meanmale"	"female"
NA	"meanmale"	"female"
NA	"meanmale"	"female"
2.44232093925	"meanmale"	"female"
-0.4402535875	"meanmale"	"female"
0.212430544	"meanmale"	"female"
-0.360387707	"meanmale"	"female"
NA	"meanmale"	"female"
-0.54212249875	"meanmale"	"female"
-0.7455716985	"meanmale"	"female"
2.4925573165	"meanmale"	"female"
NA	"meanmale"	"female"
NA	"meanmale"	"female"
-1.11653068375	"meanmale"	"female"
0.55028522925	"meanmale"	"female"
-0.28225281675	"meanmale"	"female"
NA	"meanmale"	"female"
-0.0754599205	"meanmale"	"female"
0.95621843725	"meanmale"	"female"
NA	"meanmale"	"female"
3.22142169425	"meanmale"	"female"
-0.770169538	"meanmale"	"female"
2.98775791875	"meanmale"	"female"
0.44706719525	"meanmale"	"female"
2.26702613625	"meanmale"	"female"
1.451723147	"meanmale"	"female"
6.65180838	"meanmale"	"female"
3.95606805675	"meanmale"	"female"
NA	"meanmale"	"female"
-1.33539005	"meanmale"	"female"
-0.3551575225	"meanmale"	"female"
2.10402704675	"meanmale"	"female"
1.9457282975	"meanmale"	"female"
NA	"meanmale"	"female"
NA	"meanmale"	"female"
NA	"meanmale"	"female"
-1.2020484545	"meanmale"	"female"
2.6295024255	"meanmale"	"female"
NA	"meanmale"	"female"
NA	"meanmale"	"female"
2.7745325695	"meanmale"	"female"
-1.438025487	"meanmale"	"female"
0.21057297075	"meanmale"	"female"
1.22029548025	"meanmale"	"female"
1.54533493775	"meanmale"	"female"
2.97183768925	"meanmale"	"female"
NA	"meanmale"	"female"
0.81451308325	"meanmale"	"female"
1.068494116	"meanmale"	"female"
5.3396068135	"meanmale"	"female"
NA	"meanmale"	"female"
1.19346686375	"meanmale"	"female"
-2.11237747775	"meanmale"	"female"
NA	"meanmale"	"female"
-0.54241150075	"meanmale"	"female"
-0.1258420365	"meanmale"	"female"
-1.2469396465	"meanmale"	"female"
-1.02196298325	"meanmale"	"female"
-0.1082810775	"meanmale"	"female"
3.250068584	"meanmale"	"female"
-1.60731318275	"meanmale"	"female"
NA	"meanmale"	"female"
