gid	meanXX	group2	sex	cutoff
TRINITY_DN177856_c0_g1_i1	3.481022726	meanfemale	female	FC7
TRINITY_DN60182_c0_g2_i1	2.48328986	meanfemale	female	FC7
TRINITY_DN66610_c0_g1_i1	2.185586836	meanfemale	female	FC7
TRINITY_DN117838_c2_g1_i2	1.520848458	meanfemale	female	FC7
TRINITY_DN135640_c2_g9_i1	2.591115519	meanfemale	female	FC7
TRINITY_DN127567_c6_g4_i1	2.840279737	meanfemale	female	FC5
TRINITY_DN127374_c0_g3_i1	1.580768679	meanfemale	female	FC5
TRINITY_DN134497_c1_g3_i1	1.170578652	meanfemale	female	FC5
TRINITY_DN125999_c6_g3_i1	1.314446225	meanfemale	female	FC5
TRINITY_DN126126_c1_g3_i1	3.353961864	meanfemale	female	FC5
TRINITY_DN83284_c0_g2_i1	1.330792018	meanfemale	female	FC5
TRINITY_DN87722_c1_g1_i1	1.323405652	meanfemale	female	FC5
TRINITY_DN26128_c0_g1_i1	1.930317938	meanfemale	female	FC5
TRINITY_DN98734_c0_g1_i1	1.632944081	meanfemale	female	FC5
TRINITY_DN106700_c0_g1_i1	0.933791261	meanfemale	female	FC5
TRINITY_DN211480_c0_g1_i1	2.723557547	meanfemale	female	FC5
TRINITY_DN134769_c2_g1_i4	5.055901151	meanfemale	female	FC5
TRINITY_DN117634_c0_g2_i1	2.05466824	meanfemale	female	FC5
TRINITY_DN120797_c1_g2_i1	0.767385396	meanfemale	female	FC5
TRINITY_DN134983_c5_g1_i2	3.316077264	meanfemale	female	FC5
TRINITY_DN22653_c0_g1_i1	1.178040986	meanfemale	female	FC5
TRINITY_DN123398_c4_g3_i2	2.165208288	meanfemale	female	FC5
TRINITY_DN27358_c0_g2_i1	1.797614268	meanfemale	female	FC5
TRINITY_DN100108_c0_g1_i1	4.851854103	meanfemale	female	FC5
TRINITY_DN122048_c0_g1_i1	3.145044703	meanfemale	female	FC5
TRINITY_DN106674_c0_g1_i1	4.347537773	meanfemale	female	FC3
TRINITY_DN98620_c0_g2_i1	6.013639599	meanfemale	female	FC3
TRINITY_DN90220_c0_g1_i1	2.596326222	meanfemale	female	FC3
TRINITY_DN126027_c5_g2_i1	1.033663959	meanfemale	female	FC3
TRINITY_DN131251_c3_g6_i1	3.062168053	meanfemale	female	FC3
TRINITY_DN27351_c0_g1_i1	4.561872021	meanfemale	female	FC3
TRINITY_DN100360_c0_g1_i1	2.26282756	meanfemale	female	FC3
TRINITY_DN133888_c1_g5_i1	2.186040229	meanfemale	female	FC3
TRINITY_DN87264_c0_g1_i1	1.065023929	meanfemale	female	FC3
TRINITY_DN93345_c0_g1_i1	2.409897332	meanfemale	female	FC3
TRINITY_DN69144_c0_g1_i1	2.232197033	meanfemale	female	FC3
TRINITY_DN90720_c0_g1_i1	4.197223294	meanfemale	female	FC3
TRINITY_DN154814_c0_g1_i1	1.61106807	meanfemale	female	FC3
TRINITY_DN127631_c8_g3_i1	3.018444133	meanfemale	female	FC3
TRINITY_DN91825_c0_g1_i1	3.808876199	meanfemale	female	FC3
TRINITY_DN127989_c2_g1_i1	2.560258014	meanfemale	female	FC3
TRINITY_DN49280_c0_g1_i1	0.867580684	meanfemale	female	FC3
TRINITY_DN123024_c0_g1_i1	3.99402935	meanfemale	female	FC3
TRINITY_DN95196_c0_g3_i1	1.921696446	meanfemale	female	FC3
TRINITY_DN133748_c2_g1_i1	0.814880283	meanfemale	female	FC3
TRINITY_DN108200_c0_g1_i1	1.368568922	meanfemale	female	FC3
TRINITY_DN120835_c1_g3_i1	1.511123701	meanfemale	female	FC3
TRINITY_DN127864_c2_g3_i1	1.97873575	meanfemale	female	FC3
TRINITY_DN135947_c1_g1_i1	1.49879086	meanfemale	female	FC3
TRINITY_DN122021_c2_g12_i1	0.058673423	meanfemale	female	FC3
TRINITY_DN123680_c0_g1_i1	1.731733533	meanfemale	female	FC3
TRINITY_DN139125_c0_g1_i1	0.756427824	meanfemale	female	FC3
TRINITY_DN125191_c6_g2_i1	3.057249697	meanfemale	female	FC3
TRINITY_DN130680_c2_g1_i1	0.385066949	meanfemale	female	FC3
TRINITY_DN132431_c2_g3_i1	1.769485156	meanfemale	female	FC1
TRINITY_DN125863_c4_g1_i1	1.276940767	meanfemale	female	FC1
TRINITY_DN130067_c1_g1_i1	1.970259128	meanfemale	female	FC1
TRINITY_DN110034_c0_g2_i1	0.03909293	meanfemale	female	FC1
TRINITY_DN121659_c3_g3_i2	4.094326582	meanfemale	female	FC1
TRINITY_DN126288_c0_g1_i3	-0.176356263	meanfemale	female	FC1
TRINITY_DN81880_c0_g2_i1	0.576577117	meanfemale	female	FC1
TRINITY_DN122389_c1_g3_i1	4.833147908	meanfemale	female	FC1
TRINITY_DN115861_c0_g1_i2	4.715710788	meanfemale	female	FC1
TRINITY_DN25753_c0_g2_i1	4.486631305	meanfemale	female	FC1
TRINITY_DN114180_c0_g1_i1	1.521663624	meanfemale	female	FC1
TRINITY_DN126888_c6_g3_i1	2.670918152	meanfemale	female	FC1
TRINITY_DN130164_c2_g10_i1	1.527299436	meanfemale	female	FC1
TRINITY_DN132667_c0_g6_i1	4.051050279	meanfemale	female	FC1
TRINITY_DN114651_c0_g1_i3	4.108134147	meanfemale	female	FC1
TRINITY_DN116526_c0_g1_i1	3.669904854	meanfemale	female	FC1
TRINITY_DN127522_c0_g1_i1	4.030550695	meanfemale	female	FC1
TRINITY_DN135864_c0_g1_i1	5.56248034	meanfemale	female	FC1
TRINITY_DN129581_c0_g1_i5	3.725039896	meanfemale	female	FC1
