gid	cutoff	bias	log2RPKM	sex
TRINITY_DN100399_c0_g2_i1	1	female	0.385354097	meanmale
TRINITY_DN100550_c0_g2_i1	1	female	0.176300052	meanmale
TRINITY_DN100638_c0_g2_i1	1	female	5.619375187	meanmale
TRINITY_DN100806_c0_g1_i1	1	female	0.557758706	meanmale
TRINITY_DN101035_c0_g3_i1	3	female	1.611709029	meanmale
TRINITY_DN101042_c0_g2_i1	1	female	2.193189607	meanmale
TRINITY_DN101047_c0_g1_i2	1	female	2.71323228	meanmale
TRINITY_DN101072_c0_g2_i2	5	female	4.470336386	meanmale
TRINITY_DN101150_c0_g1_i1	1	female	1.755324132	meanmale
TRINITY_DN101457_c0_g1_i1	1	female	4.864269126	meanmale
TRINITY_DN101542_c0_g1_i1	1	female	4.323901455	meanmale
TRINITY_DN101751_c0_g1_i1	1	female	5.574261647	meanmale
TRINITY_DN101833_c0_g1_i1	1	female	4.149501054	meanmale
TRINITY_DN101903_c0_g1_i1	1	female	3.629005976	meanmale
TRINITY_DN101903_c0_g2_i2	1	female	3.663776255	meanmale
TRINITY_DN102065_c0_g1_i1	1	female	5.60817708	meanmale
TRINITY_DN102108_c0_g1_i1	1	female	0.985042836	meanmale
TRINITY_DN102162_c0_g1_i1	1	female	5.118947803	meanmale
TRINITY_DN102365_c0_g1_i1	1	female	6.215902327	meanmale
TRINITY_DN102370_c0_g1_i1	1	female	0.32643969	meanmale
TRINITY_DN102559_c0_g2_i1	1	female	3.026566794	meanmale
TRINITY_DN102903_c0_g1_i1	1	female	1.071331522	meanmale
TRINITY_DN102931_c0_g2_i1	1	female	1.207534158	meanmale
TRINITY_DN103196_c0_g1_i2	1	female	5.566259666	meanmale
TRINITY_DN103526_c0_g1_i1	1	female	1.428628148	meanmale
TRINITY_DN103537_c0_g1_i1	1	female	3.397537595	meanmale
TRINITY_DN103565_c0_g1_i1	1	female	5.017562833	meanmale
TRINITY_DN103565_c0_g4_i1	3	female	0.371823941	meanmale
TRINITY_DN103567_c0_g1_i1	1	female	4.303330072	meanmale
TRINITY_DN103621_c0_g1_i2	1	female	4.142201648	meanmale
TRINITY_DN103622_c0_g3_i3	1	female	2.53296038	meanmale
TRINITY_DN103637_c0_g1_i1	1	female	1.90948804	meanmale
TRINITY_DN103637_c0_g2_i1	3	female	2.023344773	meanmale
TRINITY_DN103679_c0_g1_i1	3	female	0.31134437	meanmale
TRINITY_DN103783_c0_g1_i1	1	female	3.875390807	meanmale
TRINITY_DN103798_c0_g1_i1	7	female	1.486305636	meanmale
TRINITY_DN103834_c0_g11_i1	1	female	3.497747517	meanmale
TRINITY_DN103834_c0_g3_i1	1	female	2.570285506	meanmale
TRINITY_DN103838_c0_g1_i1	5	female	1.79592486	meanmale
TRINITY_DN103882_c0_g1_i1	1	female	4.434354071	meanmale
TRINITY_DN103912_c0_g1_i1	1	female	3.002694669	meanmale
TRINITY_DN104337_c0_g1_i1	1	female	3.964528004	meanmale
TRINITY_DN104354_c0_g1_i5	1	female	3.592549701	meanmale
TRINITY_DN104356_c0_g1_i3	1	female	3.180077608	meanmale
TRINITY_DN104428_c0_g1_i2	1	female	2.810506189	meanmale
TRINITY_DN104441_c0_g2_i1	3	female	1.316998697	meanmale
TRINITY_DN104550_c0_g2_i1	1	female	3.369412381	meanmale
TRINITY_DN104740_c0_g1_i2	1	female	3.672259091	meanmale
TRINITY_DN104751_c0_g1_i2	1	female	3.322477078	meanmale
TRINITY_DN105215_c0_g1_i1	1	female	4.369934899	meanmale
TRINITY_DN105413_c0_g1_i1	1	female	5.99438965	meanmale
TRINITY_DN105440_c0_g1_i1	1	female	1.683735141	meanmale
TRINITY_DN105453_c0_g1_i1	1	female	7.320544866	meanmale
TRINITY_DN105455_c0_g3_i1	1	female	1.935819715	meanmale
TRINITY_DN105578_c0_g1_i1	1	female	0.129849618	meanmale
TRINITY_DN105601_c0_g1_i1	3	female	2.718589089	meanmale
TRINITY_DN105777_c1_g1_i1	1	female	1.766049793	meanmale
TRINITY_DN105826_c0_g1_i2	1	female	1.989543109	meanmale
TRINITY_DN105850_c0_g2_i1	1	female	2.916174745	meanmale
