gid	log2RPKM	sex	cutoff
TRINITY_DN142998_c0_g1_i1	-13.28771238	meanmale	FC7
TRINITY_DN27005_c0_g1_i1	-13.28771238	meanmale	FC7
TRINITY_DN126082_c1_g2_i1	-13.28771238	meanmale	FC7
TRINITY_DN109500_c0_g4_i1	-13.28771238	meanmale	FC7
TRINITY_DN167774_c0_g1_i1	-1.598676199	meanmale	FC7
TRINITY_DN113022_c0_g1_i1	-13.28771238	meanmale	FC7
TRINITY_DN130085_c0_g4_i1	1.148654532	meanmale	FC7
TRINITY_DN107602_c0_g1_i1	2.494155958	meanmale	FC7
TRINITY_DN70872_c0_g1_i1	-13.28771238	meanmale	FC7
TRINITY_DN179282_c0_g1_i1	-0.295227608	meanmale	FC7
TRINITY_DN130269_c0_g1_i1	-13.28771238	meanmale	FC7
TRINITY_DN133632_c2_g7_i15	-1.69130091	meanmale	FC7
TRINITY_DN123727_c4_g1_i1	-13.28771238	meanmale	FC7
TRINITY_DN120303_c3_g1_i1	2.023893444	meanmale	FC5
TRINITY_DN134368_c1_g3_i1	-3.360098137	meanmale	FC5
TRINITY_DN107602_c0_g3_i1	4.564100159	meanmale	FC5
TRINITY_DN37225_c0_g2_i1	3.584542126	meanmale	FC5
TRINITY_DN127561_c4_g3_i1	-0.143757103	meanmale	FC5
TRINITY_DN120299_c0_g3_i2	-6.27402533	meanmale	FC5
TRINITY_DN119520_c3_g2_i4	-1.069567209	meanmale	FC5
TRINITY_DN133632_c2_g4_i3	-0.730951653	meanmale	FC5
TRINITY_DN118022_c0_g1_i1	-4.075765892	meanmale	FC5
TRINITY_DN6127_c0_g1_i1	2.020338313	meanmale	FC5
TRINITY_DN126472_c1_g2_i1	-5.941949176	meanmale	FC5
TRINITY_DN128394_c4_g1_i3	-2.230212093	meanmale	FC5
TRINITY_DN96380_c0_g1_i1	-0.397688585	meanmale	FC5
TRINITY_DN128592_c11_g1_i1	0.249218663	meanmale	FC5
TRINITY_DN122454_c0_g2_i2	-3.701564834	meanmale	FC5
TRINITY_DN128124_c11_g2_i3	-0.479452205	meanmale	FC5
TRINITY_DN130085_c0_g1_i1	0.778367205	meanmale	FC5
TRINITY_DN128148_c0_g18_i1	-2.475105078	meanmale	FC3
TRINITY_DN134935_c0_g2_i1	-7.284431502	meanmale	FC3
TRINITY_DN121385_c0_g3_i3	-2.859077639	meanmale	FC3
TRINITY_DN19764_c0_g1_i1	3.04570207	meanmale	FC3
TRINITY_DN105647_c0_g2_i1	-4.438275454	meanmale	FC3
TRINITY_DN121200_c0_g1_i1	-5.901034839	meanmale	FC3
TRINITY_DN132254_c0_g1_i1	-5.399908634	meanmale	FC3
TRINITY_DN107602_c0_g2_i1	6.999725077	meanmale	FC3
TRINITY_DN96380_c0_g3_i1	-0.36604571	meanmale	FC3
TRINITY_DN124875_c1_g1_i1	-4.3713799	meanmale	FC3
TRINITY_DN136095_c7_g1_i1	-0.783995528	meanmale	FC3
TRINITY_DN9176_c0_g1_i1	-2.578240567	meanmale	FC3
TRINITY_DN127692_c0_g3_i1	-3.892451048	meanmale	FC3
TRINITY_DN124267_c8_g1_i2	-0.268775919	meanmale	FC3
TRINITY_DN136702_c5_g1_i1	1.389231806	meanmale	FC3
TRINITY_DN131692_c0_g2_i1	0.215014352	meanmale	FC3
TRINITY_DN130203_c1_g4_i1	-1.028406071	meanmale	FC3
TRINITY_DN121545_c0_g4_i1	-2.237602338	meanmale	FC3
TRINITY_DN126527_c2_g2_i1	-1.15860918	meanmale	FC3
TRINITY_DN102016_c0_g3_i1	-3.650018966	meanmale	FC3
TRINITY_DN122533_c0_g1_i1	0.821543415	meanmale	FC3
TRINITY_DN136702_c5_g3_i1	-0.075120536	meanmale	FC3
TRINITY_DN120478_c0_g1_i1	-0.770566631	meanmale	FC3
TRINITY_DN129651_c0_g4_i5	-2.925354093	meanmale	FC3
TRINITY_DN153705_c0_g1_i1	-2.368432071	meanmale	FC3
TRINITY_DN118888_c0_g1_i2	-2.638501586	meanmale	FC3
TRINITY_DN133894_c0_g1_i1	-6.599392508	meanmale	FC3
TRINITY_DN129827_c5_g2_i1	0.160395918	meanmale	FC3
TRINITY_DN182627_c0_g1_i1	-1.673507233	meanmale	FC3
TRINITY_DN134475_c3_g2_i1	-1.836665881	meanmale	FC3
TRINITY_DN119925_c1_g1_i1	-1.403529427	meanmale	FC3
TRINITY_DN126137_c6_g9_i1	-1.545607304	meanmale	FC3
TRINITY_DN120303_c0_g4_i1	-1.453910199	meanmale	FC3
TRINITY_DN120435_c1_g1_i1	-2.097459689	meanmale	FC3
TRINITY_DN97635_c0_g1_i5	-0.32503286	meanmale	FC3
TRINITY_DN110205_c0_g1_i1	1.373077067	meanmale	FC3
TRINITY_DN126361_c2_g2_i3	-2.529965691	meanmale	FC3
TRINITY_DN96058_c0_g1_i3	-0.120526905	meanmale	FC3
TRINITY_DN133419_c0_g1_i1	-4.073499582	meanmale	FC1
TRINITY_DN106055_c0_g2_i1	-0.44665184	meanmale	FC1
TRINITY_DN114670_c0_g1_i1	-2.162750389	meanmale	FC1
TRINITY_DN134442_c2_g1_i1	-1.55213492	meanmale	FC1
TRINITY_DN117740_c0_g1_i2	-2.535697898	meanmale	FC1
