gid	log2RPKM	sex	bias
TRINITY_DN100022_c0_g1_i1	3.525848763	meanmale	unbias
TRINITY_DN100034_c0_g1_i1	3.971010734	meanmale	unbias
TRINITY_DN100083_c0_g4_i1	0.123445322	meanmale	unbias
TRINITY_DN100099_c0_g1_i1	2.560961907	meanmale	unbias
TRINITY_DN100099_c0_g2_i1	3.161400676	meanmale	unbias
TRINITY_DN100105_c0_g1_i1	2.272585649	meanmale	unbias
TRINITY_DN100107_c0_g1_i1	2.016281377	meanmale	unbias
TRINITY_DN100115_c0_g1_i1	1.36241802	meanmale	unbias
TRINITY_DN100192_c0_g1_i2	0.955694196	meanmale	unbias
TRINITY_DN100194_c0_g1_i1	0.67333592	meanmale	unbias
TRINITY_DN100194_c1_g2_i1	0.720960324	meanmale	unbias
TRINITY_DN100230_c0_g1_i1	2.558548733	meanmale	unbias
TRINITY_DN100252_c0_g7_i1	0.83551717	meanmale	unbias
TRINITY_DN100260_c0_g2_i1	5.685931208	meanmale	unbias
TRINITY_DN100266_c0_g1_i1	2.840076074	meanmale	unbias
TRINITY_DN100287_c0_g1_i1	3.292776497	meanmale	unbias
TRINITY_DN100287_c0_g2_i1	4.65262362	meanmale	unbias
TRINITY_DN100348_c0_g1_i1	1.092002911	meanmale	unbias
TRINITY_DN100358_c0_g1_i1	1.438650375	meanmale	unbias
TRINITY_DN100410_c0_g1_i1	2.57898392	meanmale	unbias
TRINITY_DN100411_c0_g3_i1	0.797754365	meanmale	unbias
TRINITY_DN100435_c0_g1_i1	0.545598232	meanmale	unbias
TRINITY_DN100514_c0_g1_i1	1.382843639	meanmale	unbias
TRINITY_DN100549_c0_g1_i1	4.073834095	meanmale	unbias
TRINITY_DN100595_c0_g1_i1	7.87477772	meanmale	unbias
TRINITY_DN100617_c0_g1_i1	2.554023781	meanmale	unbias
TRINITY_DN100636_c0_g1_i1	1.570954987	meanmale	unbias
TRINITY_DN100637_c0_g1_i1	1.525207749	meanmale	unbias
TRINITY_DN100638_c0_g2_i1	5.647524486	meanmale	unbias
TRINITY_DN100681_c0_g1_i1	7.589153445	meanmale	unbias
TRINITY_DN100684_c0_g1_i1	4.781319472	meanmale	unbias
TRINITY_DN100684_c0_g3_i1	5.282023931	meanmale	unbias
TRINITY_DN100706_c0_g3_i1	4.27226958	meanmale	unbias
TRINITY_DN100730_c0_g1_i1	1.993947833	meanmale	unbias
TRINITY_DN100751_c0_g1_i1	1.901663968	meanmale	unbias
TRINITY_DN100754_c0_g1_i1	1.496654758	meanmale	unbias
TRINITY_DN100779_c0_g1_i1	2.802815561	meanmale	unbias
TRINITY_DN100788_c0_g1_i1	1.602456924	meanmale	unbias
TRINITY_DN100789_c0_g1_i1	1.366292894	meanmale	unbias
TRINITY_DN100822_c0_g1_i1	1.214608611	meanmale	unbias
TRINITY_DN100827_c0_g1_i1	0.532530616	meanmale	unbias
TRINITY_DN100835_c0_g1_i1	0.600697903	meanmale	unbias
TRINITY_DN100852_c0_g1_i1	2.563601631	meanmale	unbias
TRINITY_DN100856_c0_g1_i1	3.616785763	meanmale	unbias
TRINITY_DN100856_c0_g2_i1	3.024657593	meanmale	unbias
TRINITY_DN100882_c0_g1_i1	6.022334162	meanmale	unbias
TRINITY_DN100915_c0_g2_i1	0.424970884	meanmale	unbias
TRINITY_DN100932_c0_g1_i1	0.899780555	meanmale	unbias
TRINITY_DN100963_c0_g1_i1	1.333266602	meanmale	unbias
TRINITY_DN100998_c0_g1_i1	3.620421729	meanmale	unbias
TRINITY_DN101035_c0_g3_i1	2.325398448	meanmale	unbias
TRINITY_DN101038_c0_g1_i1	0.832236679	meanmale	unbias
TRINITY_DN101042_c0_g2_i1	1.860737086	meanmale	unbias
TRINITY_DN101047_c0_g1_i2	1.464300785	meanmale	unbias
TRINITY_DN101055_c0_g2_i1	2.464369722	meanmale	unbias
TRINITY_DN101070_c0_g2_i1	1.086402569	meanmale	unbias
TRINITY_DN101074_c0_g1_i1	2.144702154	meanmale	unbias
TRINITY_DN101087_c0_g1_i1	4.500474746	meanmale	unbias
TRINITY_DN101111_c0_g1_i2	2.851430768	meanmale	unbias
TRINITY_DN101115_c0_g1_i2	0.703790141	meanmale	unbias
TRINITY_DN101145_c0_g1_i1	1.176453976	meanmale	unbias
TRINITY_DN101150_c0_g1_i1	1.286066498	meanmale	unbias
TRINITY_DN101150_c0_g2_i1	0.631376317	meanmale	unbias
TRINITY_DN101169_c0_g1_i2	1.757323184	meanmale	unbias
TRINITY_DN101175_c0_g1_i1	0.987621306	meanmale	unbias
TRINITY_DN101211_c0_g2_i1	1.166559459	meanmale	unbias
TRINITY_DN101211_c0_g3_i1	1.223440319	meanmale	unbias
TRINITY_DN101217_c0_g1_i1	1.050255136	meanmale	unbias
TRINITY_DN101232_c0_g1_i1	6.135452598	meanmale	unbias
TRINITY_DN101244_c0_g1_i1	1.370427472	meanmale	unbias
TRINITY_DN101247_c0_g3_i1	1.491188569	meanmale	unbias
TRINITY_DN101269_c0_g1_i5	0.675190932	meanmale	unbias
TRINITY_DN101269_c0_g2_i1	3.343425937	meanmale	unbias
TRINITY_DN101292_c0_g1_i3	4.31011344	meanmale	unbias
TRINITY_DN101294_c0_g1_i1	3.202924439	meanmale	unbias
TRINITY_DN101332_c0_g1_i1	3.084861994	meanmale	unbias
TRINITY_DN101356_c0_g1_i1	0.802079186	meanmale	unbias
TRINITY_DN101361_c0_g1_i2	2.32848552	meanmale	unbias
TRINITY_DN101409_c0_g1_i1	1.991333818	meanmale	unbias
TRINITY_DN101432_c0_g2_i1	2.126364466	meanmale	unbias
TRINITY_DN101437_c0_g1_i1	5.43251357	meanmale	unbias
TRINITY_DN101457_c0_g1_i1	4.08988794	meanmale	unbias
TRINITY_DN101472_c0_g1_i1	3.528668281	meanmale	unbias
TRINITY_DN101477_c0_g1_i2	0.179907357	meanmale	unbias
TRINITY_DN101481_c0_g1_i2	2.053273275	meanmale	unbias
TRINITY_DN101483_c0_g2_i1	1.593770822	meanmale	unbias
TRINITY_DN101488_c0_g2_i2	5.303734079	meanmale	unbias
TRINITY_DN101510_c0_g2_i1	2.314960121	meanmale	unbias
TRINITY_DN101511_c0_g2_i1	2.116863558	meanmale	unbias
TRINITY_DN101511_c1_g1_i1	3.128848642	meanmale	unbias
TRINITY_DN101537_c1_g1_i2	1.571255497	meanmale	unbias
TRINITY_DN101542_c0_g1_i1	3.311336955	meanmale	unbias
TRINITY_DN101555_c2_g1_i2	0.982941374	meanmale	unbias
TRINITY_DN101558_c0_g1_i1	3.627989956	meanmale	unbias
TRINITY_DN101562_c0_g2_i1	3.29052285	meanmale	unbias
TRINITY_DN101606_c0_g1_i1	0.876169486	meanmale	unbias
TRINITY_DN101610_c0_g2_i1	6.208373498	meanmale	unbias
TRINITY_DN101611_c0_g3_i1	0.428992261	meanmale	unbias
TRINITY_DN101627_c0_g2_i1	1.490325385	meanmale	unbias
TRINITY_DN101627_c0_g3_i1	1.738093606	meanmale	unbias
