
sample	pop	stage	sex	group
"Am1_434"	"Am"	"43"	"M"	"Am_43_M"
"Am2_231"	"Am"	"23"	"F"	"Am_23_F"
"Am2_233"	"Am"	"23"	"M"	"Am_23_M"
"Am2_274"	"Am"	"27"	"F"	"Am_27_F"
"Am2_275"	"Am"	"27"	"M"	"Am_27_M"
"Am2_314"	"Am"	"31"	"F"	"Am_31_F"
"Am2_315"	"Am"	"31"	"M"	"Am_31_M"
"Am2_316"	"Am"	"31"	"M"	"Am_31_M"
"Am2_318"	"Am"	"31"	"F"	"Am_31_F"
"Am2_433"	"Am"	"43"	"F"	"Am_43_F"
"Am2_434"	"Am"	"43"	"M"	"Am_43_M"
"Am2_463"	"Am"	"46"	"M"	"Am_46_M"
"Am2_464"	"Am"	"46"	"F"	"Am_46_F"
"Am4_231"	"Am"	"23"	"M"	"Am_23_M"
"Am4_232"	"Am"	"23"	"F"	"Am_23_F"
"Am4_271"	"Am"	"27"	"F"	"Am_27_F"
"Am4_272"	"Am"	"27"	"M"	"Am_27_M"
"Am4_314"	"Am"	"31"	"F"	"Am_31_F"
"Am4_317"	"Am"	"31"	"M"	"Am_31_M"
"Am4_434"	"Am"	"43"	"M"	"Am_43_M"
"Am4_435"	"Am"	"43"	"F"	"Am_43_F"
"Am4_461"	"Am"	"46"	"M"	"Am_46_M"
"Am5_231"	"Am"	"23"	"M"	"Am_23_M"
"Am5_232"	"Am"	"23"	"F"	"Am_23_F"
"Am5_273"	"Am"	"27"	"F"	"Am_27_F"
"Am5_274"	"Am"	"27"	"M"	"Am_27_M"
"Am5_311"	"Am"	"31"	"F"	"Am_31_F"
"Am5_312"	"Am"	"31"	"M"	"Am_31_M"
"Am5_313"	"Am"	"31"	"M"	"Am_31_M"
"Am5_433"	"Am"	"43"	"F"	"Am_43_F"
"Am5_461"	"Am"	"46"	“SR”	"Am_46_SR”
"Am6_462"	"Am"	"46"	"M"	"Am_46_M"
"Am6_464"	"Am"	"46"	"F"	"Am_46_F"
