GO category	GO	Term	Annotated	Significant	Expected	topGO (Fisher)	classic (Fisher)
BP	GO:0052696	flavonoid glucuronidation	7	2	0.05	0.00085	0.00085
BP	GO:0052697	xenobiotic glucuronidation	7	2	0.05	0.00085	0.00085
BP	GO:0035358	regulation of peroxisome proliferator ac...	8	2	0.05	0.00113	0.00113
BP	GO:0007586	digestion	39	3	0.25	0.00201	0.00201
BP	GO:0071361	cellular response to ethanol	15	2	0.1	0.00412	0.00412
BP	GO:0006699	bile acid biosynthetic process	21	2	0.14	0.00804	0.00804
CC	GO:0005615	extracellular space	1159	10	5.76	0.0049	0.053
CC	GO:0043186	P granule	5	1	0.02	0.0246	0.025
MF	GO:0005179	hormone activity	22	3	0.15	0.00044	0.00044
MF	GO:0047023	androsterone dehydrogenase activity	5	2	0.03	0.00046	0.00046
MF	GO:0004022	alcohol dehydrogenase (NAD) activity	8	2	0.06	0.00127	0.00127
MF	GO:0020037	heme binding	132	5	0.91	0.00208	0.00208
MF	GO:0008395	steroid hydroxylase activity	40	3	0.28	0.00256	0.00256
MF	GO:0004181	metallocarboxypeptidase activity	15	2	0.1	0.00463	0.00463
MF	GO:0005506	iron ion binding	162	5	1.12	0.00502	0.00502
MF	GO:0015020	glucuronosyltransferase activity	21	2	0.14	0.00901	0.00901
